mountain,country,province
Андрингитра,РМ,Фианарантсоа
Джабель Катрина,ЕТ,Сина аль-Джанубия
Citlaltepetl (Pico de Orizaba),МЕКС,Пуэбла
Котопакси,ЕС,Эквадор
Большой Баллон,F,Лоррейн
Пайки,США,Колорадо
Монте Писсис,РЭ,Ла-Риоджа
Гунунг Агунг,РИ,Индонезия
Пидуруталагала,Кл,Шри-Ланка
Г-н Бабель,КН,Квебек
Карисимби,РВА,Руанда
Манаслу,NEP,Непал
Канчендзонга,СИН,Сикким
Рантекомбола,РИ,Индонезия
Pico de Agulhas Negras,КР,Рио-де-Жанейро
Мт Сент-Элиас,США,Аляска
Гросслокнер,A,Каринтия
Кебнекайз,И,Норрботтен
Бен Невис,ГБ,Нагорья
Клингонские куполы,США,Теннесси
Охос-дель-Саладо,RCH,Чили
Ганнетт Пик,США,Вайоминг
Монте Роза,CH,VS
Этна,I,Сицилия
Мерапи,РИ,Индонезия
Портефжаэльен,И,Норрботтен
Попоманасей,SLB,Соломоновы Острова
Тамбора,РИ,Индонезия
&lt; &lt; Защитник экрунов &gt; &gt;,F,Рон-Алпес
Концепция,НИК,Никарагуа
Килиманджаро,ЕАТ,Килиманджаро
Мауна Кеа,США,Гавайи
Gasherbrum II,ПК,Пакистан
Молдовеану,RO,Сибиу
Граница,США,Калифорния
Монте Синто,F,Корс
Пико Боливар,YV,Мерида
Пико де Ането,E,Арагон
Канлаон,РП,Филиппины
Фудзисан,J,Яманаши
Финстераархорн,CH,VS
Тахан,ТЗА,Паханг
Аннапурна,NEP,Непал
Демирказик,ТR,Нигде
Сулитжелма,И,Норрботтен
Джокул,Н,Хордаланд
Lhotsse,NEP,Непал
Mt Blackburn,США,Аляска
Тубкхаль,МЭТ,Марокко
Пико Рокарре,ПЭ,Наличными
Семеру,РИ,Индонезия
Сильвисили,WS,Самоа
Серро Черрипо,ЧР,Картаго
Джебель Шуайб,ДА,Йемен
Тахат,DZ,Алжир
Нанга Парбат,ПК,Пакистан
Пико,Р,Азоры
Бабушка Сассо,I,Абруццо
Ллульяльяко,РЭ,Тукуман
Широкий пик,ТДж,Синьцзян Уйгур
Джабал Марра,СУД,Дарфур
Мт Робсон,КН,Британская Колумбия
