country,name,percentage
MK,Македонский,70.0
Кл,Синхала,74.0
ДА,Арабский,100.0
RG,Французский,100.0
ОПП,Боснийцы,1.8
CH,Французский,18.0
МЬЯ,Бирманский язык,100.0
AZ,Армянский,2.0
СПМИ,Французский,100.0
ОПП,Рома,1.1
ГУАМ,Английский,38.3
МНП,Албанец,5.3
ПК,Сираики,10.0
АМСА,Английский,2.9
РММ,Бамбара,80.0
IR,Лури,2.0
Н,Венгерский,98.2
SLO,Хорватский,7.0
ДОМ,Испанский,100.0
KAZ,Казак,40.0
ФАЛК,Английский,100.0
ПНГ,Английский,1.0
IR,Турки,26.0
,Английский,15.9
Юзеф,Таджик,4.4
PL,Польский,100.0
ARM,Армянский,96.0
ФПОЛ,Полинезийский,31.4
