country1,country2,length
CO,EC,590.0
SUD,TCH,1360.0
BF,RT,126.0
GH,RT,877.0
BEN,WAN,773.0
JOR,SA,728.0
DZ,RMM,1376.0
SK,UA,90.0
EAU,SUD,435.0
KAZ,KGZ,1051.0
NOK,R,19.0
KOS,SRB,352.0
A,I,430.0
ER,SUD,605.0
RWA,ZRE,217.0
MEX,USA,3326.0
IR,TM,992.0
H,UA,103.0
GR,MK,228.0
CZ,D,646.0
RO,UA,531.0
IR,TR,499.0
GCA,HCA,256.0
BG,TR,240.0
BG,GR,494.0
PK,TJ,523.0
ES,HCA,342.0
MYA,THA,1800.0
B,D,167.0
LAO,VN,2130.0
GAZA,IL,51.0
ARM,IR,35.0
MOC,MW,1569.0
MYA,TJ,2185.0
B,NL,450.0
BY,UA,891.0
,SMAR,15.0
CI,GH,668.0
DZ,LAR,982.0
RCA,SUD,1165.0
DZ,MA,1559.0
CH,D,334.0
CI,LB,716.0
E,F,623.0
BOL,PY,750.0
GNB,RG,386.0
RMM,SN,419.0
D,F,451.0
BR,SME,597.0
I,V,3.2
RG,WAL,652.0
PE,RCH,160.0
CAM,RCA,797.0
AFG,TAD,1206.0
RSA,ZW,225.0
SUD,ZRE,628.0
CO,PE,2900.0
BR,RA,1224.0
MD,UA,939.0
LB,WAL,306.0
ETH,SP,1626.0
OM,SA,676.0
CAM,GQ,189.0
EAT,ZRE,459.0
CI,RMM,532.0
NOK,TJ,1416.0
E,GBZ,1.2
LT,PL,91.0
KWT,SA,222.0
BY,LT,502.0
IL,SYR,76.0
BOL,RA,832.0
GR,TR,206.0
RCA,RCB,467.0
IRQ,JOR,181.0
TJ,VN,1281.0
RN,WAN,1497.0
TCH,WAN,87.0
LAR,SUD,383.0
MOC,RSA,491.0
ES,GCA,203.0
OM,YE,288.0
AND,F,60.0
BI,RWA,290.0
KOS,MNE,79.0
RIM,RMM,2237.0
ANG,RCB,201.0
GNB,SN,338.0
AFG,TJ,76.0
AFG,PK,2430.0
LAR,TCH,1055.0
RSA,SD,430.0
AFG,TM,744.0
K,THA,803.0
AND,E,65.0
RI,TL,228.0
BEN,RT,644.0
LAO,MYA,235.0
BY,PL,605.0
KGZ,UZB,1099.0
CAM,RCB,523.0
PL,R,206.0
BY,R,959.0
BY,LV,141.0
IRQ,KWT,242.0
DOM,RH,275.0
IR,PK,909.0
N,R,167.0
ET,SUD,1273.0
ANG,NAM,1376.0
IR,IRQ,1458.0
LAO,TJ,423.0
IL,RL,79.0
EAK,ETH,830.0
LS,RSA,909.0
AFG,UZB,137.0
TAD,UZB,1161.0
A,H,366.0
BF,RMM,1000.0
CAM,TCH,1094.0
CO,YV,2050.0
BD,IND,4053.0
GUY,SME,600.0
RCA,TCH,1197.0
RG,RMM,858.0
B,L,148.0
D,NL,577.0
A,D,784.0
AL,KOS,112.0
DZ,RIM,463.0
K,LAO,541.0
DJI,SP,58.0
G,GQ,350.0
CR,PA,330.0
N,SF,729.0
BHT,TJ,470.0
KOS,MK,159.0
EAT,EAU,396.0
D,PL,456.0
H,SLO,102.0
BRU,MAL,381.0
GUY,YV,743.0
AZ,TR,9.0
RA,ROU,579.0
G,RCB,1903.0
BIH,KOS,225.0
RCB,ZRE,2410.0
