river,country,province
Сучона,r,Вологодская область
Нил,ПТ,Эль-Дакахлия
Одер,ПЛ,Зеленогорские
Одер,ПЛ,Горзовское
Лома́ми,ЗРЕ,Шаба/Катанга
Арно,я,Тоскана
Бахр эль-Джабаль/Альберт-Нил,ВЭА,Уганда
Висла,ПЛ,Эльбльские
Везер,Д,Бремен
Эбро,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Наварра
Висла,ПЛ,Тарновские
Дорогая Река,Австралия,Новый Южный Уэльс
Дунай,Р,Телебаран
Мурранбуджи,Австралия,Австралийский столичный регион
Висла,ПЛ,Тарнобже́ьский
Гётеальв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Альсборг
Се́нь,Ф,Бургундия
Миссисипи,США,Луизиана
Мας,НЛ,Лимбург
Висла,ПЛ,Радомские
Саскачевань,КЭН,Саскачеван
Река Мерримак,США,Нью-Гэмпшир
Прирут,Р,Ботошани
Кораловый,США,Невада
Сырдаржа,Тад,Худжанд
Орандж,НАМ,Намибия
Оердалёвля,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Даларна
Бахр эль-Джабаль/Альберт-Нил,Суд,Бахр-эль-Газаль
Миссисипи,США,Теннесси
Сырдаржа,Узб,Ташкент
Рио Сан-Франциско,OK,Алагоас
Рио Лерма,Мексика,Гуадалахара
Дунай,ХР,Хорватия
Рио-Гранде,США,Кораловый
Днепр,НЕТ ПЕРЕВода,Кировоградская
Амура,r,Чити́нская о́бласть
Иртыш,КАЗ,Павлодар
Шари,РКА,Центральная Африканская Республика
Уэлл,ЗРЕ,Экватор
Кымийоки,SF,Кими
Рио-Гранде,США,Техас
Лома́ми,ЗРЕ,Киву
Бене,ХАН,Нигерия
Тахо,П,Лиссабон
Сенегал,РГ,Гвинея
Изер,Ф,Рена Альпы
Акагера,Есть,Мванза
Рио Сан-Франциско,OK,Пернамбуку
Аре,Ч,БЕ
Раб,А,Бургенланд
Мур,ХР,Хорватия
Тигр,Транслитерация,Сирт
Мας,Б,Лиги
Олт,Р,Харгита
Мур,Х,Зала
Юбба,СП,Сомали
Ваердалелёв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Даларна
Дору,П,Брагана
Джангцзе,ТЖ,Аньхой
Рейн,Ч,"Только перевод. Отформатируйте вывод по вашему усмотрению, сохраняя форматирование, коды и собственные имена, если это необходимо. Не выводите дополнительный текст, только перевод."
Замбеци,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Центральный
Пaatсьёки,SF,Лаппия
Изар,А,Тироль
Бахр эль-Джабаль/Альберт-Нил,Суд,Аль-Истивайя
Куанго,ANG,Лунда-Сул
Дунай,Р,Олт
Парагвай,Боль,Боливия
Волга,r,Пензенская область
Висла,ПЛ,Сидельчие
Кюило,ANG,Когда-Кубанго
Евфрат,Транслитерация,Малатья
Теисс,Х,Хаддо Байар
Арканзас,США,Кораловый
Иравади,МЯ,Айярвади
Хванго,ТЖ,Шаньдун
Шилка,r,Чити́нская о́бласть
Тэмс,"Okay, I will only provide translations without any additional text or comments. Please provide the text you would like me to translate from English to Russian.",Беркшир
Нил,ПТ,Эль-Минья
Висла,ПЛ,Люблинское
Дору,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кастилья и Леон
Кораловый,Мексика,Баха-Калифорния
Орандж,RSA,Северная область
Тибер,я,Тоскана
Амура,r,Еврейская автономная область
Парана,OK,Мато-Гросу-ду-Сул
