city,province,country,island
Отсу,Шига,J,Хонсю
Стерлинг,Центральный,ГБ,Великобритании
Утсономия,Точиги,J,Хонсю
Блэкбёрн,Ланкашир,ГБ,Великобритании
Бенгкулу,Индонезия,РИ,Суматра
Милтон Кейнс,Бекингемшир,ГБ,Великобритании
Виктория-де-лас-тунас,Тунецы,C,Куба
Ланкастер,Ланкашир,ГБ,Великобритании
Ренфрю,Стратклид,ГБ,Великобритании
Бурнмут,Дорсет,ГБ,Великобритании
Нагано,Нагано,J,Хонсю
Уджун Пандан,Индонезия,РИ,Сулавеси
Лландриндод Уэллс,Порошки,ГБ,Великобритании
Мессина,Сицилия,I,Сицилия
Виллемстад,Нидерландские Антильские острова,,Куракао
Бандар Сери Бегаван,Бруней,БРУ,Борнео
Фукуи,Фукуи,J,Хонсю
Сэлфорд,Большой Манчестер,ГБ,Великобритании
Пул,Дорсет,ГБ,Великобритании
Манадо,Индонезия,РИ,Сулавеси
Сага,Сага,J,Кюсю
Колчестер,Эссекс,ГБ,Великобритании
Цирбон,Индонезия,РИ,Ява
Нортгемптон,Нортгемптоншир,ГБ,Великобритании
Абэристит,Цередигация,ГБ,Великобритании
Тайнан,Тайвань,КР,Тайвань
Каназава,Ишикава,J,Хонсю
Захоронение,Большой Манчестер,ГБ,Великобритании
Пазиг,Филиппины,РП,Лузон
Макклесфилд,Чешир,ГБ,Великобритании
Сьенфуэгос,Сьенфуэгос,C,Куба
Дублин,Италия,IRL,Италия
Solihall,Западные Мидленды,ГБ,Великобритании
Анцирабе,Антананариву,РМ,Мадагаскар
Ярен,Науру,NAU,Науру
Тояма,Тояма,J,Хонсю
Tegal,Индонезия,РИ,Ява
Рочестер на Медвее,Кент,ГБ,Великобритании
Майунга,Махаджанга,РМ,Мадагаскар
Сендай,Мияги,J,Хонсю
Коломбо,Шри-Ланка,Кл,Шри-Ланка
Морони,Коморские Острова,COM,Гран-Коморо
Мягкое,Флинтшир,ГБ,Великобритании
Манама,Бахрейн,БРИН,Бахрейн
Эббв Вэйл,Блейно Гвент,ГБ,Великобритании
Йорк,Северный Йоркшир,ГБ,Великобритании
Пингтунг,Тайвань,КР,Тайвань
Каукеан,Филиппины,РП,Лузон
Сибу,Саравак,ТЗА,Борнео
Давао,Филиппины,РП,Минданао
Медан,Индонезия,РИ,Суматра
Уолсал,Западные Мидленды,ГБ,Великобритании
Кингстон,Суррей,ГБ,Великобритании
Летающая рыбная бухта,Остров Рождества,XMAS,Остров Рождества
Никосия,Кипр,CY,Кипр
Сайпан,Северные Марианские острова,НМИС,Сайпан
Ноусли,Мерсисайд,ГБ,Великобритании
Антананариву,Антананариву,РМ,Мадагаскар
Бриджтаун,Барбадос,УРБ,Барбадос
Пекалонган,Индонезия,РИ,Ява
Адамстаун,Острова Питкэрн,ОМТС,Питкэрн
Нассау,Багамские Острова,BS,Новое Провидение
Норталлертон,Северный Йоркшир,ГБ,Великобритании
Бандар Лампунг,Индонезия,РИ,Суматра
Стэнли,Фолклендские острова,ФАЛК,Восточный Фолкленд
Уэйкфилд,Западный Йоркшир,ГБ,Великобритании
Челтенхем,Глостершир,ГБ,Великобритании
Санчунг,Тайвань,КР,Тайвань
Кармартен,Кармартеншир,ГБ,Великобритании
Лондон,Большой Лондон,ГБ,Великобритании
Лутон,Бедфордшир,ГБ,Великобритании
Шизуока,Шизуока,J,Хонсю
Винчестер,Гэмпшир,ГБ,Великобритании
Кристчерч,Новая Зеландия,Новой Зеландии,Те Вака-а-Мауи (Южный остров)
Кагосима,Кагосима,J,Кюсю
Ноттингем,Ноттингемшир,ГБ,Великобритании
Истрад Фаур,Верфь,ГБ,Великобритании
Манчестер,Большой Манчестер,ГБ,Великобритании
Страуд,Глостершир,ГБ,Великобритании
Акурейри,Италия,ИУ,Италия
Митилини,Верион &lt; &lt; Айяон &gt; &gt;,ГР,Лесбос
Истли,Гэмпшир,ГБ,Великобритании
Хуалиен,Тайвань,КР,Тайвань
Сурабая,Индонезия,РИ,Ява
Анциранана,Анциранана,РМ,Мадагаскар
Сан-Хуан,Пуэрто-Рико,ПР,Пуэрто-Рико
Бедфорд,Бедфордшир,ГБ,Великобритании
Кедири,Индонезия,РИ,Ява
Гифу,Гифу,J,Хонсю
Солсбери,Уилтшир,ГБ,Великобритании
Фунафути,Тувалу,ТВЧ,Фонгафейл
Миядзаки,Миядзаки,J,Кюсю
Банда Ачех,Индонезия,РИ,Суматра
Иокогама,Канагава,J,Хонсю
Tebing Tinggi,Индонезия,РИ,Суматра
Hafnarfjoerdur,Италия,ИУ,Италия
Фукуока,Фукуока,J,Кюсю
Саппоро,Хоккайдо,J,Хоккайдо
Тсу,Мие,J,Хонсю
Толияра,Толияра,РМ,Мадагаскар
Длинный год,Свальбард,SVAX,Свальбард
Мужской,Мальдивские Острова,МВ,Мужской
Ширина,Мерсисайд,ГБ,Великобритании
Брэдфорд,Западный Йоркшир,ГБ,Великобритании
Джамби,Индонезия,РИ,Суматра
Святой Верхний,Джерси,GBJ,Джерси
Бристоль,Эйвон,ГБ,Великобритании
Сассари,Сарденья,I,Сарденья
Ньюкасл на Тайне,Тайн и Валяй.,ГБ,Великобритании
Камагия,Камагия,C,Куба
Розау,Доминика,WD,Доминика
Олдхэм,Большой Манчестер,ГБ,Великобритании
Колония,Микронезия,ФШМ,Понапе
Паликир,Микронезия,ФШМ,Понапе
Брайтон,Восточный Сассекс,ГБ,Великобритании
