abbreviation,name,city,country,province,established
ОВКГ,Организация восточнокарибских государств,Кастри,WL,Сент-Люсия,1981-06-18
ЕЭК,Европейская экономическая комиссия,Женева,CH,ГЭ,1947-03-28
МАБР,Межамериканский банк развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1959-04-08
АНЗЫ,Договор о безопасности между Австралией и Новой Зеландией и Соединенными Штатами,Канберра,AUS,Австралийская столичная территория,1951-09-01
МВФ,Международный валютный фонд,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1944-07-22
КАЕУ,Совет арабского экономического единства,Амман,JOR,Иордания,1957-06-03
КАСМ,Центральноамериканский общий рынок,Город Гватемала,СУА,Гватемала,1960-12-13
ГВНООНИП,Группа военных наблюдателей Организации Объединенных Наций в Индии и Пакистане,Нью-Йорк,США,Нью-Йорк,1948-08-13
WTRO,Всемирная торговая организация,,,,1994-04-15
МКСП,Международная конфедерация свободных профсоюзов,Брюссель,B,Брабант,1949-12-01
МФОКК,Международная федерация обществ Красного Креста и Красного Полумесяца,Женева,CH,ГЭ,1919-05-05
НАТО,Организация Североатлантического договора,Брюссель,B,Брабант,1949-09-17
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,RCH,Чили,1948-02-25
О-5,Группа 5,,,,1985-09-22
Меркосур,Общий рынок стран Южного Конуса,Буэнос-Айрес,РЭ,Федеральный департамент,1991-03-26
ОООНВД,Операция Организации Объединенных Наций по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
ОАТЭС,Организация арабских стран-экспортеров нефти,,,,1968-01-09
ПСФ,Южнотихоокеанский форум,Сува,ФСО,Фиджи,1971-08-05
ЮНИТАР,Учебный и научно-исследовательский институт Организации Объединенных Наций,,,,1963-12-11
ЮНИДО,Организация Объединенных Наций по промышленному развитию,Вена,A,Вена,1966-11-17
Кариком,Карибское сообщество и Общий рынок,Джорджтаун,Парень,Гайана,1973-07-04
МОТ,Международная организация труда,Женева,CH,ГЭ,1919-04-11
ЕАБР,Восточноафриканский банк развития,Кампала,ЕАС,Уганда,1967-06-06
СЕ,Совет Европы,Страсбург,F,Alsace,1949-05-05
Группа 77,Группа 77,,,,1967-10-01
ДН,Движение неприсоединения,Джакарта,РИ,Индонезия,1961-09-01
ЕС,Европейский союз,Брюссель,B,Брабант,1992-02-07
О-3,Группа 3,,,,1990-10-01
Г-10,Группа 10,Париж,F,Иль де Франция,1962-10-01
НИБ,Скандинавский инвестиционный банк,Хельсинки,SF,Уусимаа,1975-12-04
СНГ,Содружество Независимых Государств,Минск,Клянусь!,Беларусь,1991-12-08
ВОЗ,Всемирная организация здравоохранения,Женева,CH,ГЭ,1946-07-22
МНООНТ,Миссия наблюдателей Организации Объединенных Наций в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
АНК,Совет сотрудничества в Северной Атлантике,Брюссель,B,Брабант,1991-11-08
ЕБРР,Европейский банк реконструкции и развития,Лондон,ГБ,Большой Лондон,1991-04-15
ОПЕК,Организация стран-экспортеров нефти,Вена,A,Вена,1960-09-14
ВПС,Всемирный почтовый союз,Берн,CH,БУДЬ,1874-10-09
ИМО,Международная морская организация,Лондон,ГБ,Большой Лондон,1958-03-17
СПРООН,Силы превентивного развертывания Организации Объединенных Наций,,,,1995-03-31
Интерпол,Международная организация уголовной полиции,Лион,F,Рон-Алпес,1956-06-13
Г-19,Группа 19,,,,1975-10-01
ВМО,Всемирная метеорологическая организация,Женева,CH,ГЭ,1947-10-11
Спартека,Южнотихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
ОЭС,Организация экономического сотрудничества,Тегеран,IR,Тегеран,1985-01-01
ЭСКЗА,Экономическая и социальная комиссия для Западной Азии,Амман,JOR,Иордания,1973-08-09
ВСООНЛ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
ОМЧП,Партнерство во имя мира,,,,1994-01-10
ЮДЕАК,Таможенный и экономический союз Центральной Африки,Банги,РСС,Центральноафриканская Республика,1964-12-08
ОБСЕ,Организация по безопасности и сотрудничеству в Европе,Вена,A,Вена,1995-01-01
ОЭСР,Организация экономического сотрудничества и развития,Париж,F,Иль де Франция,1960-12-14
C,Содружество,Лондон,ГБ,Большой Лондон,1931-12-31
Группа 24,Группа 24,Брюссель,B,Брабант,1972-01-01
АМП,Арабский валютный фонд,Абу-Даби,ОАЭ,Абу-Даби,1976-04-27
КСП,Южнотихоокеанская комиссия,Нумеа,НКА,Новая Каледония,1947-02-06
