season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2010,7,1143,75,1293,70,H,0
2010,7,1314,88,1198,72,H,0
2010,7,1326,100,1108,60,H,0
2010,7,1393,75,1107,43,H,0
2010,9,1143,95,1178,61,H,0
2010,9,1314,89,1300,42,H,0
2010,9,1393,100,1352,60,H,0
2010,10,1301,69,1209,53,H,0
2010,10,1326,72,1241,44,H,0
2010,11,1111,79,1423,68,H,0
2010,11,1113,87,1442,35,H,0
2010,11,1116,130,1108,68,H,0
2010,11,1120,69,1310,65,H,0
2010,11,1123,88,1434,78,H,0
2010,11,1124,86,1313,58,H,0
2010,11,1125,74,1340,67,N,0
2010,11,1129,90,1258,87,N,0
2010,11,1130,89,1171,58,H,0
2010,11,1135,68,1383,64,A,0
2010,11,1140,70,1133,60,H,0
2010,11,1150,86,1421,70,H,0
2010,11,1155,84,1342,41,H,0
2010,11,1157,70,1158,59,H,0
2010,11,1160,88,1115,72,H,0
2010,11,1161,91,1413,73,N,0
2010,11,1163,75,1456,66,H,0
2010,11,1181,96,1422,62,H,0
2010,11,1182,85,1311,62,H,0
2010,11,1193,67,1148,58,H,0
2010,11,1206,76,1251,72,H,0
2010,11,1207,74,1408,58,A,0
2010,11,1208,67,1309,59,H,0
2010,11,1217,87,1221,77,A,0
2010,11,1218,65,1381,48,H,0
2010,11,1225,94,1428,87,A,0
2010,11,1228,96,1188,69,H,0
2010,11,1231,83,1224,60,H,0
2010,11,1233,82,1131,73,H,0
2010,11,1235,88,1226,68,H,0
2010,11,1242,101,1220,65,H,0
2010,11,1243,92,1260,54,H,0
2010,11,1245,69,1359,66,H,0
2010,11,1246,75,1287,59,H,0
2010,11,1248,81,1447,72,H,0
2010,11,1259,79,1436,66,H,0
2010,11,1261,82,1419,62,H,0
2010,11,1263,76,1200,73,A,0
2010,11,1266,85,1147,62,H,0
2010,11,1268,89,1149,51,H,0
2010,11,1272,82,1238,53,H,0
2010,11,1273,89,1137,80,N,0
2010,11,1277,97,1195,58,H,0
2006,8,1165,75,1384,54,N,0
2006,8,1393,68,1126,37,H,0
2006,9,1107,90,1324,73,N,0
2006,9,1126,63,1384,52,N,1
2006,9,1196,80,1389,51,H,0
2006,9,1393,67,1165,62,H,0
2006,10,1196,83,1107,64,H,0
2006,10,1204,89,1339,75,N,0
2006,10,1206,79,1414,56,N,0
2006,10,1324,72,1389,69,N,0
2006,10,1403,88,1363,54,H,0
2006,10,1439,80,1347,50,H,0
2006,10,1441,56,1132,50,N,0
2006,10,1448,78,1290,64,H,0
2006,11,1363,82,1339,53,N,0
2006,11,1403,74,1204,61,H,0
2006,11,1414,94,1290,40,N,0
2006,11,1448,83,1206,78,H,1
2006,12,1132,72,1439,71,A,0
2006,12,1347,69,1441,56,N,0
2006,12,1452,88,1419,69,H,0
2006,12,1459,73,1192,62,N,0
2006,13,1102,62,1319,49,N,0
2006,13,1150,82,1164,65,N,0
2006,13,1192,74,1419,58,N,0
2006,13,1246,71,1355,54,H,0
2006,13,1252,72,1294,60,N,0
2006,13,1274,76,1426,65,N,0
2006,13,1321,61,1250,59,N,0
2006,13,1347,81,1132,63,N,0
2006,13,1423,75,1139,59,N,0
2006,13,1439,54,1441,40,H,0
2006,13,1449,118,1288,51,H,0
2006,13,1452,61,1459,41,H,0
2006,13,1453,71,1422,48,N,0
2006,13,1461,69,1106,54,H,0
2006,14,1102,57,1274,53,N,0
2006,14,1139,70,1106,61,N,0
2006,14,1159,55,1430,42,N,0
2006,14,1180,54,1343,41,A,0
2006,14,1181,64,1131,47,H,0
2006,14,1234,86,1271,41,H,0
2006,14,1246,67,1252,49,H,0
2006,14,1250,65,1164,64,N,0
2006,14,1321,61,1150,47,N,0
2006,14,1355,61,1294,59,N,0
2006,14,1358,80,1281,77,A,0
2006,14,1371,66,1264,52,H,0
2006,14,1422,62,1288,49,N,0
2006,14,1423,62,1461,59,A,1
2006,14,1426,68,1319,59,N,0
2006,14,1449,87,1453,54,H,0
2006,15,1104,64,1275,58,H,0
2006,15,1106,68,1164,67,N,0
2006,15,1139,66,1250,41,N,0
2006,15,1234,73,1159,51,H,0
2006,15,1271,75,1430,72,N,1
2006,15,1272,79,1454,52,H,0
2006,15,1274,80,1453,54,N,0
2006,15,1319,71,1288,51,N,0
2006,15,1359,52,1170,49,N,0
2006,15,1396,69,1119,37,H,0
2006,15,1400,89,1380,56,H,0
2006,15,1417,83,1308,70,H,0
2006,15,1422,61,1426,49,N,0
2006,15,1423,56,1321,48,N,0
2006,15,1449,85,1102,74,H,0
2006,15,1461,87,1150,78,H,0
2006,16,1170,67,1380,64,N,1
2011,7,1228,79,1414,65,H,0
2011,7,1268,105,1370,76,H,0
2011,7,1338,83,1348,75,H,0
2011,7,1400,83,1298,52,H,0
2011,9,1228,84,1405,45,H,0
2011,9,1268,75,1158,74,H,0
2011,9,1338,97,1227,54,H,0
2011,9,1400,89,1256,58,H,0
2011,11,1104,76,1197,37,H,0
2011,11,1110,62,1384,52,H,0
2011,11,1111,89,1409,86,A,0
2011,11,1114,57,1374,47,A,0
2011,11,1122,64,1387,62,A,0
2011,11,1124,87,1212,52,H,0
2011,11,1130,79,1383,49,H,0
2011,11,1135,69,1200,65,A,0
2011,11,1140,83,1201,56,H,0
2011,11,1141,70,1168,67,N,0
2011,11,1145,80,1382,70,H,0
2011,11,1155,87,1441,64,H,0
2011,11,1156,71,1136,57,H,0
2011,11,1160,88,1226,80,H,0
2011,11,1163,79,1392,52,H,0
