team_id,team_name
1103,Акрон
1105,Алабама А&М
1107,Альбани (Нью-Йорк)
1108,Алкорн-стрит
1110,Американский университет
1113,Аризона СТ
1114,Арк Литл-Рок
1115,Арк Пайн-Блэтт
1119,Армия
1123,Болл Стрит
1126,Бетун-Кукман
1127,Бингэмтон
1130,Бостонский колледж
1133,Брадли
1134,Бруклин
1136,Брэят
1138,Баффало
1142,Кальполи СЛО
1143,Калифорния
1148,Центральный Конн
1150,Шарлотта
1151,Чаттанугу
1153,Цинциннати
1154,Цитадель
1155,Клемсон
1160,Кольорадо
1162,Колумбия
1163,Коннектикут
1169,ЦС Норрис-Тёрнер
1173,Дэйтон
1177,Депуль
1183,Иллинойс
1184,Кентукки
1191,Эвансвилл
1195,ФЛ-Гульф-Коаст
1196,Флорида
1199,Флорида С
1201,Фрэско Ст
1204,Гاوэн-Ютьен
1206,Джордж Мейсон
1208,Грузия
1210,Технологический институт Джорджии
1213,Гранд-Каньон
1214,Хэмптон
1217,Гарвард
1221,Пресвитерианский храм
1222,Хьюстон
1224,Ховард
1225,Идахо
1228,Иллинойс
1233,Иона
1234,Айова
1235,Айова Стейт
1240,Джексонвилл Стрит
1241,Джеймс Мэдисон
1244,Кеннэсов
1247,Лас-Салль
1248,Лафайет
1249,Ламар
1252,Липскомб
1253,Долина Стратфорда
1255,Лонгвуд
1261,ЛСУ
1263,Мейн
1265,Марист
1267,Маршалл
1269,Массачусетс
1270,Макнеси-стрит
1271,МД Э Шор
1273,Мерцер
1275,"Майами, Огайо"
1276,Мичиган
1280,Миссисипи Стейт
1286,Монтана Стейт
1296,Ниллиной
1306,Нэшнл Хампшир
1312,НЖИТ
1313,Норфолк-стрит
1319,Северная Аризона
1320,Северный Айова
1321,Северо-Западный
1322,Северо-запад Лос-Анджелеса
1324,Окленд
1325,Оха́йо
1326,Огайо Ст
1333,Орегон Стейт
1334,Тихоокеанско
1336,Пенн Ст
1337,Пеппердайн
1339,Портленд
1341,Прайри-Вью
1360,Сан-Диего
1362,Сан-Франциско
1365,Сан-Клара
1368,Юго-восточный Луизиана
1370,Сиэтл
1373,Сена
1374,ШМ
1382,Санта-Клара
1384,Святой Франциск ПА
1385,Сент-Джонс
1386,"Святой Иосиф, Пенсильвания"
1387,Сент-Луис
1388,"Ст. Мэрис, Калифорния"
1390,Стэнфорд
1391,Шэтон
1393,Сиракьюс
1396,Темпл
1399,Технологический институт Теннесси
1407,Троя
1412,УАБ
1413,УЦ Дейвис
1414,УЦИр
1416,УКФ
1420,УМБЧ
1421,Университет Северной Каролины в Ашвилле
1423,УК Виллиджемс
1424,ОУЛВ
1425,Ту́рьиный университет Са́н-Марино
1427,УТ Сан-Антонио
1428,Юта
1435,Вандервиль
1436,Вернонт
1437,Вилнованна
1438,Вирджиния
1440,ВМИ
1441,Западная Каролина
1443,В Кентукки
1444,В Мичигане
1445,В. Салем-стрит
1448,Уэйк-Форест
1449,Вашингтон
1450,Вашингтон-стрит
1453,ЗИГЗагра́дный
1455,Уичита-стрит
1456,Уильям и Мэри
1457,Винтроп
1460,Райт-стрит
1461,Вайоминг
1463,Ял
