id,season,team_id1,team_id2,pred,team_id1_wins,team_id2_wins
2011_1106_1427,2011,1106,1427,0.5,0,1
2011_1246_1314,2011,1246,1314,0.5,1,0
2013_1211_1380,2013,1211,1380,0.5,1,0
2011_1140_1196,2011,1140,1196,0.5,0,1
2012_1231_1308,2012,1231,1308,0.5,1,0
2011_1131_1242,2011,1131,1242,0.5,0,1
2012_1281_1313,2012,1281,1313,0.5,0,1
2012_1242_1246,2012,1242,1246,0.5,0,1
2013_1211_1455,2013,1211,1455,0.5,0,1
2011_1196_1364,2011,1196,1364,0.5,1,0
2012_1272_1387,2012,1272,1387,0.5,0,1
2013_1314_1437,2013,1314,1437,0.5,1,0
2012_1196_1257,2012,1196,1257,0.5,0,1
2013_1195_1361,2013,1195,1361,0.5,1,0
2011_1228_1424,2011,1228,1424,0.5,1,0
2012_1166_1314,2012,1166,1314,0.5,0,1
2014_1163_1246,2014,1163,1246,0.5,1,0
2012_1314_1325,2012,1314,1325,0.5,1,0
2014_1276_1397,2014,1276,1397,0.5,1,0
2014_1235_1314,2014,1235,1314,0.5,1,0
2013_1338_1455,2013,1338,1455,0.5,0,1
2014_1277_1438,2014,1277,1438,0.5,1,0
2012_1124_1355,2012,1124,1355,0.5,1,0
2011_1125_1458,2011,1125,1458,0.5,0,1
2014_1393_1444,2014,1393,1444,0.5,1,0
2013_1181_1277,2013,1181,1277,0.5,1,0
2013_1242_1443,2013,1242,1443,0.5,1,0
2012_1211_1452,2012,1211,1452,0.5,1,0
2012_1196_1266,2012,1196,1266,0.5,1,0
2011_1208_1449,2011,1208,1449,0.5,0,1
2012_1433_1455,2012,1433,1455,0.5,1,0
2014_1272_1438,2014,1272,1438,0.5,0,1
2011_1338_1421,2011,1338,1421,0.5,1,0
2012_1124_1160,2012,1124,1160,0.5,1,0
2011_1139_1330,2011,1139,1330,0.5,1,0
2012_1199_1382,2012,1199,1382,0.5,1,0
2014_1163_1277,2014,1163,1277,0.5,1,0
2012_1246_1257,2012,1246,1257,0.5,1,0
2014_1257_1387,2014,1257,1387,0.5,1,0
2014_1142_1455,2014,1142,1455,0.5,0,1
2012_1153_1199,2012,1153,1199,0.5,1,0
2012_1301_1361,2012,1301,1361,0.5,1,0
2014_1372_1433,2014,1372,1433,0.5,1,0
2011_1211_1385,2011,1211,1385,0.5,1,0
2012_1211_1326,2012,1211,1326,0.5,0,1
2011_1425_1433,2011,1425,1433,0.5,0,1
2014_1246_1276,2014,1246,1276,0.5,1,0
2011_1139_1338,2011,1139,1338,0.5,1,0
2012_1160_1424,2012,1160,1424,0.5,1,0
2013_1274_1334,2013,1274,1334,0.5,1,0
2012_1153_1326,2012,1153,1326,0.5,0,1
2012_1124_1462,2012,1124,1462,0.5,1,0
2014_1113_1400,2014,1113,1400,0.5,0,1
2012_1124_1246,2012,1124,1246,0.5,0,1
2014_1112_1211,2014,1112,1211,0.5,1,0
2012_1285_1458,2012,1285,1458,0.5,0,1
2011_1155_1412,2011,1155,1412,0.5,1,0
2014_1112_1451,2014,1112,1451,0.5,1,0
2014_1163_1196,2014,1163,1196,0.5,1,0
2011_1137_1163,2011,1137,1163,0.5,0,1
2014_1246_1257,2014,1246,1257,0.5,1,0
2012_1326_1393,2012,1326,1393,0.5,1,0
