season,seed,team
1989,Z11,1375
2008,X02,1207
1994,W09,1130
1990,X13,1343
1989,W03,1390
2008,X06,1425
2001,Y12,1218
1999,Y08,1393
1998,Z06,1417
2013,W12,1143
2008,Y16,1426
1995,X10,1396
1998,Y06,1155
1998,X07,1396
1995,Z10,1196
1992,W07,1150
2005,Y08,1390
1987,Z13,1141
1986,Z13,1419
2010,X06,1323
2003,X07,1277
2001,Y02,1112
2007,X04,1438
1999,Y07,1257
2000,X16,1354
2003,W07,1386
2013,W01,1231
2003,Y07,1231
1999,W07,1400
1987,Y12,1401
2002,X02,1332
2011,W12b,1412
1990,W02,1242
1996,Y15,1422
1998,X05,1228
1999,Y10,1166
1995,Y02,1116
2005,Y09,1280
1989,W10,1397
2001,Z04,1328
2010,Y03,1207
2002,W06,1403
1990,Z02,1112
2005,Y04,1393
1985,W14,1318
1992,Y01,1242
1989,Y08,1338
2012,Y10,1462
2008,Z08,1140
1990,Y01,1277
2006,X02,1417
2013,Z05,1458
1989,W15,1354
2005,Z01,1314
1993,Y04,1234
2003,W14,1264
2012,Y07,1323
1985,Z16,1192
1998,X09,1229
1985,X06,1409
1994,X10,1371
1995,Y03,1345
1990,W06,1385
1996,Y06,1231
1987,X05,1242
2008,Y13,1331
2012,Z14b,1233
1992,X08,1257
1991,Z10,1140
2008,W03,1257
1997,Z10,1207
2007,X16,1148
2002,W08,1458
1990,X11,1243
2008,Y07,1274
2010,X13,1373
1986,X16,1299
1993,W10,1304
2000,W01,1181
1999,Z10,1211
2008,Y01,1272
1999,X15,1117
2009,W08,1329
2012,X09,1104
2012,Y03,1124
2012,X14,1125
2012,Z14a,1140
2012,X12a,1143
2012,W06,1153
2012,Y11,1160
2012,Z11,1161
2012,Y09,1163
2012,X08,1166
2012,Z13,1172
2012,X15,1178
2012,Y02,1181
2012,Z07,1196
2012,W03,1199
2012,X03,1207
2012,W07,1211
2012,W12,1217
2012,Y04,1231
2012,Y08,1235
2012,X02,1242
2012,W08,1243
2012,Y01,1246
2012,X16a,1249
2012,Y15,1250
2012,Z12,1253
2012,Z16,1254
2012,Z04,1257
2012,W15,1259
2012,Z03,1266
2012,Z08,1272
2012,X04,1276
2012,Z01,1277
2012,Z02,1281
2012,W13,1285
2012,Y16a,1290
2012,Z06,1293
2012,X11,1301
2012,Z05,1307
2012,Y13,1308
2012,Z15,1313
2012,X01,1314
2012,X13,1325
2012,W02,1326
2012,X10,1345
2012,Y14,1355
2012,X06,1361
2012,X12b,1378
