season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2004,87,1431,88,1374,62,Н,0,29,55,7,16,23,30,8,30,20,9,11,2,15,24,66,5,25,9,18,19,24,9,17,3,2,20
2007,22,1245,63,1396,54,Н,0,22,51,4,16,15,19,17,25,12,17,3,2,15,20,48,10,25,4,7,6,14,10,14,9,1,18
2003,104,1365,73,1337,61,Н,0,30,56,5,15,8,17,12,31,15,14,4,1,15,23,62,8,24,7,9,8,21,15,10,5,3,19
2009,116,1463,87,1335,79,A,0,32,58,3,7,20,36,11,25,20,6,7,0,27,28,49,6,15,17,32,7,22,18,13,3,4,28
2007,27,1163,86,1107,55,Н,0,28,48,1,9,29,41,12,26,18,19,12,12,19,19,54,6,17,11,12,10,15,10,21,10,1,30
2013,85,1246,87,1279,74,A,0,28,56,8,23,23,37,10,35,17,9,5,13,22,28,85,5,16,13,20,26,26,9,7,4,3,27
2014,59,1184,100,1183,81,A,0,34,57,16,32,16,21,7,15,18,11,12,4,30,20,38,4,11,37,44,6,20,12,17,7,2,17
2008,119,1438,76,1210,74,A,0,25,66,4,19,22,29,20,26,13,14,8,1,26,27,64,4,20,16,23,13,23,17,13,5,7,19
2012,82,1409,70,1349,46,A,0,26,49,3,12,15,24,6,37,9,13,4,9,17,17,55,2,13,10,21,8,20,10,9,5,2,18
2004,110,1153,66,1257,61,Н,1,21,60,6,21,18,26,10,36,15,11,5,10,16,21,61,9,25,10,16,8,31,12,13,7,4,22
2012,28,1324,89,1397,81,Н,0,27,62,7,21,28,31,17,24,8,9,4,3,19,26,63,9,22,20,28,17,20,11,10,6,5,26
2009,89,1123,51,1325,44,Н,0,15,40,5,18,16,25,7,30,13,15,3,4,16,18,54,1,19,7,13,10,24,8,11,4,0,23
2009,56,1110,60,1264,48,A,0,21,46,8,17,10,16,6,29,10,14,7,2,16,18,59,5,20,7,12,16,23,8,13,9,2,14
2008,23,1462,93,1324,68,Н,0,32,63,11,25,18,24,17,29,19,14,5,3,18,24,59,8,22,12,17,8,17,15,12,5,9,18
2007,40,1450,66,1225,54,A,0,25,52,7,16,9,11,9,25,20,14,9,6,13,21,53,7,18,5,10,11,19,4,14,7,1,11
2014,110,1406,83,1220,77,A,0,23,49,4,8,33,41,8,19,5,5,5,3,19,27,54,6,17,17,21,9,20,11,11,0,7,28
2003,73,1402,91,1270,53,Н,0,37,65,11,24,6,7,12,18,22,7,15,1,18,19,49,6,25,9,10,12,17,8,23,1,4,10
2008,89,1226,63,1451,59,Н,0,19,44,5,19,20,26,12,23,13,17,4,6,21,18,45,4,15,19,23,5,16,10,9,6,3,24
