season,slot,strongseed,weakseed
2014,R2W4,R1W4,R1W5
2005,R1W8,W08,W09
2009,R1Z2,Z02,Z15
2004,R5YZ,R4Y1,R4Z1
1990,R1W5,W05,W12
2014,R5WX,R4W1,R4X1
2012,R3Y2,R2Y2,R2Y3
1985,R1X1,X01,X16
1996,R2Z4,R1Z4,R1Z5
1985,R1Z1,Z01,Z16
2010,R1W3,W03,W14
2007,R4X1,R3X1,R3X2
2014,R1Z3,Z03,Z14
1990,R3X1,R2X1,R2X4
2002,R3Z1,R2Z1,R2Z4
1994,R5YZ,R4Y1,R4Z1
1994,R1Z4,Z04,Z13
2008,R1W1,W01,W16
2013,R2Z3,R1Z3,R1Z6
1990,R4Z1,R3Z1,R3Z2
1986,R1X4,X04,X13
1997,R2W4,R1W4,R1W5
2000,R1Y7,Y07,Y10
2002,R1Z4,Z04,Z13
2010,R2Z4,R1Z4,R1Z5
1987,R1Z4,Z04,Z13
1988,R1X8,X08,X09
1990,R1Z1,Z01,Z16
2005,R1Z4,Z04,Z13
2006,R1Z3,Z03,Z14
1997,R5WX,R4W1,R4X1
1995,R1W5,W05,W12
1992,R4W1,R3W1,R3W2
1994,R2W1,R1W1,R1W8
1985,R2Y4,R1Y4,R1Y5
1985,R1X7,X07,X10
2013,R3W1,R2W1,R2W4
1992,R3Y2,R2Y2,R2Y3
2000,R1X5,X05,X12
2003,R3Z1,R2Z1,R2Z4
1994,R4Y1,R3Y1,R3Y2
1989,R1Y5,Y05,Y12
2014,R6CH,R5WX,R5YZ
1988,R1Z1,Z01,Z16
2001,R2W1,R1W1,R1W8
2010,R2W4,R1W4,R1W5
2001,R3Z2,R2Z2,R2Z3
2009,R1Z3,Z03,Z14
2012,R2W1,R1W1,R1W8
2000,R1Y1,Y01,Y16
1985,R2W1,R1W1,R1W8
2005,R2W2,R1W2,R1W7
1995,R4Y1,R3Y1,R3Y2
1994,R1W7,W07,W10
2004,R3Y2,R2Y2,R2Y3
2006,R1Y2,Y02,Y15
1995,R3W2,R2W2,R2W3
1990,R1Z6,Z06,Z11
2005,R3Y1,R2Y1,R2Y4
2014,R3Y1,R2Y1,R2Y4
1990,R2X1,R1X1,R1X8
1992,R3W1,R2W1,R2W4
2014,R1Z6,Z06,Z11
1996,R4Y1,R3Y1,R3Y2
2001,R1Z1,Z01,Z16
1990,R1Y6,Y06,Y11
2010,R2X3,R1X3,R1X6
2013,R1X6,X06,X11
2007,R1Y3,Y03,Y14
1985,R1X5,X05,X12
1985,R3Y1,R2Y1,R2Y4
2009,R1W8,W08,W09
2003,R1W4,W04,W13
1995,R1Y3,Y03,Y14
2003,R4X1,R3X1,R3X2
2009,R1X6,X06,X11
2002,R5YZ,R4Y1,R4Z1
1995,R1X4,X04,X13
1994,R1X8,X08,X09
1987,R1W3,W03,W14
2012,R2X3,R1X3,R1X6
2001,R1Y4,Y04,Y13
2004,R6CH,R5WX,R5YZ
2009,R2Z3,R1Z3,R1Z6
1999,R1Y8,Y08,Y09
2007,R1X6,X06,X11
1989,R1Z2,Z02,Z15
2012,R2X1,R1X1,R1X8
1989,R4X1,R3X1,R3X2
