season,daynum,wteam,wscore,lteam,lscore,wloc,numot
1992,144,1272,83,1210,79,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1
2012,134,1443,59,1290,58,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1998,137,1390,67,1158,57,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1989,137,1371,60,1283,51,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1991,137,1314,101,1318,66,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2012,144,1242,60,1301,57,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2011,138,1196,73,1417,65,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1994,154,1116,76,1181,72,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2008,137,1373,83,1435,62,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1992,137,1431,55,1191,50,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1995,139,1417,75,1281,74,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2004,138,1448,84,1264,80,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2013,144,1196,62,1195,50,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2002,136,1323,82,1150,63,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2000,154,1277,89,1196,76,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2014,138,1173,55,1393,53,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2004,139,1412,76,1246,75,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1997,139,1390,72,1448,66,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2008,139,1443,72,1360,63,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2010,136,1243,82,1317,62,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2001,145,1268,87,1390,73,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1987,137,1443,64,1452,62,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2000,137,1397,63,1418,58,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1988,138,1345,100,1272,73,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1992,137,1393,51,1343,43,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
