season,seed,team
2004,В11,1102
2006,З-13,1102
2009,"Я не знаю, о чем вы спрашиваете. Можете переформулировать вопрос?",1103
2011,З15,1103
2013,ШІ,1103
2003,"Десятая по счёту версия стандарта языка программирования C, также известная как C10",1104
2004,0x08,1104
2005,X05,1104
2006,10x,1104
2012,X09,1104
2005,З16а,1105
2004,В16,1106
2009,A642,1106
2011,W16а,1106
2006,З16,1107
2007,"Я не знаю, о чем вы спрашиваете. Можете переформулировать вопрос?",1107
2013,15-й,1107
2014,X16a,1107
2008,В15,1110
2009,W14,1110
2014,З15,1110
2003,Зо-1,1112
2004,W09,1112
2005,X03,1112
2006,Я8,1112
2007,Я8,1112
2008,З10,1112
2009,12,1112
2011,X05,1112
2013,З06,1112
2014,Зо-1,1112
2003,З10,1113
2009,X06,1113
2014,"Десятая по счёту версия стандарта языка программирования C, также известная как C10",1113
2011,A642,1114
2010,X16a,1115
2006,0x08,1116
2007,В12,1116
2008,W09,1116
2003,В10,1120
2003,W-13,1122
2008,15-й,1122
2008,З11,1124
2010,X03,1124
2012,Й3,1124
2014,З06,1124
2006,Р15,1125
2007,В15,1125
2008,З15,1125
