id,season,team_id1,team_id2,pred,team_id1_wins,team_id2_wins
2014_1107_1196,2014,1107,1196,0.5,0,1
2014_1107_1291,2014,1107,1291,0.5,1,0
2014_1110_1458,2014,1110,1458,0.5,0,1
2014_1112_1211,2014,1112,1211,0.5,1,0
2014_1112_1361,2014,1112,1361,0.5,1,0
2014_1112_1451,2014,1112,1451,0.5,1,0
2014_1112_1458,2014,1112,1458,0.5,0,1
2014_1113_1400,2014,1113,1400,0.5,0,1
2014_1124_1166,2014,1124,1166,0.5,1,0
2014_1124_1304,2014,1124,1304,0.5,1,0
2014_1124_1458,2014,1124,1458,0.5,0,1
2014_1140_1332,2014,1140,1332,0.5,0,1
2014_1142_1411,2014,1142,1411,0.5,1,0
2014_1142_1455,2014,1142,1455,0.5,0,1
2014_1153_1217,2014,1153,1217,0.5,0,1
2014_1157_1438,2014,1157,1438,0.5,0,1
2014_1160_1338,2014,1160,1338,0.5,0,1
2014_1163_1196,2014,1163,1196,0.5,1,0
2014_1163_1235,2014,1163,1235,0.5,1,0
2014_1163_1246,2014,1163,1246,0.5,1,0
2014_1163_1277,2014,1163,1277,0.5,1,0
2014_1163_1386,2014,1163,1386,0.5,1,0
2014_1163_1437,2014,1163,1437,0.5,1,0
2014_1166_1418,2014,1166,1418,0.5,1,0
2014_1173_1196,2014,1173,1196,0.5,0,1
2014_1173_1326,2014,1173,1326,0.5,1,0
2014_1173_1390,2014,1173,1390,0.5,1,0
2014_1173_1393,2014,1173,1393,0.5,1,0
2014_1174_1277,2014,1174,1277,0.5,0,1
2014_1181_1273,2014,1181,1273,0.5,0,1
2014_1184_1242,2014,1184,1242,0.5,0,1
2014_1196_1338,2014,1196,1338,0.5,1,0
2014_1196_1417,2014,1196,1417,0.5,1,0
2014_1203_1272,2014,1203,1272,0.5,0,1
2014_1211_1329,2014,1211,1329,0.5,1,0
2014_1217_1277,2014,1217,1277,0.5,0,1
2014_1234_1397,2014,1234,1397,0.5,0,1
2014_1235_1300,2014,1235,1300,0.5,1,0
2014_1235_1314,2014,1235,1314,0.5,1,0
2014_1242_1390,2014,1242,1390,0.5,0,1
2014_1243_1246,2014,1243,1246,0.5,0,1
2014_1246_1257,2014,1246,1257,0.5,1,0
2014_1246_1276,2014,1246,1276,0.5,1,0
2014_1246_1455,2014,1246,1455,0.5,1,0
2014_1246_1458,2014,1246,1458,0.5,1,0
2014_1257_1264,2014,1257,1264,0.5,1,0
2014_1257_1387,2014,1257,1387,0.5,1,0
2014_1269_1397,2014,1269,1397,0.5,0,1
2014_1272_1438,2014,1272,1438,0.5,0,1
2014_1273_1397,2014,1273,1397,0.5,0,1
2014_1276_1397,2014,1276,1397,0.5,1,0
2014_1276_1400,2014,1276,1400,0.5,1,0
2014_1276_1459,2014,1276,1459,0.5,1,0
2014_1277_1438,2014,1277,1438,0.5,1,0
2014_1295_1328,2014,1295,1328,0.5,1,0
2014_1295_1361,2014,1295,1361,0.5,0,1
2014_1301_1387,2014,1301,1387,0.5,0,1
2014_1301_1462,2014,1301,1462,0.5,1,0
2014_1307_1390,2014,1307,1390,0.5,0,1
2014_1308_1361,2014,1308,1361,0.5,0,1
2014_1314_1344,2014,1314,1344,0.5,1,0
2014_1332_1458,2014,1332,1458,0.5,0,1
2014_1372_1417,2014,1372,1417,0.5,0,1
2014_1372_1433,2014,1372,1433,0.5,1,0
2014_1393_1444,2014,1393,1444,0.5,1,0
2014_1409_1417,2014,1409,1417,0.5,0,1
2014_1437_1454,2014,1437,1454,0.5,1,0
2013_1278_1417,2013,1278,1417,0.5,1,0
2013_1276_1355,2013,1276,1355,0.5,1,0
2013_1211_1455,2013,1211,1455,0.5,0,1
2011_1314_1449,2011,1314,1449,0.5,1,0
2011_1199_1401,2011,1199,1401,0.5,1,0
2011_1181_1276,2011,1181,1276,0.5,1,0
2011_1276_1397,2011,1276,1397,0.5,1,0
