season,seed,team
2009,X02,1328
1990,W10,1412
2004,Z06,1130
1990,Z13,1225
2011,W04,1246
2012,X14,1125
2010,W05,1396
2006,W12,1401
1988,Y01,1328
1986,X04,1207
1998,Z07,1269
2013,Y01,1257
1997,Y15,1149
1987,W12,1292
1993,X01,1231
1988,Z07,1461
2013,Z03,1307
1997,X11,1425
1989,X03,1371
2008,Y13,1331
2010,X14,1358
2004,Z02,1211
1986,X11,1234
2014,Z08,1211
1997,X12,1158
2014,Z02,1458
1989,X10,1261
1993,X04,1257
1988,Y06,1437
2013,Z06,1112
1986,Z13,1419
1987,W06,1196
1999,Z10,1211
1991,W08,1343
1985,Y05,1256
1991,X13,1293
2012,X07,1388
2001,Z06,1400
1996,X10,1400
2009,X11,1396
1988,Y05,1257
2014,X03,1393
2012,Z14b,1233
1992,Y07,1210
1989,Y16,1270
1999,W14,1206
1989,X13,1225
2008,W09,1116
1996,Y15,1422
2013,Z08,1338
2001,Y16b,1457
2012,Y05,1455
2001,W10,1166
1995,X14,1211
2008,Y12,1396
1992,Y11,1337
2001,Y10,1139
1989,W03,1390
1987,Z13,1141
2014,Z16,1451
1990,Z07,1104
1985,Z04,1261
2001,Y03,1279
2001,X07,1116
2002,W12,1409
1992,Y16,1224
