season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2006,69,1259,78,1265,75,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2008,96,1440,88,1157,83,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2014,68,1170,77,1381,49,А,0
1989,70,1288,66,1299,65,А,0
2012,68,1228,59,1304,54,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2000,89,1190,75,1440,64,А,0
2009,15,1444,71,1178,58,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2006,83,1306,75,1107,72,А,1
2005,97,1221,76,1110,67,А,1
2001,129,1414,71,1142,66,Да.,0
1986,68,1164,73,1354,69,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1993,81,1180,79,1318,68,А,0
2003,82,1345,69,1231,47,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1989,93,1241,74,1298,71,А,0
1997,66,1278,65,1458,48,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2014,80,1148,87,1447,83,А,0
2013,122,1440,90,1255,86,Да.,0
1996,82,1435,75,1191,61,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2004,116,1221,72,1137,61,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1992,26,1325,72,1464,62,А,0
2012,70,1153,68,1207,64,А,0
1992,79,1275,59,1444,53,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2010,31,1172,74,1154,63,А,0
1989,32,1161,74,1334,66,Да.,0
2000,76,1248,80,1298,74,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2013,54,1217,67,1143,62,А,0
2008,47,1323,84,1362,76,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2000,125,1178,80,1227,72,А,0
2001,54,1130,88,1346,55,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2005,33,1296,66,1103,58,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2013,112,1223,65,1309,52,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2009,30,1342,56,1157,53,А,1
1987,91,1376,69,1153,66,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2003,17,1196,99,1183,65,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2004,63,1242,77,1160,62,А,0
2010,129,1438,68,1130,62,Да.,0
1991,73,1277,65,1458,50,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1988,33,1203,65,1277,64,А,0
1987,117,1248,73,1406,58,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2002,47,1277,74,1112,60,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2006,113,1191,64,1356,59,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2008,33,1445,67,1209,61,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1987,39,1113,97,1218,72,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1999,117,1322,97,1372,70,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1993,31,1301,72,1421,69,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2007,73,1220,55,1180,53,А,1
2007,89,1146,64,1311,53,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2007,54,1201,95,1142,75,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1994,131,1344,69,1163,67,Да.,0
2008,103,1204,59,1189,44,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2003,43,1337,86,1285,69,Да.,0
2012,103,1422,77,1151,76,А,0
2000,20,1409,91,1348,66,А,0
2012,25,1141,82,1414,72,Да.,0
1997,114,1227,53,1260,50,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2005,124,1431,78,1129,64,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2009,117,1122,88,1369,78,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2008,40,1460,58,1275,57,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2001,105,1307,91,1209,78,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1999,87,1249,75,1372,72,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2010,21,1250,86,1284,74,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1996,105,1461,80,1428,76,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
2009,25,1441,76,1256,62,Да.,0
1997,86,1336,71,1321,69,А,0
2006,52,1461,75,1374,69,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
1996,44,1412,73,1151,69,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0
