season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2012,47,1155,60,1457,40,H,0,21,42,7,14,11,19,8,24,15,12,5,4,16,15,47,3,15,7,10,9,16,5,13,5,1,18
2013,128,1222,72,1349,67,N,0,28,54,5,14,11,16,8,31,14,15,3,7,14,26,70,7,25,8,10,14,20,12,9,7,0,20
2006,72,1242,75,1160,63,A,0,28,63,2,13,17,23,19,31,20,17,6,5,19,21,57,9,22,12,23,9,19,13,12,8,11,20
2011,53,1279,69,1387,61,N,0,19,41,6,13,25,29,10,32,7,19,3,3,14,24,60,8,23,5,13,8,15,14,7,9,2,23
2012,33,1334,65,1429,57,H,0,21,55,6,23,17,20,19,24,17,16,7,7,18,20,61,3,18,14,20,21,15,5,13,4,2,20
2012,58,1295,96,1324,69,H,0,38,59,12,20,8,12,6,31,22,18,7,4,21,21,56,4,21,23,30,8,17,8,16,9,2,14
2005,52,1203,81,1198,71,A,0,28,55,8,19,17,30,13,23,11,24,17,3,18,27,53,5,17,12,20,9,21,17,24,8,2,24
2007,129,1329,54,1304,39,N,0,17,43,5,14,15,19,7,21,12,15,12,4,18,13,47,4,20,9,14,17,21,6,24,8,2,20
2006,40,1280,88,1407,77,H,1,35,75,7,33,11,20,23,35,14,17,5,3,12,27,72,17,45,6,11,11,23,19,13,7,2,17
2003,118,1221,72,1250,64,A,0,23,47,8,13,18,22,7,26,12,14,5,2,16,25,60,4,18,10,14,13,20,12,12,9,3,21
2009,98,1151,66,1359,56,A,0,22,47,6,21,16,21,10,31,11,19,9,4,14,20,51,11,34,5,12,6,16,17,13,8,1,18
2011,12,1339,75,1413,60,H,0,28,45,9,14,10,15,6,27,15,17,9,2,15,23,60,9,31,5,10,11,12,11,11,10,1,20
2009,103,1441,89,1111,84,H,0,30,66,5,18,24,32,11,17,12,10,18,6,22,29,56,8,17,18,24,12,31,14,28,4,6,26
2006,70,1202,83,1459,52,A,0,32,55,7,16,12,13,11,28,15,14,7,3,13,17,52,7,23,11,17,8,12,9,13,7,1,16
2005,94,1249,89,1322,84,A,0,33,54,9,18,14,25,12,25,20,18,6,2,21,28,63,11,22,17,29,17,15,21,13,9,1,23
2010,58,1441,87,1421,76,H,0,29,59,8,20,21,31,6,23,20,16,15,1,27,21,52,4,19,30,37,12,31,10,27,5,2,24
2012,87,1430,65,1152,56,H,0,24,63,4,16,13,21,15,27,11,9,7,2,13,19,57,9,20,9,11,10,28,14,15,6,3,21
2011,62,1124,68,1411,60,H,0,22,52,7,19,17,30,14,25,9,13,12,8,19,20,51,7,14,13,19,10,25,9,21,6,5,24
2006,110,1291,75,1284,69,H,0,22,46,7,19,24,26,10,24,13,18,8,3,21,23,55,5,19,18,26,13,14,11,13,11,3,20
2006,89,1368,84,1311,76,H,0,32,66,7,16,13,19,14,21,12,8,3,6,20,27,50,9,18,13,20,7,23,4,16,2,2,17
2013,117,1439,69,1155,61,H,0,23,42,6,13,17,22,7,26,5,16,5,6,14,23,54,4,16,11,16,8,13,11,9,11,0,16
