id,lgid,teamid,franchid,name,park
74,AL,LAA,ANA,Лос-Анджелес Энджелс из Анахайма,Аngel Стадиум
243,NL,NY3,NYU,Нью-Йорк Мутуалы,Площадка «Уион» (Бруклин)
221,NL,IN3,IND,Индианаполис Хоуизерс,Атлетический парк I
304,UA,BLU,BLU,Бальтиморские монументы,
48,AL,CAL,ANA,Калифорния Энджелс,Стадион Доджер
258,NL,PIT,PIT,Питтсбург Алленьяз,Рекреационный парк
54,AL,CLE,CLE,Кливленд Блюз,Лигу́ park I
280,NL,SLN,STL,Сент-Луис Кардиналс,Буш-стадион III
18,AA,KC2,KCC,Канзас-Сити Ковбои,Экспозиционный парк
5,AA,BR3,LAD,Бруклин Атлантики,Вашингтон-парк I
41,AL,BAL,BAL,Балтимор Ориолс,Ориол Парк в Камден-Ярдыс
220,NL,IN1,IBL,Индианаполис Блюз,Парк на Южной улице
78,AL,MIN,MIN,Миннесота Дримс,Целевое поле
120,FL,BUF,BFL,Баффало Бильджес,
51,AL,CHA,CHW,Чикаго Уайт Сокс,Южный парк II
1,AA,BL2,BLO,Балтимор Ориолс,Ньютон-Парк
43,AL,BOS,BOS,Бостон Ред Сокс,Хингтон-авеню-граундс
239,NL,NY1,SFG,Нью-Йорк Джайантс,Пло Грундс III
50,AL,CHA,CHW,Чикаго Уайт Сокс,Комискей Парк II
22,AA,NY4,NYP,Нью-Йорк Метролитанс,Поле Пло
211,NL,FLO,FLA,Майами Марлинс,Стадион Джо Робби
159,NL,BFN,BUF,Баффало Бильс,Олимпийский парк I
52,AL,CHA,CHW,Чикаго Уайт Сокс,Южный парк II/Комиски-парк
295,PL,BFP,BFB,Баффало Бильс,
138,NA,FW1,KEK,Форт-Уэйн Кекионгэс,Гамильтон-Феллз
131,NA,BR2,BRA,Бруклин Атлантики,Капитолийские луга
108,AL,TOR,TOR,Бьюфало Бэйхитс,Экспо-стадион / Скайдом
275,NL,SL3,SBS,Сент-Луис Браун Стокингс,Парк спортсмена I
73,AL,LAA,ANA,Лос-Анджелес Энджелс,Уигли-филд (Лос-Анджелес)
181,NL,BSN,ATL,Бостонские вороваты,Южный конец земли III
