franchid,franchname,active,naassoc
IBL,Индианаполис Блюз,Машина хорошо работает и не требует ремонта.,
ROC,Бронкос Рочестер,Машина хорошо работает и не требует ремонта.,
OAK,Окленд Атлетикс,Да.,
CHC,Чикаго Кабс,Да.,КНА
WSN,Вашингтон Нэшнлз,Да.,
KCP,Канзас-Сити Пакерс,Машина хорошо работает и не требует ремонта.,
PHQ,Филадельфийские Атлетики,Машина хорошо работает и не требует ремонта.,
MLG,Милуоки Грейс,Машина хорошо работает и не требует ремонта.,
TLM,Толедо Маумеи,Машина хорошо работает и не требует ремонта.,
TRT,Троианы,Машина хорошо работает и не требует ремонта.,
NHV,Новый-Хейвен-Ельм-Ситис,Да.,
MIN,Миннесота Дримс,Да.,
BLO,Балтимор Ориолс,Машина хорошо работает и не требует ремонта.,
BNA,Бостон Ред Стокингс,Да.,Атла́с
BFL,Баффало Бильс,Машина хорошо работает и не требует ремонта.,
IND,Индианаполис Хоуизерс,Машина хорошо работает и не требует ремонта.,
PNA,Филадельфийские Атлетики,Да.,Ат
CLV,Кливленд Спайдеры,Машина хорошо работает и не требует ремонта.,
BRA,Бруклин Атлантики,Да.,
WNL,Вашингтон Нэшнлз,Машина хорошо работает и не требует ремонта.,
CHH,Чикаго Уэйлз,Машина хорошо работает и не требует ремонта.,
KCN,Канзас-Сити Ковбои,Машина хорошо работает и не требует ремонта.,
SDP,Сан-Диего Падрес,Да.,
NEW,Ньюарк-Пеппер,Машина хорошо работает и не требует ремонта.,
PBS,Питтсбургские повстанцы,Машина хорошо работает и не требует ремонта.,
PHA,Филадельфийские Атлетики,Машина хорошо работает и не требует ремонта.,
BWW,Вандалы Бруклина,Машина хорошо работает и не требует ремонта.,
CNA,"Чикаго ""Белые стокинги""",Да.,ХСЧ
MAR,"Балтимор, Мэриленд",Да.,
RIC,Ричмондские Вирджинийцы,Машина хорошо работает и не требует ремонта.,
WAS,Вашингтонские сенаторы,Машина хорошо работает и не требует ремонта.,
PHK,Филадельфийские ключи,Машина хорошо работает и не требует ремонта.,
IHO,Индианаполис Хоуизерс,Машина хорошо работает и не требует ремонта.,
MLA,Милуоки Брюэрс,Машина хорошо работает и не требует ремонта.,
LOU,Луисвилл Колонелы,Машина хорошо работает и не требует ремонта.,
COL,Колорадо Рокиз,Да.,
WNT,Вашингтон Нэшнлз,Да.,
BFB,Баффало Бильс,Машина хорошо работает и не требует ремонта.,
WIL,Уилмингтон Квикстепс,Машина хорошо работает и не требует ремонта.,
STP,Святые Апостолы,Машина хорошо работает и не требует ремонта.,
SBS,Сент-Луис Браун Стокингс,Машина хорошо работает и не требует ремонта.,СНА
WST,Вашингтон Стейтменс,Машина хорошо работает и не требует ремонта.,
LGR,Луизвилл Грейс,Машина хорошо работает и не требует ремонта.,
