yearid,teamid,lgid,playerid,salary
2006,SFN,NL,ellisja01,345000
2000,NYA,AL,jimenda01,200000
1988,NYA,AL,buhneja01,67000
1986,MIN,AL,violafr01,674000
1985,OAK,AL,lansfca01,900000
1985,ML4,AL,coopece01,1176190
1989,SFN,NL,lacosmi01,1100000
2000,CLE,AL,martito02,225000
2009,TEX,AL,benoijo01,3750000
1996,FLO,NL,colbrgr01,1200000
1990,CIN,NL,benavfr01,100000
2011,DET,AL,jacksau01,440000
2006,TBA,AL,colomje01,815000
1985,CHA,AL,cruzju01,1242333
2000,TOR,AL,wellsda01,5500000
1987,KCA,AL,stoddbo01,65000
2008,PHI,NL,madsory01,1400000
1989,CAL,AL,whitede03,380000
2002,BOS,AL,wallaje01,400000
1997,SLN,NL,mejiaro02,185000
2010,BOS,AL,hermije01,3345000
1996,ATL,NL,bellira01,575000
2002,PIT,NL,benjami01,925000
2002,SLN,NL,ankieri01,400000
2004,OAK,AL,germaes01,301000
2011,BOS,AL,beckejo02,17000000
2007,TEX,AL,feldmsc01,388203
1999,MIL,NL,plunker01,1850000
1992,MIN,AL,munozpe01,155000
1985,ML4,AL,moorech02,365000
2005,CHN,NL,hairsje02,1800000
1995,COL,NL,reedst01,265000
2000,TOR,AL,mondera01,10000000
2007,KCA,AL,braunry01,380000
2007,WAS,NL,lopezfe01,3900000
1986,SDN,NL,roberbi01,60000
2011,DET,AL,perryry01,430000
1994,SLN,NL,mabryjo01,109000
1999,PIT,NL,cordofr01,1250000
1999,ANA,AL,potelo01,200000
1985,PHI,NL,rawlesh01,700000
2004,FLO,NL,coninje01,3000000
2010,MIN,AL,buterdr01,400000
2002,LAN,NL,grudzma01,5000000
2012,PIT,NL,hugheja02,481000
1991,BOS,AL,grayje01,155000
2008,TEX,AL,lairdge01,1600000
1997,OAK,AL,reyesca01,200000
2004,CHN,NL,hollato01,1000000
1990,SLN,NL,guerrpe01,2083333
1995,CHN,NL,kmakjo01,130000
1990,SEA,AL,obriepe03,1187500
2003,ATL,NL,marquja01,368000
1999,PIT,NL,kendaja01,1250000
2001,ATL,NL,smoltjo01,8000000
2005,ARI,NL,gilje01,318000
1995,SDN,NL,bochtdo01,109000
2000,COL,NL,maynebr01,1750000
1995,NYN,NL,stinnke01,125000
2004,TBA,AL,cruzjo02,2500000
2002,LAN,NL,chrismc01,222500
2009,TBA,AL,longoev01,550000
1994,DET,AL,mooremi01,3333334
1999,CIN,NL,whitega01,300000
2011,PIT,NL,jonesga02,455500
2001,OAK,AL,jenniro01,290000
1995,SLN,NL,mabryjo01,109000
1993,MIN,AL,rebouje01,128000
2001,BAL,AL,myersgr01,1200000
2011,LAN,NL,billich01,6275000
2006,MIL,NL,moellch01,700000
2012,DET,AL,doteloc01,3000000
1992,OAK,AL,eckerde01,3150000
2006,KCA,AL,sweenmi01,11000000
1999,COL,NL,jonesbo04,245000
2005,BOS,AL,embreal01,3000000
1996,BAL,AL,alomaro01,4279379
1998,ANA,AL,bolicfr01,178000
1994,MON,NL,bouchde01,135000
2010,KCA,AL,hughedu01,400500
1997,ANA,AL,hollida01,2050000
2012,CLE,AL,kotchca01,3000000
2009,CIN,NL,weathda01,3500000
1996,SDN,NL,bochtdo01,145000
2007,HOU,NL,quinthu01,385000
1986,PHI,NL,aguaylu01,275000
2008,TOR,AL,ryanbj01,12000000
1991,CLE,AL,coleal01,155000
1998,HOU,NL,holtch01,269000
1985,SDN,NL,hawkian01,200000
1991,KCA,AL,gordoto01,325000
1999,LAN,NL,dreifda01,1900000
2008,PHI,NL,hamelco01,500000
1987,TOR,AL,mcgrifr01,62500
1992,SDN,NL,leffecr01,2041667
2008,HOU,NL,quinthu01,405000
2006,BOS,AL,penawi01,1250000
1989,BAL,AL,olsongr01,70000
2003,KCA,AL,ibanera01,3000000
2011,TOR,AL,nixja01,438100
1995,ATL,NL,merckke01,2250000
1987,PHI,NL,aguaylu01,325000
1987,CAL,AL,howelja02,95000
2003,MIN,AL,princto01,450000
2012,TOR,AL,morrobr01,4000000
1991,HOU,NL,harnipe01,210000
1995,PIT,NL,merceor01,2000000
2004,ATL,NL,perezed02,625000
1999,BOS,AL,grosski01,500000
2012,WAS,NL,matthry01,481000
1994,SDN,NL,martipe03,135000
2010,SFN,NL,linceti01,9000000
2003,DET,AL,bocachi01,325000
1995,HOU,NL,wagnebi02,109000
2000,TEX,AL,alicelu01,750000
2006,MIN,AL,lohseky01,3950000
1997,PHI,NL,mimbsmi01,200000
1988,HOU,NL,scottmi03,666667
1990,HOU,NL,youngge02,280000
1994,MON,NL,heredgi01,135000
1985,PHI,NL,anderla02,250500
1997,KCA,AL,ruschgl01,150000
1996,PHI,NL,ryanke01,272500
2001,TEX,AL,venafmi01,310000
2005,SDN,NL,blumge01,575000
2011,COL,NL,stewaia01,2287500
2007,ATL,NL,hamptmi01,14500000
1990,MON,NL,heskejo01,375000
2001,COL,NL,thomsjo01,300000
1989,MIN,AL,waynega01,68000
1996,CLE,AL,shueypa01,138000
1993,NYA,AL,wickmbo01,116000
2008,NYA,AL,trabebi01,500000
1995,CAL,AL,palmeor01,109000
2002,ATL,NL,lockhke01,600000
2002,CIN,NL,clarkbr02,233000
2009,LAA,AL,moseldu01,435000
1993,CIN,NL,wilsoda01,109000
1997,MIN,AL,knoblch01,6150000
1994,KCA,AL,mcraebr01,1900000
1990,TEX,AL,incavpe01,800000
1995,SEA,AL,wellsbo01,109000
2006,WAS,NL,dresery01,1900000
2007,FLO,NL,woodja02,390000
1997,TEX,AL,patteda04,150000
1998,MIN,AL,ochoaal01,182500
1992,SDN,NL,fariepa01,122500
1996,PHI,NL,mageewe01,109000
2003,ANA,AL,eckstda01,425000
1997,SLN,NL,honeyri01,500000
