playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
redmomi01,2003,FLO,NL,ВИ,С,1,0,3.0,2,0,0,0,0,0.0,0.0,0.0
dejesiv01,1983,PHI,NL,ВИ,Стреловая звезда,5,5,132.0,5,14,1,2,0,,,
posadjo01,1997,NYA,AL,АЛДС1,С,2,0,12.0,1,1,0,0,0,0.0,1.0,1.0
lemkema01,1996,ATL,NL,НЛЦС,Двое,7,7,171.0,9,18,0,3,0,,,
cowenal01,1977,KCA,AL,АЛКС,ФМ,5,4,114.0,14,0,0,0,0,,,
maddugr01,2008,LAN,NL,НЛЦС,П,2,0,9.0,0,0,0,0,0,,0.0,0.0
wilkecu01,1989,CHN,NL,НЛЦС,3В,1,0,3.0,0,0,0,0,0,,,
herrto01,1985,SLN,NL,ВИ,Двое,7,7,184.0,10,14,0,8,0,,,
magrajo01,1987,SLN,NL,НЛЦС,П,1,1,12.0,0,1,0,0,0,,1.0,0.0
lowelmi01,2008,BOS,AL,АЛДС1,3В,2,2,57.0,3,6,0,0,0,,,
selkige01,1936,NYA,AL,ВИ,ФМ,6,6,162.0,9,0,1,0,0,,,
schilcu01,2004,BOS,AL,АЛКС,П,2,2,30.0,1,0,0,0,0,,0.0,0.0
utleych01,2009,PHI,NL,ВИ,Двое,6,6,156.0,10,9,0,1,0,,,
tenacge01,1973,OAK,AL,АЛКС,1Б,5,5,120.0,38,3,0,2,0,,,
barfije01,1985,TOR,AL,АЛКС,ФМ,7,7,186.0,21,0,1,0,0,,,
borbope01,1976,CIN,NL,НЛЦС,П,2,0,13.0,0,0,0,0,0,,0.0,0.0
mesajo01,1997,CLE,AL,АЛДС1,П,2,0,10.0,0,1,0,0,0,,0.0,0.0
nettlgr01,1984,SDN,NL,ВИ,3В,5,5,117.0,7,11,0,1,0,,,
kileda01,2001,SLN,NL,НЛДС2,П,1,1,18.0,0,1,0,0,0,,0.0,1.0
lewisco01,2011,TEX,AL,АЛКС,П,1,1,,0,2,0,0,0,,,
taverwi01,2007,COL,NL,НЛЦС,CF,4,4,108.0,11,0,0,0,0,,,
venturo01,2002,NYA,AL,АЛДС1,3В,4,4,102.0,1,4,0,0,0,,,
