yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
2003,TEX,AL,menchke01,38,33.0,38,35,0,0,0,0,0,0,34,3,2,35,0.0,3.0
1925,BSN,NL,mannle01,60,,60,60,0,0,0,0,0,0,5,11,41,57,,
1894,CHN,NL,campki01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
1923,DET,AL,jonesbo01,100,,100,100,0,0,0,0,97,0,0,0,0,0,,
1890,RC2,AA,mckeoda01,62,,62,62,0,47,0,2,1,13,0,0,0,0,,
1939,BSN,NL,rowelba01,21,,21,21,0,0,0,0,0,0,0,13,3,16,,
1948,NY1,NL,livinmi01,45,,45,45,0,42,0,0,0,0,0,0,0,0,,
1996,HOU,NL,hamptmi01,29,27.0,29,27,27,0,0,0,0,0,0,0,0,0,0.0,0.0
1894,BSN,NL,duffyhu01,125,,125,125,0,0,0,0,0,2,4,121,0,124,,
1915,NYA,AL,shawkbo01,16,,16,16,16,0,0,0,0,0,0,0,0,0,,
1950,CHN,NL,voisebi01,19,,19,19,19,0,0,0,0,0,0,0,0,0,,
1973,PHI,NL,luzingr01,161,,161,161,0,0,0,0,0,0,159,0,0,159,,
1996,CAL,AL,erstada01,57,47.0,57,48,0,0,0,0,0,0,11,36,1,48,0.0,9.0
2001,CHA,AL,pulsibi01,14,0.0,0,14,14,0,0,0,0,0,0,0,0,0,0.0,0.0
1959,WS1,AL,asproke01,70,,70,70,0,0,1,52,0,12,1,0,0,1,,
1940,CHN,NL,bryancl01,16,,16,16,8,0,0,0,0,0,0,0,0,0,,
1993,NYA,AL,farrst01,49,0.0,2,49,49,0,0,0,0,0,0,0,0,0,0.0,0.0
1954,CHN,NL,bankser01,154,,154,154,0,0,0,0,0,154,0,0,0,0,,
1951,SLA,AL,longda02,34,,34,34,0,0,28,0,0,0,1,0,0,1,,
1906,PIT,NL,hallmbi02,23,,23,23,0,0,0,0,0,0,8,15,0,23,,
1977,MIN,AL,carewro01,155,148.0,155,151,0,0,151,4,0,0,0,0,0,0,0.0,7.0
1892,CHN,NL,hutchbi01,77,,77,77,75,0,0,0,0,0,0,2,0,2,,
1991,NYA,AL,guettle01,64,0.0,1,64,64,0,0,0,0,0,0,0,0,0,0.0,0.0
1982,ATL,NL,butlebr01,89,55.0,89,77,0,0,0,0,0,0,0,77,0,77,0.0,9.0
1885,CHN,NL,corcola01,7,,7,7,7,0,0,0,0,1,0,0,0,0,,
1910,SLN,NL,raleijo01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
2007,MIL,NL,estrajo01,120,113.0,120,113,0,113,0,0,0,0,0,0,0,0,2.0,5.0
1992,CAL,AL,fitzgmi02,95,58.0,95,90,0,74,2,1,3,0,5,0,6,11,1.0,12.0
1949,SLN,NL,johnske01,21,,21,21,14,0,0,0,0,0,0,0,0,0,,
1902,SLA,AL,burkeje01,138,,138,138,1,0,0,0,1,1,137,0,0,137,,
1985,HOU,NL,mizerjo01,15,11.0,15,15,0,15,0,0,0,0,0,0,0,0,0.0,0.0
1963,LAN,NL,roweke01,14,,14,14,14,0,0,0,0,0,0,0,0,0,,
1917,CLE,AL,eunicfr01,1,,1,1,0,0,0,0,1,0,0,0,0,0,,
1976,TEX,AL,skokcr01,9,0.0,0,9,9,0,0,0,0,0,0,0,0,0,0.0,0.0
1981,CAL,AL,brunato01,11,11.0,11,11,0,0,0,0,0,0,11,0,0,11,0.0,0.0
2001,MIL,NL,kolbbr01,10,0.0,10,10,10,0,0,0,0,0,0,0,0,0,0.0,0.0
1967,CLE,AL,scheiri01,18,,18,18,0,0,0,0,0,0,0,0,18,18,,
1929,CHA,AL,connasa01,11,,11,11,11,0,0,0,0,0,0,0,0,0,,
1972,CAL,AL,murphto02,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1930,CHN,NL,farredo01,46,,46,46,0,0,0,1,0,38,0,0,0,0,,
1903,WS1,AL,drillle01,51,,51,51,0,47,3,0,0,0,0,0,0,0,,
1970,PIT,NL,sanguma01,128,,128,128,0,125,0,0,0,0,0,0,0,0,,
1945,PHI,NL,kenneve01,13,,13,13,12,0,0,0,0,0,0,0,0,0,,
1919,CLE,AL,oneilst01,125,,125,125,0,123,0,0,0,0,0,0,0,0,,
1872,WS3,,bealsto01,9,,9,9,0,0,0,5,0,2,0,2,0,2,,
