yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
1947,WS,lombavi01,BRO,NL,3,3,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1912,WS,marquru01,NY1,NL,2,4,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,1.0,0.0,0.0
1923,WS,jonessa01,NYA,AL,2,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,1.0
2000,НЛДС2,murraca01,SFN,NL,3,5,0,1,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
2002,ОДЛС1,fullmbr01,ANA,AL,3,7,1,2,1,0,0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,1.0
2008,НЛДС1,cedenro02,CHN,NL,1,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1981,AEDIV,brownbo04,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2000,NLCS,whiteri01,NYN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2006,WS,verlaju01,DET,AL,1,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1981,NWDIV,pittmjo01,HOU,NL,2,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1997,НЛДС2,graffto01,ATL,NL,3,3,0,0,0,0,0,0,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0
1975,WS,griffke01,CIN,NL,7,26,4,7,3,1,0,4,2,0.0,4,2,0.0,0.0,0.0,0.0,0.0
2010,ОДЛС2,thomeji01,MIN,AL,3,10,2,1,0,0,0,0,0,0.0,2,3,0.0,1.0,0.0,0.0,0.0
1996,ОДЛС1,candaca01,CLE,AL,2,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
1913,WS,mccormo01,NY1,NL,2,2,1,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2002,НЛДС1,hernali01,SFN,NL,1,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,2.0,0.0,0.0
1974,NLCS,suttodo01,LAN,NL,2,6,0,2,0,0,0,1,0,0.0,1,2,0.0,0.0,1.0,0.0,0.0
2005,NLCS,grudzma01,SLN,NL,6,22,2,5,0,0,0,2,0,0.0,0,3,0.0,1.0,0.0,0.0,0.0
1989,WS,leffecr01,SFN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1922,WS,hoytwa01,NYA,AL,2,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1999,WS,curtich01,NYA,AL,3,6,3,2,0,0,2,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1980,NLCS,smithlo01,PHI,NL,3,5,2,3,0,0,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1981,NLCS,frymawo01,MON,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1886,WS,kellyki01,CHN,NL,6,24,4,5,0,0,1,1,1,,2,2,0.0,,,,
2011,НЛДС2,bloomwi01,ARI,NL,5,22,3,7,0,0,0,1,3,0.0,1,3,,,,,
2003,НЛДС2,ortizru01,ATL,NL,2,5,0,1,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1935,WS,carlete01,CHN,NL,1,1,0,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1995,НЛДС1,justida01,ATL,NL,4,13,2,3,0,0,0,0,0,0.0,5,2,0.0,0.0,0.0,0.0,0.0
1998,ОДЛС1,lewisda01,BOS,AL,4,14,4,5,2,0,0,0,1,0.0,1,3,0.0,1.0,0.0,0.0,0.0
2008,NLCS,eyresc01,PHI,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1995,НЛДС1,ruffibr01,COL,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1929,WS,blairfo01,CHN,NL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2008,NLCS,utleych01,PHI,NL,5,17,4,6,2,0,1,3,0,1.0,6,5,0.0,0.0,0.0,0.0,1.0
1995,WS,obriech01,ATL,NL,2,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
