playerid,yearid,stint,glf,gcf,grf
marriwi01,1921,1,1,0,0
summaho01,1929,1,18,0,16
phillda01,1946,1,16,1,0
brownto01,1882,1,0,0,45
wertzvi01,1950,1,0,0,145
gessldo01,1908,1,0,0,126
schanwa01,1918,1,14,2,0
lenhado01,1954,1,7,0,0
gleasha01,1902,1,8,15,0
andreed01,1890,1,1,89,4
burnsge01,1918,1,119,0,0
roushed01,1929,1,0,107,0
mullato01,1893,2,2,0,0
deckeha01,1890,2,2,0,2
guintbe01,1946,1,0,0,1
poormto01,1887,1,0,0,135
phillde01,1899,1,1,0,1
dickebu01,1879,1,81,0,0
glennjo01,1874,1,2,1,17
rainejo01,1890,1,0,0,28
gordosi01,1941,1,3,6,0
batesjo02,1911,1,0,145,2
kerinjo01,1884,1,0,2,3
peckha01,1948,1,1,0,9
paynefr01,1909,1,0,0,3
goldswa02,1884,1,1,4,0
kellech01,1951,1,4,0,4
roettwa01,1933,1,26,1,28
highadi01,1878,1,0,0,62
hendrti01,1915,1,0,12,0
tiernmi01,1888,1,0,1,112
brownge01,1911,1,0,0,2
rebelar01,1945,1,0,0,18
chapmsa01,1938,1,103,8,0
williwa01,1884,1,0,0,2
shellhu01,1935,1,3,1,1
wilmowa01,1893,1,84,10,0
sheckji01,1909,1,148,0,0
quintma01,1884,1,0,0,10
kilroma01,1898,1,1,0,11
millebi02,1936,1,7,0,7
olmolu01,1951,1,10,6,2
shrevle01,1887,1,2,0,0
dobyla01,1949,1,0,117,39
mullato01,1890,1,8,2,18
gilro01,1875,1,0,0,1
cookedu01,1938,1,46,0,7
shoupjo01,1884,1,0,1,0
kirbyjo01,1886,1,0,2,1
woodge01,1890,1,128,0,4
speakbo01,1955,1,49,0,8
corkhpo01,1887,1,0,121,7
milledu01,1898,1,0,0,152
wanerpa01,1942,1,0,0,94
davisha01,1896,2,9,0,1
mcgeami01,1880,2,0,0,2
willite01,1946,1,150,0,0
weavesa01,1883,1,0,6,0
whittpo01,1920,1,1,0,0
browefr01,1921,1,0,0,46
hermaba01,1933,1,0,0,131
carlyro01,1926,1,0,0,38
gumbead01,1893,1,0,7,0
freylo01,1946,1,3,13,12
bennehe01,1924,1,12,0,9
ewingbu01,1889,1,1,0,0
lockmwh01,1949,1,151,0,0
richmle01,1883,1,33,3,5
curtrgu01,1944,1,35,0,17
childpe01,1901,1,1,1,0
vaughar01,1948,1,26,0,0
mccarbi03,1923,1,0,0,1
reachal01,1874,1,0,0,14
secorfr01,1945,1,10,0,2
olsoniv01,1912,1,3,0,0
myershy01,1922,1,0,152,0
ricesa01,1929,1,0,0,147
selbaki01,1899,1,101,39,0
crossla01,1892,1,8,17,0
musiast01,1949,1,3,72,117
tobinja01,1914,1,12,7,113
combsea01,1932,1,42,115,1
breitte01,1899,1,0,6,1
hayesmi01,1876,1,5,0,0
anderjo01,1897,1,115,0,0
thompha02,1954,1,1,0,0
jonesbi01,1884,1,0,0,1
sistisi01,1952,1,8,0,16
bondto01,1884,2,0,1,1
mcgeaja01,1886,1,6,0,0
thompto02,1933,1,1,13,10
clarkea01,1931,1,14,0,0
whitedo01,1904,1,0,2,0
lynchto01,1885,1,9,4,0
hallge01,1875,1,74,0,3
cramedo01,1932,1,0,45,42
leonaan01,1874,1,51,0,0
moorejo02,1932,1,85,1,0
russeha01,1914,1,1,1,0
marshwi01,1948,1,0,0,142
rogerpa01,1938,1,1,0,0
obrieda01,1888,1,136,0,0
striccu01,1884,1,0,1,0
