playerid,awardid,yearid,lgid,tie,notes
furilca01,TSN All-Star,1953,ML,,OF
robinfr02,TSN All-Star,1962,NL,,OF
grubeke01,Gold Glove,1990,AL,,3B
mageesh01,Baseball Magazine All-Star,1910,NL,,LF
brancra01,TSN All-Star,1947,ML,,P
wagneho01,Baseball Magazine All-Star,1908,ML,,SS
guerrpe01,World Series MVP,1981,ML,Y,
kellge01,Baseball Magazine All-Star,1947,AL,,3B
alexape01,Baseball Magazine All-Star,1923,ML,,P3
dyeje01,Babe Ruth Award,2005,AL,,OF
cronijo01,Baseball Magazine All-Star,1933,ML,,SS
francju01,Silver Slugger,1991,AL,,2B
cartega01,Gold Glove,1980,NL,,C
cicoted01,Baseball Magazine All-Star,1919,AL,,P2
fellebo01,Baseball Magazine All-Star,1946,ML,,P1
cavarph01,TSN All-Star,1945,ML,,1B
musiast01,TSN All-Star,1948,ML,,OF
ripkeca01,Gold Glove,1991,AL,,SS
musiast01,TSN All-Star,1944,ML,,OF
kellge01,TSN All-Star,1952,ML,,3B
snidedu01,TSN Player of the Year,1955,NL,,
dickera01,TSN Pitcher of the Year,2012,NL,,
murcebo01,TSN All-Star,1973,AL,,OF
burleri01,TSN All-Star,1977,AL,,SS
gibsobo01,Babe Ruth Award,1964,NL,,P
willibe02,Gold Glove,1999,AL,,OF
ripkeca01,Lou Gehrig Memorial Award,1992,ML,,
benchjo01,Most Valuable Player,1970,NL,,
uhlege01,TSN All-Star,1926,ML,,P
parneme01,Baseball Magazine All-Star,1949,ML,,P4
martibi02,Babe Ruth Award,1953,AL,,2B
jonesdo01,TSN Fireman of the Year,1992,NL,Y,
oestero01,Hutch Award,1988,ML,,
speaktr01,Baseball Magazine All-Star,1912,AL,,OF
suttebr01,TSN Fireman of the Year,1981,NL,,
applilu01,Baseball Magazine All-Star,1936,AL,,SS
parkeda01,TSN All-Star,1975,NL,,OF
gehrich01,Baseball Magazine All-Star,1929,AL,,2B
speaktr01,Baseball Magazine All-Star,1921,AL,,OF
bollifr01,Gold Glove,1958,AL,,2B
zitoba01,Cy Young Award,2002,AL,,
aloumo01,TSN All-Star,1994,NL,,OF
parkeda01,TSN All-Star,1990,AL,,DH
heilmha01,Baseball Magazine All-Star,1925,AL,,RF
cashno01,TSN All-Star,1971,AL,,1B
lynnfr01,All-Star Game MVP,1983,ML,,
morrija02,Babe Ruth Award,1984,AL,,P
davisma01,TSN Fireman of the Year,1989,NL,,
hornsro01,Baseball Magazine All-Star,1919,NL,,SS
riceji01,TSN All-Star,1979,AL,,OF
collied01,Baseball Magazine All-Star,1909,ML,,2B
cartega01,Silver Slugger,1984,NL,,C
murraed02,Gold Glove,1984,AL,,1B
willite01,Baseball Magazine All-Star,1939,ML,,RF
