playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
zambrvi01,2004,2,NYN,NL,3,3,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
scherbi01,1987,1,CIN,NL,23,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
manniti01,1884,1,BL2,AA,91,91,341.0,49.0,70.0,14.0,5.0,2.0,0.0,0.0,,26.0,,,7.0,,,,91.0
thigpbo01,1992,1,CHA,AL,55,0,,,,,,,,,,,,,,,,,55.0
wittke01,2001,1,SDN,NL,14,14,27.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,14.0
brantma01,1980,1,NYA,AL,3,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
izturce01,2007,2,PIT,NL,45,45,123.0,16.0,34.0,3.0,2.0,0.0,8.0,0.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,45.0
vaughhi01,1913,1,CHN,NL,7,7,21.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,,0.0,7.0,,0.0,0.0,,,7.0
delocik01,1952,1,BOS,AL,39,39,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,,0.0,1.0,,3.0,39.0
joneswi01,1956,1,PHI,NL,149,149,520.0,88.0,144.0,20.0,4.0,17.0,78.0,5.0,4.0,92.0,49.0,6.0,1.0,3.0,5.0,15.0,149.0
reganph01,1964,1,DET,AL,33,33,41.0,3.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,13.0,0.0,0.0,4.0,0.0,1.0,33.0
reynocr01,1985,1,HOU,NL,107,107,379.0,43.0,103.0,18.0,8.0,4.0,32.0,4.0,4.0,12.0,30.0,2.0,0.0,3.0,2.0,4.0,107.0
mooremi01,1995,1,DET,AL,25,0,,,,,,,,,,,,,,,,,25.0
gumbeha01,1949,2,PIT,NL,16,16,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,16.0
brobepe01,1977,1,CHN,NL,22,22,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,22.0
esperdu01,1898,1,SLN,NL,11,11,27.0,1.0,10.0,0.0,0.0,0.0,5.0,0.0,,1.0,,,0.0,0.0,,,11.0
cummica01,1873,1,BL1,NA,42,42,192.0,30.0,48.0,5.0,0.0,0.0,35.0,1.0,0.0,5.0,5.0,,,,,,42.0
speecby01,1930,1,PHI,NL,11,11,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,,0.0,0.0,,,11.0
carrocl01,1892,1,SLN,NL,101,101,407.0,82.0,111.0,14.0,8.0,4.0,49.0,30.0,,47.0,22.0,,11.0,,,,101.0
