playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
spilmha01,1989,1,HOU,NL,C,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hoytwa01,1918,1,NY1,NL,P,1,,,0.0,0.0,0.0,0.0,,,,,
rodrifr03,2004,1,ANA,AL,P,69,0.0,252.0,5.0,9.0,0.0,0.0,,,,,
laryly01,1933,1,NYA,AL,3B,28,,,32.0,44.0,5.0,5.0,,,,,
willike02,1990,1,DET,AL,LF,17,1.0,99.0,6.0,0.0,0.0,0.0,,,,,
patekfr01,1969,1,PIT,NL,SS,146,141.0,3699.0,227.0,399.0,30.0,81.0,,,,,
musiast01,1958,1,SLN,NL,1B,124,123.0,3114.0,1019.0,100.0,13.0,127.0,,,,,
pecotbi01,1991,1,KCA,AL,SS,9,3.0,96.0,8.0,14.0,0.0,3.0,,,,,
loftudi01,1924,1,BRO,NL,OF,29,,,48.0,1.0,0.0,1.0,,,,,
wilmepa01,1989,1,TEX,AL,P,3,0.0,7.0,0.0,1.0,0.0,0.0,,,,,
trammbu01,1997,1,DET,AL,OF,28,25.0,638.0,52.0,1.0,0.0,0.0,,,,,
tettlmi01,1993,1,DET,AL,C,56,51.0,1290.0,268.0,19.0,1.0,1.0,4.0,20.0,36.0,9.0,0.0
iorgda01,1983,1,SLN,NL,RF,13,10.0,219.0,26.0,0.0,0.0,0.0,,,,,
schlead01,1905,1,CIN,NL,1B,6,,,57.0,3.0,1.0,1.0,,,,,
hendrcl01,1920,1,CHN,NL,P,27,,,4.0,56.0,5.0,1.0,,,,,
bancrda01,1922,1,NY1,NL,SS,156,,,405.0,579.0,62.0,93.0,,,,,
mayda01,1967,1,BAL,AL,LF,1,1.0,30.0,4.0,0.0,0.0,0.0,,,,,
singlke01,1981,1,BAL,AL,RF,72,72.0,1659.0,127.0,2.0,0.0,2.0,,,,,
raburry01,2011,1,DET,AL,LF,52,34.0,1007.0,89.0,3.0,3.0,1.0,,,,,
johnsbo01,1944,1,BOS,AL,OF,142,,,270.0,23.0,7.0,3.0,,,,,
duryeje01,1890,1,CIN,NL,P,33,,,7.0,59.0,10.0,4.0,,,,,
bahnsst01,1966,1,NYA,AL,P,4,3.0,69.0,1.0,3.0,0.0,0.0,,,,,
wagnema01,1977,1,DET,AL,SS,21,16.0,423.0,15.0,57.0,6.0,10.0,,,,,
dunstsh01,1999,1,SLN,NL,LF,9,7.0,153.0,10.0,0.0,0.0,0.0,,,,,
nielsmi01,1949,1,CLE,AL,OF,3,,,6.0,0.0,0.0,0.0,,,,,
snellch02,2006,1,SEA,AL,LF,1,1.0,27.0,2.0,0.0,0.0,0.0,,,,,
bartlbi01,1903,1,NY1,NL,P,1,,,0.0,1.0,0.0,0.0,,,,,
thronma01,1962,1,BAL,AL,OF,2,2.0,36.0,3.0,0.0,0.0,0.0,,,,,
hulseda01,1993,1,TEX,AL,DH,2,,,,,,,,,,,
quinnja01,1929,1,PHA,AL,P,35,,,3.0,38.0,1.0,1.0,,,,,
esterdu01,1880,1,BFN,NL,2B,6,,,10.0,13.0,5.0,0.0,,,,,
sandoda01,2006,1,PHI,NL,2B,8,2.0,99.0,7.0,7.0,0.0,1.0,,,,,
hamilea01,1916,1,SLA,AL,P,1,,,0.0,0.0,1.0,0.0,,,,,
doteloc01,2010,2,LAN,NL,P,19,0.0,56.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,
phelpke01,1989,2,OAK,AL,1B,1,1.0,27.0,0.0,0.0,0.0,0.0,,,,,
rudoldo01,1957,1,CHA,AL,P,5,0.0,36.0,0.0,1.0,0.0,0.0,,,,,
bellira01,1997,1,ATL,NL,2B,7,0.0,32.0,1.0,5.0,0.0,0.0,,,,,
huffau01,2008,1,BAL,AL,3B,33,31.0,825.0,23.0,64.0,3.0,4.0,,,,,
musseje01,1988,1,TOR,AL,P,15,15.0,255.0,3.0,8.0,1.0,1.0,,,,,
wrighri01,1984,1,TEX,AL,P,8,1.0,44.0,1.0,4.0,0.0,0.0,,,,,
smithke01,1979,1,SLN,NL,LF,5,3.0,90.0,14.0,1.0,0.0,0.0,,,,,
owenfr01,1901,1,DET,AL,P,8,,,7.0,24.0,1.0,2.0,,,,,
fiskca01,1981,1,CHA,AL,1B,1,1.0,27.0,7.0,2.0,1.0,4.0,,,,,
wathajo01,1980,1,KCA,AL,C,77,72.0,1953.0,306.0,25.0,6.0,5.0,1.0,17.0,58.0,21.0,0.0
templjo01,1957,1,CIN,NL,2B,145,141.0,3809.0,391.0,372.0,20.0,81.0,,,,,
biesest01,1997,1,NYN,NL,C,2,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mastewa02,1956,1,DET,AL,P,35,0.0,149.0,3.0,6.0,2.0,1.0,,,,,
betemwi01,2005,1,ATL,NL,3B,63,46.0,1293.0,26.0,94.0,6.0,6.0,,,,,
nealbl01,2001,1,FLO,NL,P,4,0.0,16.0,0.0,0.0,0.0,0.0,,,,,
pederst01,1985,1,LAN,NL,RF,2,0.0,9.0,1.0,0.0,0.0,0.0,,,,,
milleed04,1981,1,ATL,NL,OF,36,29.0,812.0,65.0,2.0,1.0,0.0,,,,,
travebi01,1975,1,ML4,AL,P,28,23.0,409.0,2.0,19.0,2.0,5.0,,,,,
ortizda01,2009,1,BOS,AL,DH,138,,,,,,,0.0,,0.0,0.0,
reedje01,1986,1,SEA,AL,P,11,4.0,104.0,4.0,3.0,0.0,0.0,,,,,
robermi01,1998,1,ARI,NL,DH,2,,,,,,,,,,,
hopkiga01,1968,1,CHA,AL,1B,7,5.0,135.0,45.0,1.0,0.0,3.0,,,,,
blissja01,1908,1,SLN,NL,C,43,,,194.0,59.0,2.0,6.0,5.0,,,,
jonesmi02,1985,1,KCA,AL,P,33,1.0,192.0,6.0,8.0,0.0,0.0,,,,,
sainjo01,1954,1,NYA,AL,P,45,0.0,231.0,6.0,11.0,0.0,0.0,,,,,
unroeti01,1996,1,ML4,AL,LF,1,0.0,3.0,0.0,0.0,0.0,0.0,,,,,
toporsp01,1923,1,SLN,NL,3B,1,,,1.0,1.0,0.0,0.0,,,,,
williot01,1902,1,SLN,NL,SS,2,,,5.0,8.0,3.0,0.0,,,,,
roystje01,1984,1,ATL,NL,SS,16,12.0,330.0,20.0,47.0,3.0,7.0,,,,,
fosteke01,2001,1,TEX,AL,P,9,0.0,53.0,0.0,0.0,0.0,0.0,,,,,
rubiojo01,1966,1,CAL,AL,P,7,4.0,82.0,3.0,1.0,0.0,0.0,,,,,
joynewa01,1991,1,CAL,AL,1B,141,140.0,3714.0,1335.0,98.0,8.0,124.0,,,,,
dwyerjo01,1882,1,CL2,NL,C,1,,,1.0,1.0,0.0,0.0,2.0,,,,
durocle01,1933,2,SLN,NL,SS,123,,,238.0,358.0,24.0,64.0,,,,,
stricji01,1973,1,MIN,AL,P,7,0.0,16.0,0.0,1.0,0.0,0.0,,,,,
tauscwa01,1931,1,WS1,AL,P,6,,,1.0,9.0,1.0,2.0,,,,,
howarel01,1956,1,NYA,AL,RF,5,1.0,59.0,7.0,0.0,0.0,0.0,,,,,
gomezch02,2007,2,CLE,AL,1B,8,2.0,104.0,25.0,2.0,0.0,2.0,,,,,
bevacku01,1973,1,KCA,AL,DH,16,,,,,,,,,,,
parrist01,1995,1,PIT,NL,P,15,15.0,246.0,4.0,10.0,0.0,0.0,,,,,
oatesjo01,1973,1,ATL,NL,C,86,79.0,2145.0,409.0,57.0,9.0,6.0,10.0,21.0,43.0,29.0,3.0
williot01,1903,1,SLN,NL,SS,52,,,94.0,161.0,33.0,16.0,,,,,
mizelvi01,1952,1,SLN,NL,P,30,,,7.0,25.0,4.0,1.0,,,,,
postwa01,1962,1,CIN,NL,LF,86,69.0,1845.0,103.0,4.0,6.0,0.0,,,,,
guerrma01,1977,1,CAL,AL,DH,19,,,,,,,,,,,
purneje01,1904,1,PHI,NL,3B,7,,,7.0,12.0,3.0,0.0,,,,,
donovpa01,1903,1,SLN,NL,OF,105,,,142.0,16.0,8.0,5.0,,,,,
foliti01,1984,1,NYA,AL,2B,21,13.0,382.0,39.0,43.0,0.0,12.0,,,,,
sugdejo01,1901,1,CHA,AL,1B,5,,,21.0,2.0,0.0,0.0,,,,,
arochre01,1994,1,SLN,NL,P,45,7.0,249.0,3.0,11.0,0.0,0.0,,,,,
sewared01,1885,1,PRO,NL,P,1,,,0.0,4.0,0.0,0.0,,,,,
moronje01,1987,1,NYA,AL,SS,2,1.0,21.0,0.0,2.0,0.0,1.0,,,,,
lockdo01,1968,1,PHI,NL,OF,78,58.0,1714.0,145.0,2.0,7.0,1.0,,,,,
pruitro01,1978,1,CLE,AL,DH,5,,,,,,,,,,,
hayesvo01,1988,1,PHI,NL,3B,3,2.0,47.0,2.0,3.0,0.0,0.0,,,,,
guzmaju01,1999,2,CIN,NL,P,12,12.0,232.0,5.0,8.0,1.0,1.0,,,,,
riceji01,1986,1,BOS,AL,DH,1,,,,,,,,,,,
niekrph01,1987,2,TOR,AL,P,3,3.0,36.0,1.0,0.0,0.0,0.0,,,,,
grothjo01,1956,1,KC1,AL,OF,84,61.0,1795.0,140.0,8.0,0.0,3.0,,,,,
koenima01,1934,1,CIN,NL,1B,4,,,42.0,1.0,0.0,2.0,,,,,
paskedo01,1910,1,CIN,NL,1B,2,,,12.0,0.0,2.0,0.0,,,,,
gutiefr01,2010,1,SEA,AL,OF,146,145.0,3832.0,413.0,2.0,0.0,0.0,0.0,,0.0,0.0,
lowerte01,1998,1,CHN,NL,CF,20,2.0,141.0,13.0,0.0,1.0,0.0,,,,,
saffeto01,1955,2,KC1,AL,CF,9,9.0,228.0,26.0,1.0,1.0,0.0,,,,,
pascuca01,1950,1,WS1,AL,P,2,,,0.0,1.0,1.0,0.0,,,,,
ripkebi01,1992,1,BAL,AL,DH,2,,,,,,,,,,,
fribebe01,1922,1,CHN,NL,1B,6,,,44.0,1.0,0.0,4.0,,,,,
holloke01,1930,1,CLE,AL,P,12,,,2.0,11.0,1.0,0.0,,,,,
glanvdo01,2001,1,PHI,NL,CF,150,147.0,3932.0,413.0,8.0,4.0,3.0,,,,,
fournja01,1914,1,CHA,AL,OF,6,,,9.0,1.0,2.0,1.0,,,,,
ponsosi01,2003,1,BAL,AL,P,21,21.0,444.0,12.0,18.0,1.0,2.0,,,,,
