playerid,yearid,round,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
plunker01,1997,ALCS,CLE,AL,1,0,1,0,0,0,0,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0.0,0.0,0.0
rockejo01,1999,NLCS,ATL,NL,0,0,6,0,0,0,2,20,3,0,0,2,9,0.0,0.0,1.0,1.0,0.0,0.0,27.0,3,2,0.0,1.0,0.0
hentgpa01,1993,WS,TOR,AL,1,0,1,1,0,0,0,18,5,1,0,3,6,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0,1,0.0,0.0,1.0
deanpa01,1934,WS,SLN,NL,2,0,2,2,2,0,0,54,15,2,0,7,11,0.0,1.0,1.0,0.0,1.0,0.0,77.0,0,4,1.0,0.0,0.0
blylebe01,1970,ALCS,MIN,AL,0,0,1,0,0,0,0,6,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,1,0.0,1.0,0.0
burneaj01,2009,WS,NYA,AL,1,1,2,2,0,0,0,27,8,7,1,6,11,0.0,7.0,1.0,0.0,1.0,0.0,41.0,0,7,0.0,0.0,0.0
ligteke01,2002,NLDS1,ATL,NL,0,0,1,0,0,0,0,6,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0,0.0,0.0,0.0
ackerji01,1989,ALCS,TOR,AL,0,0,5,0,0,0,0,19,4,1,0,1,4,0.0,1.0,0.0,0.0,1.0,0.0,25.0,1,2,1.0,1.0,0.0
barcelo01,2000,ALDS2,CHA,AL,0,0,1,0,0,0,0,5,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
underto01,1981,AWDIV,OAK,AL,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
stanlbo01,1986,ALCS,BOS,AL,0,0,3,0,0,0,0,17,7,3,0,3,1,0.0,4.0,1.0,0.0,0.0,0.0,27.0,2,4,2.0,1.0,0.0
maddugr01,1997,NLDS2,ATL,NL,1,0,1,1,1,0,0,27,7,1,0,1,6,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0,1,0.0,0.0,1.0
florera01,2005,NLCS,SLN,NL,0,0,2,0,0,0,0,4,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
greento01,1993,WS,PHI,NL,0,0,1,1,0,0,0,7,7,7,0,4,1,0.0,27.0,0.0,0.0,0.0,0.0,17.0,0,7,0.0,0.0,0.0
odombl01,1974,WS,OAK,AL,1,0,2,0,0,0,0,4,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,0,0.0,0.0,0.0
gordoto01,1998,ALDS1,BOS,AL,0,1,2,0,0,0,0,9,4,3,0,4,1,0.0,9.0,0.0,1.0,0.0,0.0,16.0,2,3,0.0,0.0,1.0
murphro01,1990,ALCS,BOS,AL,0,0,1,0,0,0,0,2,2,1,0,1,0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,1,1,0.0,0.0,0.0
fuentbr01,2010,ALDS2,MIN,AL,0,0,2,0,0,0,0,8,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,0,0.0,0.0,0.0
tekulke01,1979,WS,PIT,NL,0,1,5,0,0,0,3,28,4,3,0,3,10,0.0,2.0,2.0,0.0,0.0,0.0,35.0,5,3,0.0,0.0,0.0
pooleji02,1998,ALDS1,CLE,AL,0,0,2,0,0,0,0,3,1,0,0,1,2,0.0,,0.0,0.0,0.0,0.0,5.0,0,0,1.0,0.0,0.0
gordoto01,2007,NLDS2,PHI,NL,0,0,2,0,0,0,0,6,2,1,1,1,4,0.0,4.0,1.0,0.0,0.0,0.0,9.0,0,1,0.0,0.0,0.0
jansela01,1951,WS,NY1,NL,0,2,3,2,0,0,0,30,8,7,2,4,6,0.0,6.0,1.0,0.0,0.0,0.0,41.0,1,7,0.0,0.0,1.0
benesan01,1995,ALCS,SEA,AL,0,1,1,1,0,0,0,7,6,6,2,2,3,0.0,23.0,0.0,0.0,0.0,0.0,15.0,0,6,0.0,1.0,0.0
wolcobo01,1995,ALCS,SEA,AL,1,0,1,1,0,0,0,21,8,2,1,5,2,0.0,2.0,0.0,0.0,0.0,0.0,33.0,0,2,0.0,0.0,1.0
rhodear01,1997,ALDS2,BAL,AL,0,0,1,0,0,0,0,7,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0.0,0.0,0.0
alexado01,1985,ALCS,TOR,AL,0,1,2,2,0,0,0,31,14,10,4,3,9,0.0,8.0,0.0,1.0,0.0,0.0,49.0,0,10,1.0,1.0,0.0
ogeach01,1997,ALDS1,CLE,AL,0,0,1,0,0,0,0,16,2,1,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,18.0,1,1,1.0,0.0,0.0
