lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
246,anderbr01,,anderbr01h,1964,1,18,USA,MD,Silver Spring,,,,,,,Brady,Anderson,,Brady Kevin,,170,73,L,L,4/4/1988,5/20/2002,Cal Irvine,anderbr01,anderbr01,andeb001,anderbr01,anderbr01
366,arroybr01,,,1977,2,24,USA,FL,Key West,,,,,,,Bronson,Arroyo,,,Saturn Nuts,195,76,R,R,6/12/2000,,,arroybr01,arroybr01,arrob001,arroybr01,arroybr01
426,averyst01,,,1970,4,14,USA,MI,Trenton,,,,,,,Steve,Avery,,Steven Thomas,,180,76,L,L,6/13/1990,7/20/2003,,averyst01,averyst01,avers001,averyst01,averyst01
568,bankhsc01,,,1963,7,31,USA,NC,Raleigh,,,,,,,Scott,Bankhead,,Michael Scott,,175,70,R,R,5/25/1986,7/18/1995,North Carolina,bankhsc01,bankhsc01,banks001,bankhsc01,bankhsc01
573,bankswi01,,,1969,2,27,USA,NJ,Jersey City,,,,,,,Willie,Banks,,Willie Anthony,,190,73,R,R,7/31/1991,9/26/2002,,bankswi01,bankswi01,bankw001,bankswi01,bankswi01
667,barrema02,,,1958,6,23,USA,CA,Arcadia,,,,,,,Marty,Barrett,,Martin Glenn,,175,70,R,R,9/6/1982,5/7/1991,Arizona State,barrema02,barrema02,barrm001,barrema02,barrema02
771,baylodo01,baylodo01m,baylodo01h,1949,6,28,USA,TX,Austin,,,,,,,Don,Baylor,,Don Edward,,190,73,R,R,9/18/1970,10/1/1988,Blinn JC,baylodo01,baylodo01,bayld001,baylodo01,baylodo01
816,beckro01,,beckro01h,1968,8,3,USA,CA,Burbank,2007.0,6.0,23.0,USA,AZ,Phoenix,Rod,Beck,,Rodney Roy,Shooter,215,73,R,R,5/6/1991,8/14/2004,,beckro01,beckro01,beckr001,beckro01,beckro01
827,beckejo02,,,1980,5,15,USA,TX,Spring,,,,,,,Josh,Beckett,,,,225,77,R,R,9/4/2001,,,beckejo02,beckejo02,beckj002,beckejo02,beckejo02
866,belinst01,,,1966,8,6,USA,PA,Huntingdon,,,,,,,Stan,Belinda,,Stanley Peter,,185,75,R,R,9/8/1989,9/3/2000,Allegany CC,belinst01,belinst01,belis001,belinst01,belinst01
899,bellhma01,,,1974,8,23,USA,MA,Boston,,,,,,,Mark,Bellhorn,,Mark Christian,,195,73,B,R,6/10/1997,9/30/2007,Auburn,bellhma01,bellhma01,bellm002,bellhma01,bellhma01
925,benjami01,,,1965,11,22,USA,OH,Euclid,,,,,,,Mike,Benjamin,,Michael Paul,,195,75,R,R,7/7/1989,9/28/2002,Arizona State,benjami01,benjami01,benjm001,benjami01,benjami01
954,benzito01,,,1963,2,11,USA,KY,Dayton,,,,,,,Todd,Benzinger,,Todd Eric,Mercedes,185,73,B,R,6/21/1987,5/14/1995,,benzito01,benzito01,benzt001,benzito01,benzito01
1012,berryda01,,,1963,12,3,USA,CA,South Laguna,,,,,,,Damon,Berryhill,,Damon Scott,,205,72,B,R,9/5/1987,9/28/1997,Orange Coast JC,berryda01,berryda01,berrd002,berryda01,berryda01
1050,bicheda01,,bicheda01h,1963,11,18,USA,FL,West Palm Beach,,,,,,,Dante,Bichette,,Alphonse Dante,,215,75,R,R,9/5/1988,10/6/2001,Palm Beach JC,bicheda01,bicheda01,bichd001,bicheda01,bicheda01
1197,blossgr01,,,1971,6,26,USA,FL,Manatee,,,,,,,Greg,Blosser,,Gregory Brent,,200,75,L,L,9/5/1993,4/17/1994,,blossgr01,blossgr01,blosg001,blossgr01,blossgr01
1224,boddimi01,,boddimi01h,1957,8,23,USA,IA,Cedar Rapids,,,,,,,Mike,Boddicker,,Michael James,,172,71,R,R,10/4/1980,6/13/1993,Iowa,boddimi01,boddimi01,boddm001,boddimi01,boddimi01
1238,boggswa01,,boggswa01h,1958,6,15,USA,NE,Omaha,,,,,,,Wade,Boggs,,Wade Anthony,,190,74,L,R,4/10/1982,8/27/1999,Hillsborough JC,boggswa01,boggswa01,boggw001,boggswa01,boggswa01
1270,boltoto01,,,1962,5,6,USA,TN,Nashville,,,,,,,Tom,Bolton,,Thomas Edward,,172,74,L,L,5/17/1987,7/30/1994,,boltoto01,boltoto01,boltt001,boltoto01,boltoto01
1319,bordiri01,,,1959,4,18,USA,CA,San Francisco,,,,,,,Rich,Bordi,,Richard Albert,,210,79,R,R,7/16/1980,7/19/1988,Fresno State,bordiri01,bordiri01,bordr001,bordiri01,bordiri01
1407,boydoi01,,,1959,10,6,USA,MS,Meridian,,,,,,,Oil Can,Boyd,,Dennis Ray,,155,73,R,R,9/13/1982,10/1/1991,Jackson State,boydoi01,boydoi01,boydo001,boydoi01,boydoi01
1462,braggda01,,,1969,9,7,USA,CT,Waterbury,,,,,,,Darren,Bragg,,Darren William,,180,69,L,R,4/12/1994,10/3/2004,Georgia Tech,braggda01,braggda01,bragd001,braggda01,braggda01
1477,brandma01,,,1970,7,14,USA,TX,Houston,,,,,,,Mark,Brandenburg,,Mark Clay,,180,72,R,R,7/20/1995,9/27/1997,Texas Tech,brandma01,brandma01,branm002,brandma01,brandma01
1682,brownmi01,,,1959,3,4,USA,NJ,Camden County,,,,,,,Mike,Brown,,Michael Gary,,195,74,R,R,9/16/1982,8/15/1987,Clemson,brownmi01,brownmi01,browm003,brownmi01,brownmi01
1733,brunato01,,,1960,8,20,USA,CA,Covina,,,,,,,Tom,Brunansky,,Thomas Andrew,,205,76,R,R,4/9/1981,8/10/1994,Cal Poly Pomona,brunato01,brunato01,brunt001,brunato01,brunato01
