awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
MVP,2008,NL,lidgebr01,104,448,2.0
MVP,1970,AL,mcdanli01,8,336,0.0
MVP,1988,NL,strawda01,236,336,7.0
MVP,1991,AL,ripkeca01,318,392,15.0
MVP,1932,NL,wilsoha01,6,80,0.0
MVP,1945,AL,yorkru01,1,336,0.0
MVP,1996,NL,brownke01,2,392,0.0
MVP,1934,AL,gehrich01,65,80,
MVP,1927,NL,kremera01,14,80,
Cy Young,1989,NL,bielemi01,1,120,0.0
MVP,1987,AL,morrija02,5,392,0.0
MVP,1934,NL,deandi01,78,80,6.0
MVP,1965,NL,cardele01,7,280,0.0
MVP,2001,NL,floydcl01,2,448,0.0
Cy Young,2007,AL,lackejo01,36,140,1.0
MVP,1939,NL,mizejo01,178,336,1.0
MVP,1935,NL,jackstr01,1,80,0.0
MVP,1947,AL,berrayo01,18,336,0.0
MVP,1979,NL,suttebr01,69,336,0.0
MVP,1912,NL,wagneho01,43,64,
MVP,1939,NL,mccorfr01,159,336,2.0
MVP,1981,NL,madlobi01,20,336,0.0
MVP,1989,NL,thompmi02,3,336,0.0
MVP,1947,AL,heathje01,1,336,0.0
MVP,1935,AL,soltemo01,16,80,0.0
MVP,1946,NL,musiast01,319,336,22.0
MVP,1938,NL,moorejo02,3,336,0.0
MVP,1926,NL,rhemfl01,20,80,
MVP,1953,AL,goodmbi01,5,336,0.0
Cy Young,1975,NL,hraboal01,33,120,2.0
MVP,1937,NL,hermabi01,19,80,0.0
MVP,1948,AL,doerrbo01,10,336,0.0
MVP,1950,NL,joneswi01,1,336,0.0
MVP,1940,AL,kennebo01,3,336,0.0
MVP,1965,AL,davalvi01,5,280,0.0
Rookie of the Year,1982,NL,shower01,1,120,0.0
MVP,1952,AL,whitesa02,4,336,0.0
MVP,1985,NL,raineti01,15,336,0.0
MVP,1989,AL,sierrru01,228,392,6.0
MVP,1993,NL,galaran01,45,392,0.0
MVP,1993,AL,johnsra05,1,392,0.0
MVP,1976,NL,mondari01,11,336,0.0
MVP,1980,AL,norrimi01,10,392,0.0
MVP,1994,NL,bagweje01,392,392,28.0
Cy Young,2003,AL,martipe02,20,140,0.0
MVP,1991,NL,gantro01,110,336,0.0
