schoolid,schoolname,schoolcity,schoolstate,schoolnick
kywesleyan,Kentucky Wesleyan College,Owensboro,KY,Panthers
dominican,Dominican College,Orangeburg,NY,Chargers
ferrisst,Ferris State University,Big Rapids,MI,Bulldogs
lacollege,Louisiana College,Pineville,LA,Wildcats
stlawrence,St. Lawrence University,Canton,NY,Saints
abilchrist,Abilene Christian University,Abilene,TX,Wildcats
morehead,Morehead State University,Morehead,KY,Eagles
montana,University of Montana-Missoula,Missoula,MT,Grizzlies
swarthmore,Swarthmore College,Swarthmore,PA,Garnet Tide
portlandst,Portland State University,Portland,OR,Vikings
riponwi,Ripon College,Ripon,WI,Red Hawks
willinois,Western Illinois University,Macomb,IL,Leathernecks
nillinois,Northern Illinois University,DeKalb,IL,Huskies
linfieldor,Linfield College,McMinnville,OR,Wildcats
shaw,Shaw University,Raleigh,NC,Bears
uab,University of Alabama at Birmingham,Birmingham,AL,Blazers
tusculum,Tusculum College,Greeneville,TN,Pioneers
uncgreen,University of North Carolina at Greensboro,Greensboro,NC,Spartans
winthrop,Winthrop University,Rock Hill,SC,Eagles
shorterga,Shorter College,Rome,GA,Hawks
deltast,Delta State University,Cleveland,MS,Statesmen
stjosephs,Saint Joseph's University,Philadelphia,PA,Hawks
albrightpa,Albright College,Reading,PA,Lions
chicost,"California State University, Chico",Chico,CA,Wildcats
benedctnks,Benedictine College,Atchison,KS,Ravens
lynchbrgva,Lynchburg College,Lynchburg,VA,Hornets
unionny,Union College,Schenectady,NY,Dutchmen
hardinsimm,Hardin-Simmons University,Abilene,TX,Cowboys
bryant,Bryant College,Smithfield,RI,Bulldogs
wichitast,Wichita State University,Wichita,KS,Shockers
concrdiamn,Concordia University,Saint Paul,MN,Golden Bears
monmouth,Monmouth University,West Long Branch,NJ,Hawks
columbia,Columbia University,New York,NY,Lions
wiscmilw,University of Wisconsin-Milwaukee,Milwaukee,WI,Panthers
utchat,University of Tennessee at Chattanooga,Chattanooga,TN,Mocs
wofford,Wofford College,Spartanburg,SC,Terriers
wchester,West Chester University of Pennsylvania,West Chester,PA,Golden Rams
txwesleyan,Texas Wesleyan University,Fort Worth,TX,Rams
stjosephin,Saint Joseph's College,Renssalaer,IN,Pumas
mcdaniel,McDaniel College,Westminster,MD,Green Terror
calstfull,"California State University, Fullerton",Fullerton,CA,Titans
stedwardtx,St. Edward's University,Austin,TX,Hilltoppers
wlmpennia,William Penn University,Oskaloosa,IA,Statesmen
sunybing,State University of New York at Binghamton,Binghamton,NY,Bearcats
unc,University of North Carolina,Chapel Hill,NC,Tarheels
lafayette,Lafayette College,Easton,PA,Leopards
macmurryil,MacMurray College,Jacksonville,IL,Highlanders
oberlinoh,Oberlin College,Oberlin,OH,Yeoman
wwashngton,Western Washington University,Bellingham,WA,Vikings
stcloudst,St. Cloud State University,Saint Cloud,MN,Huskies
ntexas,University of North Texas,Denton,TX,Mean Green
denisonoh,Denison University,Granville,OH,Big Red
keenest,Keene State College,Keene,NH,Owls
lewclarkor,Lewis & Clark College,Portland,OR,Pioneers
ncentralil,North Central College,Naperville,IL,Cardinals
shenandoah,Shenandoah University,Winchester,VA,Hornets
lewisil,Lewis University,Romeoville,IL,Flyers
norfolkst,Norfolk State University,Norfolk,VA,Spartans
tulsa,University of Tulsa,Tulsa,OK,Golden Hurricane
salabama,University of South Alabama,Mobile,AL,Jaguars
wvirginia,West Virginia University,Morgantown,WV,Mountaineers
riogrande,University of Rio Grande,Rio Grande,OH,Redmen
sterlingks,Sterling University,Sterling,KS,Warriors
stbonny,St. Bonaventure University,St. Bonaventure,NY,Bonnies
iona,Iona College,New Rochelle,NY,Gaels
utsa,University of Texas at San Antonio,San Antonio,TX,Roadrunners
okcity,Oklahoma City University,Oklahoma City,OK,Stars
stthomasmn,University of St. Thomas,St. Paul,MN,Tommies
sprngfldma,Springfield College,Springfield,MA,Pride
forthays,Fort Hays State University,Hays,KS,Tigers
nebraska,University of Nebraska,Lincoln,NE,Huskers
swoklahoma,Southwestern Oklahoma State University,Weatherford,OK,Bulldogs
marist,Marist College,Poughkeepsie,NY,Red Foxes
pennst,Pennsylvania State University,State College,PA,Nittany Lions
longbeach,"California State University, Long Beach",Long Beach,CA,49ers
casewestrn,Case Western Reserve University,Cleveland,OH,Spartans
cameronok,Cameron University,Lawton,OK,Aggies
muhlenberg,Muhlenberg College,Allentown,PA,Mules
stmarysca,Saint Mary's College of California,Moraga,CA,Gaels
ptlomanaz,Point Loma Nazarene University,San Diego,CA,Sea Lions
lambuthtn,Lambuth University,Jackson,TN,Eagles
hawaiipac,Hawai'i Pacific University,Honolulu,HI,Sea Warriors
utarl,University of Texas at Arlington,Arlington,TX,Mavericks
heidelberg,Heidelberg College,Tiffin,OH,Princes
loyolamd,Loyola College in Maryland,Baltimore,MD,Greyhounds
philsmith,Philander Smith College,Little Rock,AR,Panthers
uconn,University of Connecticut,Storrs,CT,Huskies
usc,University of Southern California,Los Angeles,CA,Trojans
whitwrthwa,Whitworth College,Spokane,WA,Pirates
hopemi,Hope College,Holland,MI,Flying Dutchmen
movalley,Missouri Valley College,Marshall,MO,Vikings
gettysburg,Gettysburg College,Gettysburg,PA,Bullets
whittierca,Whittier College,Whittier,CA,Poets
manchester,Manchester College,North Manchester,IN,Spartans
mowestern,Missouri Western State College,Saint Joseph,MO,Griffons
rhodestn,Rhodes College,Memphis,TN,Lynx
austinpeay,Austin Peay State University,Clarksville,TN,Governors
colorado,University of Colorado,Boulder,CO,Buffaloes
auburnmont,Auburn University at Montgomery,Montgomery,AL,Senators
newhamp,University of New Hampshire,Durham,NH,Wildcats
oakland,Oakland University,Rochester,MI,Grizzlies
hamlinemn,Hamline University,St. Paul,MN,Pipers
rockhurst,Rockhurst University,Kansas City,MO,Hawks
evansville,University of Evansville,Evansville,IN,Purple Aces
santaclara,Santa Clara University,Santa Clara,CA,Broncos
mosouthern,Missouri Southern State University-Joplin,Joplin,MO,Lions
uncashe,University of North Carolina at Asheville,Asheville,NC,Bulldogs
pompitzer,Pomona College,Claremont,CA,Sagehens
maryland,University of Maryland,College Park,MD,Terrapins
smaine,University of Southern Maine,Gorham,ME,Huskies
vmi,Virginia Military Institute,Lexington,VA,Keydets
wcarolina,Western Carolina University,Cullowhee,NC,Catamounts
ohwesleyan,Ohio Wesleyan University,Delaware,OH,Battling Bishops
aquinasmi,Aquinas College,Grand Rapids,MI,Saints
