schoolid,schoolname,schoolcity,schoolstate,schoolnick
kywesleyan,Кентуккийский университетский колледж,Оуэнсборо,К,Пантеры
dominican,Доминиканский колледж,Орангебург,НЮ,Чarge'рз
ferrisst,Фэрис-Стайт Университет,Большой Рапидс,МИ,Бульдоги
lacollege,Луизианский колледж,Пайнвилл,Лос-Анджелес,Дикие коты
stlawrence,Университет Святого Лаврентия,Кантон,НЮ,Святые
abilchrist,Университет Абилинаクリスчена,Абилин,ТХ,Дикие коты
morehead,Университет штата Мёрхед,Мохед,К,Орлы
montana,Университет Монтаны в Миссоуле,Миссула,МТ,Гризли
swarthmore,Свартормовский колледж,Сваρθморе,ПА,Гранитовый прилив
portlandst,Портлендский государственный университет,Портленд,А,Викинги
riponwi,Рипон Колледж,Рипон,ВИ,Красные ястребы
willinois,Западный Университет Иллинойса,Макомб,Я,Кожаные шеи
nillinois,Северо-Западный университет штата Иллинойс,Декалб,Я,Хаски
linfieldor,Колледж Линфилд,Макминнвилл,А,Дикие коты
shaw,Шоу Университет,Рэйлхэм,НЕТ РЕТРАНСЛЯЦИЙ,Медведи
uab,Университет Алабамы в Бирмингеме,Бирмингем,АЛ,Блейзеры
tusculum,Колледж Тускулум,Гринвилл,ТН,Пионеры
uncgreen,Университет Северной Каролины в Григсбио,Гринсвилл,НЕТ РЕТРАНСЛЯЦИЙ,Спартанцы
winthrop,Университет Винтропа,Рок-Хилл,OK,Орлы
shorterga,Корнильный колледж,Рим,GA,Соколы
deltast,Державный университет Дельты,Кливленд,Мएस,Государственные деятели
stjosephs,Университет Святого Иосифа,Филадельфия,ПА,Соколы
albrightpa,Альбрайтский колледж,Чтение,ПА,Левы
chicost,Калифорнийский государственный университет в Чико,Чико,Калифорния,Дикие коты
benedctnks,Бенедиктинский колледж,Атчисон,Да,Короли
lynchbrgva,Колледж Линчбурга,Линчберг,"Да, я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Медведи
unionny,Университетский колледж,Шенандоа,НЮ,Немцы
hardinsimm,Университет Хардин-Симмонс,Абилин,ТХ,ковбои
bryant,Колледж Брэант,Смитфелд,РИ,Бульдоги
wichitast,Универзитет штата Вичита,Уичита,Да,Шокеры
concrdiamn,Конкордия Университет,Святой Павел,MN - Миннесота,Золотой Медведь
monmouth,Университет Монмута,Западный Лонг-Бранч,НДж,Соколы
columbia,Университет Колумбии,Нью-Йорк,НЮ,Левы
wiscmilw,Университет Висконсина в Милуоки,Милуоки,ВИ,Пантеры
utchat,Университет Теннесси в Чаттануге,Чаттануга,ТН,Моч
wofford,Колледж Ворфорд,Спартенбург,OK,Терьеры
wchester,Западный Честерский университет в Пенсильвании,Западный Честер,ПА,Золотой рой
txwesleyan,Университет Техасу в Везтоне,Форт-Уорth,ТХ,Рэмы
stjosephin,Сент-Джозефский колледж,Ренсалер,В,Пумас
mcdaniel,МакДэниел Колледж,Вестминстер,МД,зелёный ужас
calstfull,Калифорнийский государственный университет в Фулертоне,Фултон,Калифорния,Титаники
stedwardtx,Университет Святого Эдуарда,Остин,ТХ,Хиллтопперы
wlmpennia,Университет Уильяма Пена,Оскалоуса,Я,Государственные деятели
sunybing,Государственный университет Нью-Йорка в Бингемтоне,Бингемтон,НЮ,Медвежьи коты
unc,Университет Северной Каролины,Чапел-Хилл,НЕТ РЕТРАНСЛЯЦИЙ,Тар Хилс
lafayette,Колледж Лафайетт,Эстон,ПА,Леопарды
macmurryil,Колледж Макмэри,Джексонвилл,Я,Гавайцы
oberlinoh,Оберинский колледж,Оберин,О,Яман
wwashngton,Западный Вашингтонский университет,Беллингем,ВА,Викинги
stcloudst,Университет штата Сент-Клудс,Сент-Клуд,MN - Миннесота,Хаски
ntexas,Университет Северной Техаска,Дентон,ТХ,Зелёный
denisonoh,Денисонский университет,Гранвилл,О,Больший Красный
keenest,Университет Кейна,Кейн,НХ,Сова
lewclarkor,Льюис & Кларк Колледж,Портленд,А,Пионеры
ncentralil,Северо-Центральный колледж,Напер,Я,Кардиналы
shenandoah,Шенандоаский университет,Винчестер,"Да, я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Медведи
lewisil,Университет Льюиса,Римоилл,Я,Флаеры
norfolkst,Норфолкский государственный университет,Норфолк,"Да, я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Спартанцы
tulsa,Тульский университет,Тульса,"Да, конечно! Я готова помочь с переводом. Пришлите текст, который нужно перевести, и укажите желаемый язык для перевода (например, с английского на французский).",Золотой Шторм
salabama,Университет Южной Америки,Мобильный,АЛ,Ягуары
wvirginia,Западно-Виргинский университет,Моргантаун,Западная Вирджиния,Горники
riogrande,Университет Рио-Гранде,Рио-Гранде,О,Редмен
sterlingks,Стерлингский университет,Стерлинг,Да,Воины
stbonny,Университет Сен- Бонифейс,Сент-Бонифаций,НЮ,Бонни
iona,Иона Колледж,Новый Рокелл,НЮ,Гэльские
