playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
olsoniv01,1919,1,BRO,NL,140,140.0,590.0,73.0,164.0,14.0,9.0,1.0,38.0,26.0,,30.0,12.0,,3.0,12.0,,,140.0
barnaba01,1943,2,BOS,AL,30,30.0,112.0,19.0,19.0,4.0,1.0,2.0,10.0,2.0,1.0,15.0,24.0,,0.0,0.0,,1.0,30.0
sistisi01,1947,1,BSN,NL,56,56.0,153.0,22.0,43.0,8.0,0.0,2.0,15.0,2.0,,20.0,17.0,,2.0,6.0,,4.0,56.0
bethkji01,1965,1,NYN,NL,25,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0
schumha02,1936,1,NY1,NL,46,46.0,74.0,9.0,16.0,3.0,0.0,1.0,10.0,0.0,,3.0,18.0,,0.0,0.0,,2.0,46.0
johnslo01,1962,1,ML1,NL,61,61.0,117.0,22.0,33.0,4.0,5.0,2.0,13.0,6.0,1.0,11.0,27.0,0.0,1.0,0.0,0.0,1.0,61.0
thrasbu01,1916,1,PHA,AL,7,7.0,29.0,4.0,9.0,2.0,1.0,0.0,4.0,0.0,,2.0,1.0,,0.0,1.0,,,7.0
collaha01,1928,1,CLE,AL,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0
morgajo02,1981,1,SFN,NL,90,90.0,308.0,47.0,74.0,16.0,1.0,8.0,31.0,14.0,5.0,66.0,37.0,7.0,0.0,1.0,3.0,3.0,90.0
wolffro01,1944,1,WS1,AL,33,33.0,55.0,6.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,12.0,,0.0,1.0,,3.0,33.0
nelsoge01,1985,1,CHA,AL,47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
anderwa01,1917,1,PHA,AL,14,14.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.0,,0.0,0.0,,,14.0
vancuch01,1950,1,BRO,NL,12,12.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,1.0,,0.0,12.0
milesaa01,2006,1,SLN,NL,135,135.0,426.0,48.0,112.0,20.0,5.0,2.0,30.0,2.0,1.0,38.0,42.0,9.0,2.0,2.0,3.0,8.0,135.0
blumge01,2007,1,SDN,NL,122,122.0,330.0,34.0,83.0,21.0,1.0,5.0,33.0,0.0,0.0,32.0,52.0,4.0,2.0,3.0,3.0,10.0,122.0
ganlebo01,1906,1,PIT,NL,137,137.0,511.0,63.0,132.0,7.0,6.0,0.0,31.0,19.0,,41.0,,,2.0,35.0,,,137.0
phelpke01,1982,1,MON,NL,10,10.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0
owenmi01,1940,1,SLN,NL,117,117.0,307.0,27.0,81.0,16.0,2.0,0.0,27.0,4.0,,34.0,13.0,,2.0,6.0,,10.0,117.0
greenha01,1935,1,DET,AL,152,152.0,619.0,121.0,203.0,46.0,16.0,36.0,170.0,4.0,3.0,87.0,91.0,,0.0,4.0,,,152.0
miranwi01,1956,1,BAL,AL,148,148.0,461.0,38.0,100.0,16.0,4.0,2.0,34.0,3.0,6.0,46.0,73.0,3.0,0.0,5.0,1.0,8.0,148.0
heydomi01,1904,1,CHA,AL,4,4.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,1.0,0.0,,,4.0
patteda01,1875,1,BR2,,12,12.0,45.0,4.0,9.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,,,,,12.0
brognri01,2000,1,PHI,NL,38,38.0,129.0,12.0,32.0,14.0,0.0,1.0,13.0,1.0,0.0,7.0,28.0,1.0,2.0,0.0,1.0,4.0,38.0
cannich01,1973,1,LAN,NL,17,17.0,21.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,17.0
myershy01,1925,2,CIN,NL,3,3.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,3.0
bellira01,1998,1,ATL,NL,7,7.0,20.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0
johnsho01,1983,1,DET,AL,27,27.0,66.0,11.0,14.0,0.0,0.0,3.0,5.0,0.0,0.0,7.0,10.0,0.0,1.0,0.0,0.0,1.0,27.0
manniti01,1885,1,BL2,AA,43,43.0,157.0,17.0,32.0,8.0,1.0,0.0,16.0,0.0,,10.0,,,3.0,,,,43.0
engleda01,1981,1,MIN,AL,82,82.0,248.0,29.0,64.0,14.0,4.0,5.0,32.0,0.0,1.0,13.0,37.0,1.0,1.0,1.0,2.0,9.0,82.0
thompfr02,1920,1,SLA,AL,22,22.0,53.0,7.0,9.0,0.0,0.0,0.0,5.0,1.0,1.0,13.0,10.0,,1.0,0.0,,,22.0
scheica01,1943,1,PHA,AL,6,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,0.0,6.0
campsh01,2010,1,TOR,AL,70,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
robergr01,2003,1,NYN,NL,18,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
dykesji01,1932,1,PHA,AL,153,153.0,558.0,71.0,148.0,29.0,5.0,7.0,90.0,8.0,2.0,77.0,65.0,,4.0,8.0,,,153.0
terryra01,1959,1,KC1,AL,9,9.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,9.0
robinwi01,1889,1,PH4,AA,69,69.0,264.0,31.0,61.0,13.0,2.0,0.0,28.0,9.0,,6.0,34.0,,1.0,,,,69.0
kolbda01,2007,1,PIT,NL,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
trechfr01,1937,1,WS1,AL,1,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,1.0
burgesm01,1964,1,PIT,NL,68,68.0,171.0,9.0,42.0,3.0,1.0,2.0,17.0,2.0,1.0,13.0,14.0,3.0,1.0,2.0,0.0,9.0,68.0
fornimi01,1956,1,CHA,AL,6,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0
cashno01,1960,1,DET,AL,121,121.0,353.0,64.0,101.0,16.0,3.0,18.0,63.0,4.0,2.0,65.0,58.0,1.0,6.0,0.0,4.0,0.0,121.0
scottmi03,1988,1,HOU,NL,32,32.0,71.0,1.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,27.0,0.0,0.0,7.0,0.0,0.0,32.0
wynnema01,1990,1,CHN,NL,92,92.0,186.0,21.0,38.0,8.0,2.0,4.0,19.0,3.0,2.0,14.0,25.0,3.0,1.0,1.0,0.0,4.0,92.0
silvada01,1919,1,WS1,AL,1,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0
huhnem01,1917,1,CIN,NL,23,23.0,51.0,2.0,10.0,1.0,2.0,0.0,3.0,1.0,,2.0,5.0,,0.0,1.0,,,23.0
tomkobr01,2008,1,KCA,AL,16,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
edmonji01,2004,1,SLN,NL,153,153.0,498.0,102.0,150.0,38.0,3.0,42.0,111.0,8.0,3.0,101.0,150.0,12.0,5.0,0.0,8.0,4.0,153.0
