playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
beckmbi01,1942,2,SLN,NL,1,0,2,0,0,0,0,21,4,0,0,1,3,0.0,0.0,,0.0,0.0,0,22.0,2.0,0,,,
warnelo01,1945,1,CHN,NL,0,1,9,1,0,0,0,42,16,6,0,1,6,0.0,3.0,,2.0,0.0,0,61.0,5.0,9,,,
betanra01,2004,1,CLE,AL,5,6,68,0,0,0,4,200,71,29,7,18,76,0.0,3.0,6.0,5.0,0.0,1,286.0,21.0,32,,,
portech01,1983,1,ML4,AL,7,9,25,21,6,1,0,402,162,67,9,38,76,0.0,4.0,2.0,0.0,2.0,0,595.0,1.0,72,,,
koosmje01,1968,1,NYN,NL,19,12,35,34,17,7,0,791,221,61,16,69,178,0.0,2.0,7.0,8.0,8.0,0,1058.0,0.0,72,,,
breweji01,1975,2,CAL,AL,1,0,21,0,0,0,5,104,38,7,2,11,22,0.0,1.0,1.0,2.0,0.0,0,150.0,16.0,9,,,
mathica01,1960,1,CLE,AL,0,1,7,0,0,0,0,46,14,6,2,8,13,0.0,3.0,0.0,0.0,0.0,1,68.0,3.0,7,,,
ostenfr01,1914,1,IND,FL,0,0,1,0,0,0,0,6,5,5,0,2,0,9.0,22.0,,0.0,1.0,0,0.0,1.0,5,,,
lambecl01,1947,1,CIN,NL,0,0,3,0,0,0,0,17,12,10,3,6,1,0.0,15.0,,0.0,0.0,0,33.0,0.0,10,,,
mitchcl01,1921,1,BRO,NL,11,9,37,18,13,3,2,570,206,61,7,46,39,0.0,2.0,,2.0,5.0,0,807.0,16.0,91,,,
colomje01,2001,1,TBA,AL,2,3,30,0,0,0,0,146,37,18,8,25,31,,3.0,4.0,2.0,2.0,0,209.0,9.0,22,,,
gaudich01,2009,1,SDN,NL,4,10,20,19,0,0,0,316,105,60,7,56,105,,5.0,3.0,4.0,5.0,1,476.0,0.0,69,,,
blackbu02,1994,1,SFN,NL,4,2,10,10,0,0,0,163,50,27,9,16,28,0.0,4.0,1.0,3.0,3.0,1,227.0,0.0,31,,,
smithph01,1884,1,PH4,AA,0,1,1,1,1,0,0,27,14,4,0,1,3,,4.0,,1.0,0.0,0,39.0,0.0,6,,,
hardeme01,1937,1,CLE,AL,15,12,38,30,13,0,2,701,269,111,9,86,95,0.0,4.0,,2.0,4.0,0,1038.0,7.0,127,,,
eastwra01,1977,1,CIN,NL,2,2,23,0,0,0,7,130,40,14,3,8,17,0.0,2.0,1.0,0.0,0.0,0,172.0,18.0,14,,,
knighbr01,2008,1,NYN,NL,1,0,4,2,0,0,0,36,14,7,0,7,10,,5.0,0.0,0.0,2.0,0,57.0,0.0,7,,,
barnige01,1940,1,BSN,NL,1,0,13,2,1,0,0,98,28,27,1,31,11,0.0,7.0,,1.0,6.0,1,158.0,2.0,28,,,
