lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
1,aaronha01,,aaronha01h,1934.0,2.0,5.0,США,AL,Мобильный,,,,,,,Хэнк,Аарон,,Генри Луи,"Хаммер, Хаммеринг Хэнк, Бад Генри",180.0,72.0,Р,Р,4/13/1954,10/3/1976,,aaronha01,aaronha01,aaroh101,aaronha01,aaronha01
2,aaronto01,,,1939.0,8.0,5.0,США,AL,Мобильный,1984.0,8.0,16.0,США,GA,Атланта,Томми,Аарон,,Томми Ли,,190.0,75.0,Р,Р,4/10/1962,9/26/1971,,aaronto01,aaronto01,aarot101,aaronto01,aaronto01
3,aasedo01,,,1954.0,9.0,8.0,США,КА,Апельсиновый,,,,,,,Дон,Aase,,Дональд Уильям,,190.0,75.0,Р,Р,7/26/1977,10/3/1990,Кэл Сент-Фуллертон,aasedo01,aasedo01,aased001,aasedo01,aasedo01
4,abadan01,,,1972.0,8.0,25.0,США,ФЛ,Западный Палм Бич,,,,,,,Энди,Абад,,,,184.0,73.0,L,L,9/10/2001,4/13/2006,Средняя Грузия Дж.К.,abadan01,abadan01,abada001,abadan01,abadan01
5,abadijo01,,,1854.0,11.0,4.0,США,ПА,Филадельфия,1905.0,5.0,17.0,США,NJ,Пембертон,Джон,Абади,,Джон,,192.0,72.0,Р,Р,4/26/1875,6/10/1875,,abadijo01,abadijo01,abadj101,abadijo01,abadijo01
6,abbated01,,,1877.0,4.0,15.0,США,ПА,Латроб,1957.0,1.0,6.0,США,ФЛ,Ф. Лодердейл,Эд,Аббатиккио,,Эдвард Джеймс,Бэтти,170.0,71.0,Р,Р,9/4/1897,9/15/1910,,abbated01,abbated01,abbae101,abbated01,abbated01
7,abbeybe01,,,1869.0,11.0,29.0,США,VT,Эссекс,1962.0,6.0,11.0,США,VT,Эссекс-помещение,Берт,Аббатство,,Берт Вуд,,175.0,71.0,Р,Р,6/14/1892,9/23/1896,,abbeybe01,abbeybe01,abbeb101,abbeybe01,abbeybe01
8,abbeych01,,,1866.0,10.0,14.0,США,Нет,Фолс-Сити,1926.0,4.0,27.0,США,КА,Сан-Франциско,Чарли,Аббатство,,Чарльз С.,,169.0,68.0,L,,8/16/1893,8/19/1897,,abbeych01,abbeych01,abbec101,abbeych01,abbeych01
9,abbotda01,,,1862.0,3.0,16.0,США,Ооо.,Портаж,1930.0,2.0,13.0,США,МИ,Оттавское озеро,Дэн,Эбботт,,Леандер Франклин,Большой Дэн,190.0,71.0,Р,Р,4/19/1890,5/23/1890,,abbotda01,abbotda01,abbod101,abbotda01,abbotda01
10,abbotfr01,,,1874.0,10.0,22.0,США,Ооо.,Версаль,1935.0,6.0,11.0,США,КА,Лос-Анджелес,Фред,Эбботт,Рожденный Гарри Фредерик Винбиглер,Гарри Фредерик,,180.0,70.0,Р,Р,4/25/1903,9/20/1905,,abbotfr01,abbotfr01,abbof101,abbotfr01,abbotfr01
11,abbotgl01,,,1951.0,2.0,16.0,США,ОАР,Маленький камень,,,,,,,Гленн,Эбботт,,Уильям Гленн,,200.0,78.0,Р,Р,7/29/1973,8/8/1984,Арканзасский штат,abbotgl01,abbotgl01,abbog001,abbotgl01,abbotgl01
12,abbotje01,,,1972.0,8.0,17.0,США,GA,Атланта,,,,,,,Джефф,Эбботт,,Джеффри Уильям,,190.0,74.0,Р,L,6/10/1997,9/29/2001,Кентукки,abbotje01,abbotje01,abboj002,abbotje01,abbotje01
13,abbotji01,,abbotji01h,1967.0,9.0,19.0,США,МИ,Флинт,,,,,,,Джим,Эбботт,,Джеймс Энтони,,200.0,75.0,L,L,4/8/1989,7/21/1999,Мичиган,abbotji01,abbotji01,abboj001,abbotji01,abbotji01
