schoolid,schoolname,schoolcity,schoolstate,schoolnick
jacksonst,Университет штата Джексон,Джексон,MS,Тигры
michiganst,Мичиганский государственный университет,Восточная Лансинг,МИ,Спартанцы
lorasia,Колледж Лораса,Дюбук,IA,Дохауки
concrdiatx,Университет Конкордии в Остине,Остин,TX,Торнадо
mansfield,Мэнсфилдский университет Пенсильвании,Мэнсфилд,ПА,Горные горы
sutah,Университет Южной Юты,Седар-Сити,UT,Громкие птицы
appalst,Аппалачский государственный университет,Бун,НС,Горные горы
muskingum,Мускиндумский колледж,Новый Конкорд,Ооо.,Борьба с мусками
gardwebb,Гарднер-Уэббский университет,Кипящие источники,НС,Бульдоги
denisonoh,Университет Денизона,Гранвиль,Ооо.,Большой красный
colgate,Университет Колгейта,Гамильтон,Нью-Йорк,Рейдеры
niagara,Университет Ниагары,Льюистон,Нью-Йорк,Фиолетовые орехи
unionny,Юнионный колледж,Шенектани,Нью-Йорк,Голландцы
ferrumva,Колледж Феррума,Феррум,VA,Пантеры
utchat,Теннессийский университет в Чаттануге,Чаттануга,TN,Мокры
okcity,Городской университет Оклахомы,Город Оклахома,Хорошо.,Звёзды
silledward,Университет Южного Иллинойса,Эдвардсвилль,Ил,Кугары
ncentralil,Северный центральный колледж,Напервиль,Ил,Кардиналы
uncashe,Университет Северной Каролины в Эшвиле,Эшвилль,НС,Бульдоги
forthays,Государственный университет Форт Хейс,Хейс,KS,Тигры
nytech,Нью-Йоркский технологический институт,Старый Вестбери,Нью-Йорк,Медведи
birmsouth,Бирмингем-Южный колледж,Бирмингем,AL,Пантеры
grinnellia,Колледж Гриннелла,Гриннелл,IA,Пионеры
purdue,Университет Пурду,Западный Лафайетт,ВНУТРЕННИЕ,Котлоагрегаты
wvstate,Государственный колледж Западной Вирджинии,Институт,WV,Желтые пекарни
georgia,Университет Грузии,Афины,GA,Бульдоги
calstnorth,"Калифорнийский государственный университет, Нортридж",Нортридж,КА,Матадоры
hamlinemn,Хэмлинский университет,Сент-Пол,МН,Пайперы
bethanywv,Колледж Бетани,Бетани,WV,Бизон
oregonst,Орегонский государственный университет,Корвальис,ИЛИ,Биверы
hartford,Университет Хартфорда,Хартфорд,КТ,Ястребы
txtech,Техасский технологический университет,Любобок,TX,Красные бойцы
lsu,Университет штата Луизиана,&lt; &lt; Батон красный &gt; &gt;,Лос-Анджелес,Тигры
iupui,Индианский университет/Пурдуский университет Индианаполис,Индианаполис,ВНУТРЕННИЕ,Ягуары
smiss,Университет Южной Миссисипи,Хэттисбург,MS,Золотые орехи
wisuperior,Университет Висконсин-Супериор,Высший,ЖИ,Желтые рубашки
longbeach,"Калифорнийский государственный университет, Лонг-Бич",Длинный пляж,КА,49 ч. 00 м.
gettysburg,Геттисбургский колледж,Геттисбург,ПА,Пули
rowannj,Университет Роуэна,Стеклоборо,NJ,Профессоры
illinoisst,Иллинойский государственный университет,Обычный,Ил,Красные птицы
illinois,Иллинойский университет в Урбане-Чампайне,Шампайн,Ил,Борьба с Иллини
vatech,Вирджинский политехнический институт и Государственный университет,Блэксбург,VA,Хокки
fordham,Фордхемский университет,Бронкс,Нью-Йорк,Рамс
centenary,Сентенарный колледж Луизианы,Шревпорт,Лос-Анджелес,Джентльмены
shepherdwv,Шепардский колледж,Шепардстаун,WV,Рамс
wminstermo,Вестминстерский колледж,Фултон,МО,Голубые Джеи
idaho,Университет Айдахо,Москва,Идентификационный номер,Вандалы
wlmcarey,Колледж Уильяма Кэри,Хэттисбург,MS,Крестоносцы
batesme,Колледж Бейтса,Льюистон,Я,Бобкоты
wchester,Университет Западного Честера Пенсильвании,Западный Честер,ПА,Золотые Рамы
providence,Провиденс-колледж,Провидение,РИ,фриары
whitmanwa,Уитманский колледж,Уолла Уолла,WA,Миссионеры
concordny,Колледж Конкордии,Бронксвилль,Нью-Йорк,Клипперы
amerintl,Американский международный колледж,Спрингфилд,МЭТ,Желтые пекарни
monmouth,Монмутский университет,Западный Лонг Бранч,NJ,Ястребы
loyolamary,Университет &lt; &lt; Лойола Мэримаунт &gt; &gt;,Лос-Анджелес,КА,Львы
azusapac,Тихоокеанский университет Азузы,Азуза,КА,Кугары
fresnost,"Калифорнийский государственный университет, Фресно",Фресно,КА,Бульдоги
biolaca,Университет &lt; &lt; Биола &gt; &gt;,Ла Мирада,КА,Орлы
charlsouth,Южный университет Чарльстона,Чарльстон,ПК,Букканеры
fltech,Флоридский технологический институт,Мельбурн,ФЛ,Пантеры
austinpeay,Остинский государственный университет,Кларксвилль,TN,Губернаторы
ntexas,Университет Северного Техаса,Дентон,TX,Средний зелёный
thomasmore,Колледж Томаса Мора,Криствью Хиллз,KY,Святые
ohiost,Университет штата Огайо,Колумб,Ооо.,Приманки
trnsylvnia,Университет Трансильвании,Лексингтон,KY,Пионеры
jksonvilst,Джексонвильский государственный университет,Джексонвилль,AL,Игровые петухи
calstfull,"Калифорнийский государственный университет, Фуллертон",Фуллертон,КА,Титаны
hartwickny,Хартвикский колледж,Одинонта,Нью-Йорк,Ястребы
iowast,Университет штата Айова,Эймс,IA,Циклоны
roanokeva,Колледж Роанок,Салем,VA,Маруны
stthomasfl,Университет Сент-Томаса,Майами,ФЛ,Бобкоты
mcneese,Университет штата Макнез,Озеро Чарльз,Лос-Анджелес,Ковбои
hillsdale,Колледж Хиллсдейл,Хиллсдейл,МИ,Зарядные устройства
erskine,Эрскинский колледж,Дежурный Вест,ПК,Летающий флот
mtstmarys,Колледж и семинария Маунт-Сент-Мэри,Эммитсбург,MD,Горные горы
ilwesleyan,Иллинойский университет Веслиан,Блумингтон,Ил,Титаны
waynestne,Государственный колледж Уэйна,Уэйн,Нет,Дикие кошки
iawesleyan,Айова Уэслианский колледж,Гора Плезант,IA,Тигры
marist,Маристский колледж,Покипси,Нью-Йорк,Красные лисы
florida,Университет Флориды,Гейнсвилль,ФЛ,Гейтеры
scarolina,Университет Южной Каролины,Колумбия,ПК,Игровые петухи
sprngfldma,Спрингфилдский колледж,Спрингфилд,МЭТ,Гордость
wrightst,Государственный университет Райта,Дейтон,Ооо.,Рейдеры
baconeok,Колледж Баконе,Мускоге,Хорошо.,Воины
ewashington,Университет Восточного Вашингтона,Чейни,WA,Орлы
marquette,Маркеттский университет,Милуоки,ЖИ,Золотые орехи
schreiner,Университет Шрейнера,Керрвилль,TX,Горные горы
siena,Сиенский колледж,Лудонвилль,Нью-Йорк,Святые
bostoncoll,Бостонский колледж,Каштановый холм,МЭТ,Орлы
staugustne,Колледж Святого Августина,Роли,НС,Соколы
stambrseia,Сент-Амброузский университет,Давенпорт,IA,Боевые пчёлы
csstanisl,"Калифорнийский государственный университет, Станислаус",Черепаха,КА,Воины
uncwilm,Университет Северной Каролины в Уилмингтоне,Уилмингтон,НС,Морские ястребы
hardinsimm,Университет Харден-Симмонса,Абилин,TX,Ковбои
carsnewm,Колледж Карсон-Ньюман,Город Джефферсон,TN,Орлы
