hofid,yearid,votedby,ballots,needed,votes,inducted,category
wittwh01h,1949,BBWAA,153,115.0,1,N,Player
hermaba01h,1948,BBWAA,121,91.0,2,N,Player
berrych02h,1955,BBWAA,251,189.0,1,N,Player
willsma01h,1987,BBWAA,413,310.0,113,N,Player
hoytwa01h,1939,BBWAA,274,206.0,1,N,Player
dawsoan01h,2010,BBWAA,539,405.0,420,Y,Player
tennefr01h,1946,Nominating Vote,202,,1,N,Player
werbebi01h,1952,BBWAA,234,176.0,1,N,Player
ricesa01h,1951,BBWAA,226,170.0,1,N,Player
reesepe01h,1970,BBWAA,300,225.0,97,N,Player
hackst01h,1949,BBWAA,153,115.0,4,N,Player
mesajo01h,2013,BBWAA,569,427.0,0,N,Player
kellyge01h,1958,BBWAA,266,200.0,2,N,Player
parkeda01h,1999,BBWAA,497,373.0,80,N,Player
hoopeha01h,1951,BBWAA,226,170.0,3,N,Player
lolicmi01h,1993,BBWAA,423,318.0,43,N,Player
knabeot01h,1939,BBWAA,274,206.0,1,N,Player
collied01h,1938,BBWAA,262,197.0,175,N,Player
ruthba01h,1936,BBWAA,226,170.0,215,Y,Player
mungova01h,1960,BBWAA,269,202.0,2,N,Player
stephri01h,1962,BBWAA,160,120.0,1,N,Player
foxxji01h,1946,Nominating Vote,202,,26,N,Player
hortowi01h,1986,BBWAA,425,319.0,4,N,Player
crosefr01h,1950,BBWAA,168,126.0,1,N,Player
mcgwima01h,2012,BBWAA,573,430.0,112,N,Player
lopezal01h,1958,BBWAA,266,200.0,34,N,Manager
hootobu01h,1991,BBWAA,443,333.0,1,N,Player
gehrich01h,1946,Nominating Vote,202,,43,N,Player
youngcy01h,1936,BBWAA,226,170.0,111,N,Player
deshaji01h,2001,BBWAA,515,387.0,1,N,Player
hubbeca01h,1946,Nominating Vote,202,,101,N,Player
parkeda01h,2000,BBWAA,499,375.0,104,N,Player
rusieam01h,1942,BBWAA,233,175.0,1,N,Player
santoro01h,1987,BBWAA,413,310.0,78,N,Player
dickebi01h,1954,BBWAA,252,189.0,202,Y,Player
marquru01h,1946,Nominating Vote,202,,6,N,Player
vernomi01h,1972,BBWAA,396,297.0,12,N,Player
thomsbo01h,1970,BBWAA,300,225.0,4,N,Player
derripa01h,1955,BBWAA,251,189.0,1,N,Player
lavagco01h,1958,BBWAA,266,200.0,4,N,Player
bakerfr01h,1942,BBWAA,233,175.0,39,N,Player
