playerid,awardid,yearid,lgid,tie,notes
gonzaju03,Most Valuable Player,1998,AL,,
sislege01,Baseball Magazine All-Star,1921,ML,,1Б
johnsra05,Babe Ruth Award,2001,NL,Да,П
lynnfr01,TSN All-Star,1978,AL,,ОФ
stanlmi01,Gold Glove,1968,AL,,ОФ
aparilu01,Gold Glove,1958,AL,,С
powervi01,Gold Glove,1959,AL,,1Б
simmoal01,TSN All-Star,1934,ML,,ОФ
gibsobo01,Gold Glove,1965,NL,,П
gehrich01,Baseball Magazine All-Star,1936,AL,,Две-В
leonadu02,Baseball Magazine All-Star,1941,AL,,Пять
stephve01,Baseball Magazine All-Star,1942,AL,,С
averiea01,Baseball Magazine All-Star,1936,AL,,CF
mccanbr01,TSN All-Star,2006,NL,,С
kurowwh01,Baseball Magazine All-Star,1946,NL,,3В
foxne01,Gold Glove,1957,ML,,Две-В
edmonji01,Silver Slugger,2004,NL,,ОФ
brocklo01,Hutch Award,1979,ML,,
thurssl01,Baseball Magazine All-Star,1924,AL,,P2
grichbo01,Gold Glove,1973,AL,,Две-В
sislege01,Baseball Magazine All-Star,1921,AL,,1Б
cobbty01,Baseball Magazine All-Star,1912,AL,,ОФ
sislege01,Baseball Magazine All-Star,1919,ML,,1Б
sandbry01,Silver Slugger,1991,NL,,Две-В
lyonste01,Baseball Magazine All-Star,1927,ML,,P2
johnsra05,Cy Young Award,1995,AL,,
oglivbe01,TSN All-Star,1980,AL,,ОФ
grangwa01,TSN Fireman of the Year,1970,NL,,
robinbr01,TSN All-Star,1965,AL,,3В
mathech01,Baseball Magazine All-Star,1908,NL,,P2
garvest01,TSN All-Star,1974,NL,,1Б
palmede01,TSN All-Star,1999,AL,,3В
rodrial01,TSN Major League Player of the Year,2007,ML,,
willite01,TSN All-Star,1955,ML,,ОФ
landiji01,Gold Glove,1961,AL,,ОФ
rodriiv01,Silver Slugger,1994,AL,,С
koufasa01,TSN Pitcher of the Year,1963,NL,,
bakerfr01,Baseball Magazine All-Star,1914,ML,,3В
rodrial01,Gold Glove,2002,AL,,С
rolensc01,Gold Glove,2004,NL,,3В
mitchke01,TSN Player of the Year,1989,NL,,
gordojo01,Most Valuable Player,1942,AL,,
carltst01,Cy Young Award,1977,NL,,
applilu01,Baseball Magazine All-Star,1936,AL,,С
hermabi01,Baseball Magazine All-Star,1940,NL,,Две-В
gosligo01,TSN All-Star,1925,ML,,ОФ
mcreyke01,TSN All-Star,1988,NL,,ОФ
lombaer01,Baseball Magazine All-Star,1938,NL,,С1
clemero01,TSN All-Star,1961,NL,,ОФ
gonzaju03,TSN All-Star,1993,AL,,ОФ
mcraeha01,TSN All-Star,1982,AL,,ДХ
hamptmi01,Silver Slugger,2003,NL,,П
deandi01,TSN All-Star,1934,ML,,П
hollima01,Silver Slugger,2010,NL,,ОФ
schilcu01,World Series MVP,2001,ML,Да,
bagweje01,TSN All-Star,1997,NL,,1Б
cobbty01,Baseball Magazine All-Star,1914,AL,,ОФ
pennohe01,TSN All-Star,1926,ML,,П
foxxji01,TSN Guide MVP,1932,AL,,
jossad01,Baseball Magazine All-Star,1908,AL,,P4
pujolal01,TSN Major League Player of the Year,2009,ML,,
wheatza01,Baseball Magazine All-Star,1923,NL,,ОФ
seaveto01,TSN Pitcher of the Year,1969,NL,,
belleal01,Silver Slugger,1994,AL,,ОФ
kalinal01,TSN All-Star,1963,AL,,ОФ
powelbo01,TSN All-Star,1970,AL,,1Б
rayjo01,Silver Slugger,1983,NL,,Две-В
schmiwa01,Baseball Magazine All-Star,1920,NL,,С
kellge01,Baseball Magazine All-Star,1946,AL,,3В
ripkeca01,Gold Glove,1991,AL,,С
collied01,Baseball Magazine All-Star,1909,AL,,Две-В
griffke02,Gold Glove,1990,AL,,ОФ
knoblch01,Silver Slugger,1997,AL,,Две-В
