yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
2000,АЛДС-2,javiest01,SEA,AL,3,6,0,1,0,0,0,1,0,0.0,0,3,0.0,0.0,1.0,0.0,0.0
1936,ВВС,danniha01,NY1,NL,2,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1977,ВВС,landera01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1980,НЛЦС,niekrjo01,HOU,NL,1,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1942,ВВС,priddje01,NYA,AL,3,10,0,1,1,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2003,НЛДС1,alfoned01,SFN,NL,4,17,3,9,4,0,0,5,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1962,ВВС,mccovwi01,SFN,NL,4,15,2,3,0,1,1,1,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0
1942,ВВС,staintu01,NYA,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1986,ВВС,bucknbi01,BOS,AL,7,32,2,6,0,0,0,1,0,0.0,0,3,0.0,1.0,0.0,0.0,1.0
1995,НЛДС1,weisswa01,COL,NL,4,12,1,2,0,0,0,0,1,0.0,3,3,1.0,1.0,0.0,0.0,0.0
2010,ВВС,cruzne02,TEX,AL,5,20,2,4,2,0,1,3,0,0.0,0,5,0.0,0.0,0.0,0.0,0.0
1978,ВВС,lacyle01,LAN,NL,4,14,0,2,0,0,0,1,0,0.0,1,3,0.0,0.0,0.0,0.0,2.0
1974,ВВС,fingero01,OAK,AL,4,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1968,ВВС,maxvida01,SLN,NL,7,22,1,0,0,0,0,0,0,0.0,3,5,0.0,0.0,0.0,0.0,0.0
2009,НЛДС-2,torreyo01,COL,NL,4,14,1,5,2,0,1,4,0,0.0,0,5,0.0,0.0,1.0,0.0,0.0
1886,ВВС,hudsona01,SL4,AA,2,6,1,1,0,1,0,0,0,,1,3,0.0,,,,
1995,НЛДС-2,karroer01,LAN,NL,3,12,3,6,1,0,2,4,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
1982,НЛЦС,hernake01,SLN,NL,3,12,3,4,0,0,0,1,0,0.0,2,3,2.0,0.0,0.0,0.0,0.0
1962,ВВС,halleto01,SFN,NL,4,14,1,4,1,0,1,3,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1976,ВВС,masonji01,NYA,AL,3,1,1,1,0,0,1,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1993,ВВС,butlero01,TOR,AL,2,2,1,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1997,ВВС,anderbr02,CLE,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1969,ВВС,ryanno01,NYN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2004,НЛДС-2,furcara01,ATL,NL,5,21,5,8,0,1,2,4,3,0.0,3,3,0.0,1.0,1.0,0.0,0.0
1998,ALDS1,oleartr01,BOS,AL,4,16,0,1,0,0,0,0,0,0.0,1,4,0.0,0.0,0.0,0.0,0.0
1988,ВВС,saxst01,LAN,NL,5,20,3,6,0,0,0,0,1,1.0,1,1,0.0,1.0,0.0,0.0,0.0
