yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
1953,WS,wadebe01,BRO,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1925,WS,marbefi01,WS1,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
1964,WS,boyerke01,SLN,NL,7,27,5,6,1,0,2,6,0,0.0,1,5,0.0,0.0,0.0,1.0,1.0
1999,NLCS,morame01,NYN,NL,6,14,3,6,0,0,1,2,2,0.0,2,2,0.0,0.0,0.0,0.0,0.0
1980,WS,bowala01,PHI,NL,6,24,3,9,1,0,0,2,3,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1993,WS,stockke01,PHI,NL,6,19,1,4,1,0,0,1,0,1.0,5,5,0.0,0.0,0.0,0.0,0.0
2002,NLDS2,kimby01,ARI,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1997,NLDS1,ariasal01,FLO,NL,1,1,0,1,0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2012,ALWC,sotoge01,TEX,AL,1,2,0,0,0,0,0,0,0,0.0,0,1,,,,,
1920,WS,evansjo01,CLE,AL,4,13,0,4,0,0,0,0,0,1.0,1,0,0.0,0.0,0.0,0.0,0.0
1934,WS,walkebi01,SLN,NL,2,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1957,WS,turlebo01,NYA,AL,3,4,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1981,WS,lopesda01,LAN,NL,6,22,6,5,1,0,0,2,4,0.0,4,3,0.0,0.0,1.0,0.0,0.0
1953,WS,gormato02,NYA,AL,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
2003,ALDS2,menecfr01,OAK,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1985,WS,smithoz01,SLN,NL,7,23,1,2,0,0,0,0,1,1.0,4,0,0.0,0.0,1.0,0.0,1.0
1991,WS,gantro01,ATL,NL,7,30,3,8,0,1,0,4,1,0.0,2,3,0.0,0.0,0.0,0.0,0.0
2011,NLDS1,blantjo01,PHI,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,,,,,
2000,NLDS2,ruschgl01,NYN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
