playerid,yearid,round,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
nehfar01,1921,ws,NY1,NL,1,2,3,3,3,1,0,78,13,4,0,13,8,0.0,1.0,0.0,1.0,0.0,0.0,100.0,0,6,1.0,2.0,1.0
roberna01,2006,АЛКС,DET,AL,1,0,1,1,0,0,0,15,6,0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0,0.0,0.0,3.0
fitzsfr01,1933,ws,NY1,NL,0,1,1,1,0,0,0,21,9,4,0,0,2,0.0,5.0,0.0,0.0,0.0,0.0,29.0,0,4,0.0,0.0,0.0
hasslan01,1977,АЛКС,KCA,AL,0,1,1,1,0,0,0,17,5,3,1,0,3,0.0,4.0,0.0,0.0,0.0,1.0,22.0,0,3,0.0,0.0,0.0
maddugr01,1995,ws,ATL,NL,1,1,2,2,1,0,0,48,9,4,1,3,8,0.0,2.0,1.0,0.0,0.0,0.0,60.0,0,6,0.0,0.0,0.0
welchmi01,1889,ws,NY1,NL,0,1,1,1,0,0,0,15,11,5,1,3,1,,9.0,,,,,,0,8,,,
motagu01,2012,НЛКС,SFN,NL,0,0,1,0,0,0,0,1,2,2,0,0,1,0.0,27.0,0.0,0.0,0.0,,4.0,0,2,,,0.0
ruethdu01,1919,ws,CIN,NL,1,0,2,2,1,0,0,42,12,4,0,4,1,0.0,2.0,0.0,0.0,0.0,0.0,56.0,0,5,2.0,1.0,0.0
wyattjo02,1967,ws,BOS,AL,1,0,2,0,0,0,0,11,1,2,1,3,1,0.0,4.0,0.0,0.0,0.0,1.0,15.0,1,2,0.0,0.0,0.0
maysca01,1918,ws,BOS,AL,2,0,2,2,2,0,0,54,10,2,0,3,5,0.0,1.0,0.0,0.0,1.0,0.0,63.0,0,2,1.0,0.0,0.0
hillejo01,1968,ws,DET,AL,0,0,2,0,0,0,0,6,6,3,0,3,1,0.0,,0.0,0.0,0.0,0.0,16.0,1,4,0.0,0.0,0.0
bosweda01,1965,ws,MIN,AL,0,0,1,0,0,0,0,8,3,1,0,2,3,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0,1,0.0,0.0,0.0
romerjc01,2002,ALDS2,MIN,AL,0,0,3,0,0,0,0,10,3,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0,0.0,0.0,0.0
kennemo01,1951,ws,NY1,NL,0,0,2,0,0,0,0,9,3,2,1,1,4,0.0,6.0,0.0,0.0,0.0,0.0,13.0,1,2,0.0,0.0,0.0
landrbi01,1990,НЛКС,PIT,NL,0,0,2,0,0,0,0,6,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,0,0.0,0.0,0.0
eichhma01,1992,ws,TOR,AL,0,0,1,0,0,0,0,3,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0
breweji01,1974,ws,LAN,NL,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
