yearid,teamid,lgid,playerid,salary
1992,LAN,NL,grosski01,150000
2011,SDN,NL,hudsoor01,4000000
2008,CIN,NL,haranaa01,6750000
2009,TEX,AL,vizquom01,1000000
1986,CIN,NL,larkiba01,60000
2011,HOU,NL,downsma01,421000
2001,SFN,NL,estessh01,4725000
2000,CHA,AL,konerpa01,305000
2002,CLE,AL,dresery01,206500
1996,CHN,NL,sanchre01,1200000
2006,DET,AL,marotmi01,2300000
1998,HOU,NL,philljr01,250000
1985,TOR,AL,henketo01,60000
1988,SLN,NL,pendlte01,660000
2010,SFN,NL,derosma01,6000000
2003,SLN,NL,vinafe01,5333333
1988,SDN,NL,brownch02,265000
1986,MIN,AL,hatchmi01,666667
2008,TOR,AL,downssc01,2250000
1985,NYN,NL,cartega01,2028571
2009,ATL,NL,vazquja01,11500000
1990,PIT,NL,bonilbo01,1250000
1987,ML4,AL,nieveju01,115000
1994,NYA,AL,davisru01,109000
1996,MON,NL,fasseje01,2800000
1993,MIN,AL,beckeri01,109000
1998,TEX,AL,haselbi01,625000
1996,SFN,NL,leitema01,1850000
1996,SEA,AL,johnsra05,6025000
1990,MON,NL,owensp01,933333
2008,DET,AL,renteed01,10000000
1990,NYA,AL,guettle01,465000
2002,CHN,NL,ohmanwi01,203500
2006,SFN,NL,vizquom01,3640084
1988,BOS,AL,hurstbr01,900000
2000,NYN,NL,zeileto01,4333333
1990,TEX,AL,manonra01,100000
1992,TEX,AL,sierrru01,5000000
1998,SLN,NL,eversbr01,185000
1988,PHI,NL,ruffibr01,140000
1997,BAL,AL,webstle01,425000
2004,COL,NL,chacosh01,1850000
1986,ML4,AL,schrobi01,155000
1993,CHN,NL,morgami01,3375000
2011,BOS,AL,drewjd01,14000000
2012,CLE,AL,smithjo05,1750000
1987,TOR,AL,mosebll01,807500
2008,FLO,NL,sanchan01,390000
2006,ATL,NL,jonesch06,12333333
1995,PHI,NL,willimi03,130000
1999,TEX,AL,zimmeje02,200000
2005,LAA,AL,davanje02,925000
1988,CHA,AL,perezme01,62500
2012,COL,NL,roenijo01,481000
1988,CLE,AL,clarkda05,72000
1992,PIT,NL,batismi01,109000
2001,BOS,AL,oleartr01,4600000
2009,TBA,AL,cormila01,675000
1998,BOS,AL,lewisda01,500000
1988,NYA,AL,johnto01,375000
2002,CIN,NL,jenniro01,310000
2008,NYA,AL,riverma01,15000000
2007,ARI,NL,callaal01,380000
1985,TEX,AL,nolesdi01,235000
2003,CHA,AL,pauljo01,325000
2006,CHN,NL,millewa04,1000000
1990,SFN,NL,thompro01,900000
2007,LAA,AL,anderga01,11600000
1996,MIN,AL,kellyro01,550000
1991,MIN,AL,sorrepa01,122500
1997,CHA,AL,camermi01,160000
1986,PIT,NL,reuscri01,700000
2011,CIN,NL,ondrulo01,418000
2006,LAN,NL,furcara01,8715508
1995,COL,NL,nokesma01,109000
1991,ML4,AL,nunezed01,2266667
1992,SDN,NL,shiplcr01,117500
1996,TOR,AL,britoti01,109000
2011,MIL,NL,counscr01,1400000
2002,MON,NL,vazquja01,4725000
1989,SDN,NL,davisma01,600000
2001,BAL,AL,mcelrch01,1520000
2012,BOS,AL,avilemi01,1200000
1994,DET,AL,curtich01,600000
2009,MIN,AL,perkigl01,430000
2012,PIT,NL,burneaj01,16500000
1988,NYA,AL,randowi01,875000
2000,CHA,AL,foulkke01,375000
2002,BAL,AL,hairsje02,300000
1991,SLN,NL,smithbr01,2133333
1987,LAN,NL,shiplcr01,62500
2001,NYN,NL,venturo01,8000000
1986,SDN,NL,waltege01,70000
2005,HOU,NL,duckwbr01,500000
2010,ARI,NL,boyerbl01,725000
1989,PIT,NL,landrbi01,75000
2000,FLO,NL,clapich01,201000
1996,LAN,NL,worreto01,4000000
2003,TBA,AL,martial03,300000
1989,MIN,AL,larkige01,145000
1993,NYA,AL,silveda01,10900
2010,COL,NL,gonzaca01,406000
2003,CLE,AL,spencsh01,600000
2007,LAA,AL,shielsc01,3400000
2005,PIT,NL,mesajo01,2000000
1986,SEA,AL,fireost01,64000
1985,CHN,NL,smithle02,670000
2009,PHI,NL,condrcl01,650000
2004,SFN,NL,rodrife01,3050000
1994,HOU,NL,hamptmi01,129000
2007,KCA,AL,braunry01,380000
1992,HOU,NL,youngge02,420000
2007,PHI,NL,garcifr02,10000000
1998,NYN,NL,spehrti01,285000
1995,NYN,NL,remlimi01,118500
1999,KCA,AL,sanchre01,1200000
1998,NYN,NL,gilkebe01,5050000
2008,ATL,NL,hudsoti01,15500000
2010,BOS,AL,lowrije01,434000
1991,SDN,NL,fernato01,2100000
1998,MIL,NL,myersmi01,525000
1998,COL,NL,kileda01,5492981
2009,COL,NL,bakerje03,415000
2007,FLO,NL,gardnle01,390000
2012,SFN,NL,lopezja02,4250000
1990,BOS,AL,coopesc01,100000
1998,TEX,AL,simmsmi01,275000
2005,PHI,NL,rolliji01,3850000
2006,NYN,NL,castrra01,800000
1990,OAK,AL,phelpke01,825000
1991,DET,AL,gakelda01,125000
2004,HOU,NL,stoneri01,395000
1990,TEX,AL,guzmajo01,400000
2002,SDN,NL,nevinph01,2600000
1997,CHA,AL,eyresc01,150000
1996,CHA,AL,phillto02,2100000
1993,HOU,NL,jonesdo01,2500000
1992,CLE,AL,mesajo01,135000
1996,TEX,AL,stillku01,150000
1990,ATL,NL,murphda05,2000000
1994,DET,AL,livinsc01,365000
2003,BOS,AL,gonzadi01,300000
1994,CHN,NL,castifr01,225000
2012,PHI,NL,papeljo01,11000058
1996,PIT,NL,erickjo01,135000
2011,TOR,AL,doteloc01,3000000
1998,NYA,AL,sojolu01,800000
2001,SDN,NL,maureda01,202500
2004,TEX,AL,delluda01,750000
1995,DET,AL,wellsda01,2191667
2009,SFN,NL,lewisfr02,440000
2012,MIN,AL,hendrli01,480000
1993,BAL,AL,valenfe01,650000
1993,CLE,AL,tavarju01,109000
1987,KCA,AL,lawru01,300000
2010,MIL,NL,kottage01,408500
2011,CIN,NL,francju02,414000
1994,DET,AL,doherjo02,350000
1999,HOU,NL,thompry01,275000
2001,MON,NL,bradlmi01,207000
1994,TEX,AL,carpecr01,1000000
1997,BAL,AL,daviser01,2200000
2008,BAL,AL,cabrefe01,575000
2004,MIL,NL,kolbda01,1500000
1992,DET,AL,kreutch01,155000
2009,LAN,NL,furcara01,7500000
1998,SLN,NL,frascjo01,240000
1988,SFN,NL,leffecr01,575000
1997,SFN,NL,vizcajo01,2800000
1985,PIT,NL,reuscri01,200000
1998,BAL,AL,clybuda01,170000
1994,CLE,AL,lopezal02,113000
2011,PHI,NL,schlibr01,414000
2008,DET,AL,minerza01,410000
2009,NYA,AL,cabreme01,1400000
1987,NYA,AL,pedrial01,62500
2002,MIN,AL,guarded01,1800000
2002,FLO,NL,gonzaal02,1700000
1999,PHI,NL,gomeswa01,260000
2000,SDN,NL,gwynnto01,6300000
1996,SFN,NL,watsoal01,240000
2001,BOS,AL,penaju01,202500
2005,SLN,NL,mabryjo01,725000
2009,FLO,NL,cantujo01,3500000
2005,MIL,NL,cirilje01,316000
2009,CHA,AL,betemwi01,1300000
1990,CIN,NL,daviser01,2100000
2006,SEA,AL,hernafe02,340000
2008,BOS,AL,pedrodu01,457000
2009,HOU,NL,smithja05,500000
2007,BAL,AL,patteco01,4300000
2011,BOS,AL,saltaja01,750000
1991,TOR,AL,myersgr01,160000
2001,BOS,AL,nixontr01,390000
2000,HOU,NL,elartsc01,300000
1995,BAL,AL,basske01,415000
1998,CHN,NL,trachst01,2987500
1998,ATL,NL,perezed02,225000
1999,TEX,AL,goodwto01,3225000
2012,CHA,AL,deazaal01,495000
1998,OAK,AL,telghda01,200000
1987,BAL,AL,arnolto01,62500
1999,SLN,NL,braggda01,800000
1989,CIN,NL,olivejo01,68000
1996,ATL,NL,mordemi01,135000
1990,BOS,AL,clemero02,2600000
1989,ML4,AL,molitpa01,2100000
1993,MIN,AL,winfida01,2700000
2005,MIL,NL,branyru01,800000
1985,MON,NL,washiul01,650000
1997,CHN,NL,steveda01,210000
