yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
2002,NLDS2,SLN,NL,ARI,NL,3,0,0
1997,НЛДС-1,FLO,NL,SFN,NL,3,0,0
1974,АЛКС,OAK,AL,BAL,AL,3,1,0
1976,АЛКС,NYA,AL,KCA,AL,3,2,0
2002,АЛДС-1,ANA,AL,NYA,AL,3,1,0
1982,НЛКС,SLN,NL,ATL,NL,3,0,0
1986,ws,NYN,NL,BOS,AL,4,3,0
2011,ALDS2,TEX,AL,TBA,AL,3,1,0
1981,НЛКС,LAN,NL,MON,NL,3,2,0
1991,НЛКС,ATL,NL,PIT,NL,4,3,0
2001,АЛКС,NYA,AL,SEA,AL,4,1,0
1955,ws,BRO,NL,NYA,AL,4,3,0
1987,ws,MIN,AL,SLN,NL,4,3,0
1930,ws,PHA,AL,SLN,NL,4,2,0
2006,АЛДС-1,DET,AL,NYA,AL,3,1,0
2010,ALDS2,NYA,AL,MIN,AL,3,0,0
2000,АЛКС,NYA,AL,SEA,AL,4,2,0
2005,НЛКС,HOU,NL,SLN,NL,4,2,0
1975,НЛКС,CIN,NL,PIT,NL,3,0,0
1972,НЛКС,CIN,NL,PIT,NL,3,2,0
1997,НЛКС,FLO,NL,ATL,NL,4,2,0
1945,ws,DET,AL,CHN,NL,4,3,0
2005,АЛДС-1,CHA,AL,BOS,AL,3,0,0
1979,НЛКС,PIT,NL,CIN,NL,3,0,0
2000,ALDS2,SEA,AL,CHA,AL,3,0,0
2004,ws,BOS,AL,SLN,NL,4,0,0
1987,НЛКС,SLN,NL,SFN,NL,4,3,0
2008,NLDS2,PHI,NL,MIL,NL,3,1,0
2012,ALDS2,DET,AL,OAK,AL,3,2,0
2010,АЛКС,TEX,AL,NYA,AL,4,2,0
1971,НЛКС,PIT,NL,SFN,NL,3,1,0
2004,АЛКС,BOS,AL,NYA,AL,4,3,0
1928,ws,NYA,AL,SLN,NL,4,0,0
1995,НЛКС,ATL,NL,CIN,NL,4,0,0
2012,NLDS2,SFN,NL,CIN,NL,3,2,0
1992,АЛКС,TOR,AL,OAK,AL,4,2,0
1918,ws,BOS,AL,CHN,NL,4,2,0
1958,ws,NYA,AL,ML1,NL,4,3,0
1941,ws,NYA,AL,BRO,NL,4,1,0
1996,АЛКС,NYA,AL,BAL,AL,4,1,0
1932,ws,NYA,AL,CHN,NL,4,0,0
2009,ALDS2,LAA,AL,BOS,AL,3,0,0
2002,НЛКС,SFN,NL,SLN,NL,4,1,0
1919,ws,CIN,NL,CHA,AL,5,3,0
1995,ws,ATL,NL,CLE,AL,4,2,0
2000,ws,NYA,AL,NYN,NL,4,1,0
1960,ws,PIT,NL,NYA,AL,4,3,0
1917,ws,CHA,AL,NY1,NL,4,2,0
1997,АЛКС,CLE,AL,BAL,AL,4,2,0
1979,ws,PIT,NL,BAL,AL,4,3,0
1985,НЛКС,SLN,NL,LAN,NL,4,2,0
1969,НЛКС,NYN,NL,ATL,NL,3,0,0
1990,ws,CIN,NL,OAK,AL,4,0,0
1969,ws,NYN,NL,BAL,AL,4,1,0
1907,ws,CHN,NL,DET,AL,4,0,0
1977,НЛКС,LAN,NL,PHI,NL,3,1,0
2004,НЛДС-1,SLN,NL,LAN,NL,3,1,0
1924,ws,WS1,AL,NY1,NL,4,3,0
1944,ws,SLN,NL,SLA,AL,4,2,0
1973,НЛКС,NYN,NL,CIN,NL,3,2,0
1975,ws,CIN,NL,BOS,AL,4,3,0
2008,ALDS2,TBA,AL,CHA,AL,3,1,0
2003,ALDS2,BOS,AL,OAK,AL,3,2,0
1929,ws,PHA,AL,CHN,NL,4,1,0
1997,NLDS2,ATL,NL,HOU,NL,3,0,0
1967,ws,SLN,NL,BOS,AL,4,3,0
2004,АЛДС-1,BOS,AL,ANA,AL,3,0,0
1903,ws,BOS,AL,PIT,NL,5,3,0
1977,АЛКС,NYA,AL,KCA,AL,3,2,0
2012,АЛДС-1,NYA,AL,BAL,AL,3,2,0
1947,ws,NYA,AL,BRO,NL,4,3,0
2010,NLDS2,SFN,NL,ATL,NL,3,1,0
2010,АЛДС-1,TEX,AL,TBA,AL,3,2,0
2000,НЛДС-1,SLN,NL,ATL,NL,3,0,0
1978,ws,NYA,AL,LAN,NL,4,2,0
1988,ws,LAN,NL,OAK,AL,4,1,0
2011,NLDS2,MIL,NL,ARI,NL,3,2,0
1997,ws,FLO,NL,CLE,AL,4,3,0
1995,НЛДС-1,ATL,NL,COL,NL,3,1,0
1992,НЛКС,ATL,NL,PIT,NL,4,3,0
2011,НЛКС,SLN,NL,MIL,NL,4,2,0
1975,АЛКС,BOS,AL,OAK,AL,3,0,0
2006,НЛКС,SLN,NL,NYN,NL,4,3,0
2007,АЛДС-1,BOS,AL,LAA,AL,3,0,0
1934,ws,SLN,NL,DET,AL,4,3,0
2007,ws,BOS,AL,COL,NL,4,0,0
2008,АЛКС,TBA,AL,BOS,AL,4,3,0
2007,ALDS2,CLE,AL,NYA,AL,3,1,0
1988,НЛКС,LAN,NL,NYN,NL,4,3,0
2005,NLDS2,HOU,NL,ATL,NL,3,1,0
2007,АЛКС,BOS,AL,CLE,AL,4,3,0
2002,ws,ANA,AL,SFN,NL,4,3,0
2009,НЛКС,PHI,NL,LAN,NL,4,1,0
1971,ws,PIT,NL,BAL,AL,4,3,0
2007,NLDS2,COL,NL,PHI,NL,3,0,0
2009,НЛДС-1,LAN,NL,SLN,NL,3,0,0
2008,НЛКС,PHI,NL,LAN,NL,4,1,0
1981,НЕДИВ,MON,NL,PHI,NL,3,2,0
1990,НЛКС,CIN,NL,PIT,NL,4,2,0
