yearid,teamid,lgid,playerid,g_all,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr
1933,BOS,AL,alexada01,94,,94,94,0,0,79,0,0,0,0,0,0,0,,
1933,BOS,AL,almadme01,14,,14,14,0,0,0,0,0,0,7,6,0,13,,
1933,BOS,AL,andreiv01,36,,36,36,34,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,brownll01,33,,33,33,33,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,cookedu01,119,,119,119,0,0,0,0,0,0,47,70,30,118,,
1933,BOS,AL,ferreri01,118,,118,118,0,116,0,0,0,0,0,0,0,0,,
1933,BOS,AL,fothebo01,28,,28,28,0,0,0,0,0,0,1,0,3,4,,
1933,BOS,AL,fribebe01,17,,17,17,0,0,0,6,5,2,0,0,0,0,,
1933,BOS,AL,fullecu01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,goochjo01,37,,37,37,0,26,0,0,0,0,0,0,0,0,,
1933,BOS,AL,hodapjo01,115,,115,115,0,0,10,101,0,0,0,0,0,0,,
1933,BOS,AL,johnsha01,26,,26,26,25,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,johnsro02,133,,133,133,0,0,0,0,0,0,26,10,95,125,,
1933,BOS,AL,jollesm01,118,,118,118,0,0,0,0,0,0,87,0,15,102,,
1933,BOS,AL,judgejo01,35,,35,35,0,0,29,0,0,0,0,0,0,0,,
1933,BOS,AL,klinebo01,46,,46,46,46,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,legetlo01,8,,8,8,0,2,0,0,0,0,0,0,0,0,,
1933,BOS,AL,mclauju01,6,,6,6,6,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,mcmanma01,106,,106,106,0,0,4,26,76,0,0,0,0,0,,
1933,BOS,AL,meolami01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,mullefr01,15,,15,15,0,0,0,14,0,0,0,0,0,0,,
1933,BOS,AL,mullegr01,1,,1,1,0,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,oliveto01,90,,90,90,0,0,0,0,0,0,0,86,0,86,,
1933,BOS,AL,olsonma01,3,,3,3,0,0,0,1,0,0,0,0,0,0,,
1933,BOS,AL,pipgrge01,22,,22,22,22,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,rhodego01,35,,35,35,34,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,seedsbo01,82,,82,82,0,0,41,0,0,0,17,0,16,32,,
1933,BOS,AL,sheame01,16,,16,16,0,16,0,0,0,0,0,0,0,0,,
1933,BOS,AL,stumpge01,22,,22,22,0,0,0,0,0,0,3,8,4,15,,
1933,BOS,AL,waltebu01,52,,52,52,0,0,0,7,43,0,0,0,0,0,,
1933,BOS,AL,warstra01,92,,92,92,0,0,0,0,0,87,0,0,0,0,,
1933,BOS,AL,watwojo01,13,,13,13,0,0,0,0,0,0,5,0,4,9,,
1933,BOS,AL,weilabo01,39,,39,39,39,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,welchjo01,47,,47,47,47,0,0,0,0,0,0,0,0,0,,
1933,BOS,AL,werbebi01,108,,108,108,0,0,0,2,38,71,0,0,0,0,,
1933,BOS,AL,winseto01,6,,6,6,0,0,0,0,0,0,2,0,2,4,,
1933,BRO,NL,beckbo01,43,,43,43,43,0,0,0,0,0,0,0,0,0,,
1933,BRO,NL,bengera01,37,,37,37,37,0,0,0,0,0,0,0,0,0,,
1933,BRO,NL,bissode01,35,,35,35,0,0,32,0,0,0,0,0,0,0,,
1933,BRO,NL,bluelu01,1,,1,1,0,0,1,0,0,0,0,0,0,0,,
1933,BRO,NL,boylebu01,93,,93,93,0,0,0,0,0,0,45,34,10,90,,
1933,BRO,NL,carroow01,34,,34,34,33,0,0,0,0,0,0,0,0,0,,
1933,BRO,NL,clarkwa02,11,,11,11,11,0,0,0,0,0,0,0,0,0,,
1933,BRO,NL,cuccito01,134,,134,134,0,0,0,120,14,0,0,0,0,0,,
1933,BRO,NL,delmabe01,12,,12,12,0,0,0,10,0,0,0,0,0,0,,
1933,BRO,NL,floweja01,78,,78,78,0,0,0,19,8,36,0,0,1,1,,
1933,BRO,NL,fredejo01,147,,147,147,0,0,0,0,0,0,10,26,102,138,,
1933,BRO,NL,freylo01,34,,34,34,0,0,0,0,0,34,0,0,0,0,,
1933,BRO,NL,heimafr01,10,,10,10,10,0,0,0,0,0,0,0,0,0,,
1933,BRO,NL,hutchjo01,55,,55,55,0,0,0,0,0,0,0,0,45,45,,
1933,BRO,NL,jordaji01,70,,70,70,0,0,0,11,0,51,0,0,0,0,,
1933,BRO,NL,judgejo01,42,,42,42,0,0,28,0,0,0,0,0,0,0,,
1933,BRO,NL,leonadu02,10,,10,10,10,0,0,0,0,0,0,0,0,0,,
1933,BRO,NL,leslisa01,96,,96,96,0,0,95,0,0,0,0,0,0,0,,
1933,BRO,NL,lopezal01,126,,126,126,0,124,0,1,0,0,0,0,0,0,,
1933,BRO,NL,lucasra01,2,,2,2,2,0,0,0,0,0,0,0,0,0,,
1933,BRO,NL,mungova01,41,,41,41,41,0,0,0,0,0,0,0,0,0,,
1933,BRO,NL,odoulle01,43,,43,43,0,0,0,0,0,0,41,0,0,41,,
1933,BRO,NL,outench01,93,,93,93,0,56,0,0,0,0,0,0,0,0,,
