franchid,franchname,active,naassoc
KCR,Kansas City Royals,Y,
CLV,Cleveland Spiders,N,
CHP,Chicago Pirates,N,
WOR,Worcester Ruby Legs,N,
PWS,Philadelphia White Stockings,,
MLU,Milwaukee Brewers,N,
BLU,Baltimore Monumentals,N,
BLO,Baltimore Orioles,N,
ECK,Brooklyn Eckfords,,
NYU,New York Mutuals,N,NNA
CHC,Chicago Cubs,Y,CNA
SYR,Syracuse Stars,N,
PIT,Pittsburgh Pirates,Y,
BWW,Brooklyn Ward's Wonders,N,
CLI,Cleveland Infants,N,
DTN,Detroit Wolverines,N,
SYS,Syracuse Stars,N,
WNL,Washington Nationals,N,
WNA,Washington Nationals,N,
NHV,New Haven Elm Citys,,
NYP,New York Metropolitans,N,
MIL,Milwaukee Brewers,Y,
SLR,St. Louis Red Stockings,,
MLA,Milwaukee Brewers,N,
NNA,New York Mutuals,,NYU
BUF,Buffalo Bisons,N,
SLI,St. Louis Terriers,N,
KCN,Kansas City Cowboys,N,
CLE,Cleveland Indians,Y,
ROC,Rochester Broncos,N,
LGR,Louisville Grays,N,
CHH,Chicago Whales,N,
WNT,Washington Nationals,,
ROK,Rockford Forest Citys,,
PBB,Pittsburgh Burghers,N,
BRA,Brooklyn Atlantics,,
WSN,Washington Nationals,Y,
ATH,Philadelphia Athletics,N,PNA
BAL,Baltimore Orioles,Y,
FLA,Florida Marlins,Y,
HNA,Hartford Dark Blues,,HAR
TRT,Troy Trojans,N,
MLG,Milwaukee Grays,N,
WAS,Washington Senators,N,
NAT,Washington Nationals,,
DET,Detroit Tigers,Y,
WBL,Washington Blue Legs,,
NYI,New York Giants,N,
STP,St. Paul Apostles,N,
BFL,Buffalo Bisons,N,
BLC,Baltimore Canaries,,
TLM,Toledo Maumees,N,
WST,Washington Statesmen,N,
COL,Colorado Rockies,Y,
TBD,Tampa Bay Rays,Y,
BNA,Boston Red Stockings,,ATL
ARI,Arizona Diamondbacks,Y,
PHA,Philadelphia Athletics,N,
STL,St. Louis Cardinals,Y,
CHW,Chicago White Sox,Y,
BLT,Baltimore Terrapins,N,
PHK,Philadelphia Keystones,N,
CNA,Chicago White Stockings,,CHC
ANA,Los Angeles Angels of Anaheim,Y,
BRG,Brooklyn Gladiators,N,
PBS,Pittsburgh Rebels,N,
RES,Elizabeth Resolutes,,
NEW,Newark Pepper,N,
BTT,Brooklyn Tip-Tops,N,
ATL,Atlanta Braves,Y,BNA
SNA,St. Louis Brown Stockings,,SBS
OAK,Oakland Athletics,Y,
CNR,Cincinnati Reds,N,
HAR,Hartford Dark Blues,N,HNA
MAN,Middletown Mansfields,,
WES,Keokuk Westerns,,
IBL,Indianapolis Blues,N,
SDP,San Diego Padres,Y,
KCP,Kansas City Packers,N,
TOR,Toronto Blue Jays,Y,
BOS,Boston Red Sox,Y,
KCU,Kansas City Cowboys,N,
MAR,Baltimore Marylands,,
WIL,Wilmington Quicksteps,N,
CIN,Cincinnati Reds,Y,
CBK,Columbus Buckeyes,N,
KEK,Fort Wayne Kekiongas,,
SLM,St. Louis Maroons,N,
ALT,Altoona Mountain City,N,
CFC,Cleveland Forest Citys,,
COR,Cincinnati Outlaw Reds,N,
PHQ,Philadelphia Athletics,N,
LOU,Louisville Colonels,N,
CPI,Chicago/Pittsburgh (Union League),N,
PNA,Philadelphia Athletics,,ATH
IHO,Indianapolis Hoosiers,N,
CBL,Cleveland Blues,N,
LAD,Los Angeles Dodgers,Y,
TOL,Toledo Blue Stockings,N,
OLY,Washington Olympics,,
BRS,Boston Reds,N,
KCC,Kansas City Cowboys,N,
SBS,St. Louis Brown Stockings,N,SNA
TRO,Troy Haymakers,,
CKK,Cincinnati Kelly's Killers,N,
SEA,Seattle Mariners,Y,
CLS,Columbus Solons,N,
CEN,Philadelphia Centennials,,
SFG,San Francisco Giants,Y,
NYY,New York Yankees,Y,
HOU,Houston Astros,Y,
TEX,Texas Rangers,Y,
IND,Indianapolis Hoosiers,N,
BRD,Boston Reds,N,
RIC,Richmond Virginians,N,
PHI,Philadelphia Phillies,Y,
MIN,Minnesota Twins,Y,
NYM,New York Mets,Y,
PRO,Providence Grays,N,
BFB,Buffalo Bisons,N,
