franchid,franchname,active,naassoc
KCR,Канзас-Сити Роялс,Y,
CLV,Кливленд Паук,Н,
CHP,Чикагские пираты,Н,
WOR,Вихревые рубиновые ножки,Н,
PWS,Белые чулки Филадельфии,,
MLU,Милуоки Брюэрс,Н,
BLU,Памятные памятники Балтимора,Н,
BLO,Балтимор Ориолс,Н,
ECK,Бруклин Экфордс,,
NYU,Нью-Йорк Взаимная связь,Н,ННА
CHC,Чикаго Кабс,Y,КНА
SYR,Звезды Сиракуз,Н,
PIT,Питтсбургские пираты,Y,
BWW,Чудеса Бруклина Уорда,Н,
CLI,Кливлендские младенцы,Н,
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
SYS,Звезды Сиракуз,Н,
WNL,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
WNA,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
NHV,Нью-Хейвен-Элм-Сити,,
NYP,Города Нью-Йорка,Н,
MIL,Милуоки Брюэрс,Y,
SLR,Красные чулки Сент-Луиса,,
MLA,Милуоки Брюэрс,Н,
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
BUF,Баффало Бизонс,Н,
SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,Н,
KCN,Канзас Сити Ковбои,Н,
CLE,Индейцы Кливленда,Y,
ROC,Рочестер Бронкос,Н,
LGR,Луисвилл Грейс,Н,
CHH,Чикагские киты,Н,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
ROK,Рокфордские лесные города,,
PBB,Питтсбургские бургеры,Н,
BRA,Бруклинские Атлантики,,
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
ATH,Филадельфия Атлетика,Н,PNA
BAL,Балтимор Ориолс,Y,
FLA,Флорида Марлинс,Y,
HNA,Хартфорд Тёмный Блюз,,HAR
TRT,Тройские троянцы,Н,
MLG,Милуоки Грейс,Н,
WAS,Сенаторы Вашингтона,Н,
NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
WBL,Голубые ноги Вашингтона,,
NYI,Нью-Йорк Гиганты,Н,
STP,Святой Павел Апостолы,Н,
BFL,Баффало Бизонс,Н,
BLC,Балтиморские канареи,,
TLM,Толедо Маумес,Н,
WST,Вашингтон,Н,
COL,Колорадо Скалистые горы,Y,
TBD,Tampa Bay Rays,Y,
BNA,Бостонские красные чулки,,АТЛ
ARI,Аризона Даймондбэкс,Y,
PHA,Филадельфия Атлетика,Н,
STL,Кардиналы Сент-Луиса,Y,
CHW,Чикаго Уайт Сокс,Y,
BLT,Балтиморские террапины,Н,
PHK,Критерии Филадельфии,Н,
CNA,Белые чулки Чикаго,,CHC
ANA,Лос-Анджелесские ангелы Анахейма,Y,
BRG,Бруклинские гладиаторы,Н,
PBS,Питтсбургские повстанцы,Н,
RES,Элизабет Резолютес,,
NEW,Ньюарк Пеппер,Н,
BTT,Бруклинские таблетки,Н,
ATL,Атланты Храбрые храбрые,Y,БНА
SNA,Сент-Луис Браун Шеллингс,,ПС
OAK,Аклендская атлетика,Y,
CNR,Красные Цинциннати,Н,
HAR,Хартфорд Тёмный Блюз,Н,ХНА
MAN,Мидлтаун Мэнсфилдс,,
WES,Кеокук Вестерн,,
IBL,Индианаполис Блюз,Н,
SDP,Сан-Диего Падрес,Y,
KCP,Канзас Сити Пакерс,Н,
TOR,Торонтские синие джеи,Y,
BOS,Бостонский ред Сокс,Y,
KCU,Канзас Сити Ковбои,Н,
MAR,Балтимор Мэрилендс,,
WIL,Уилмингтон Быстрые шаги,Н,
CIN,Красные Цинциннати,Y,
CBK,Колумб Бакейс,Н,
KEK,Форт Уэйн Кекионгас,,
SLM,Сент-Луис Марунс,Н,
ALT,Горный город Альтоона,Н,
CFC,Кливлендские лесные города,,
COR,Красные цициннати,Н,
PHQ,Филадельфия Атлетика,Н,
LOU,Полковники Луисвиля,Н,
CPI,Чикаго/Питтсбург (Союзная лига),Н,
PNA,Филадельфия Атлетика,,ATH
IHO,Индианаполис Хусье,Н,
CBL,Блюз Кливленда,Н,
LAD,Лос-Анджелес Доджерс,Y,
TOL,Синие чулки Толедо,Н,
OLY,Олимпийские игры в Вашингтоне,,
BRS,Бостонские красные,Н,
KCC,Канзас Сити Ковбои,Н,
SBS,Сент-Луис Браун Шеллингс,Н,СНС
TRO,Трой Хеймерс,,
CKK,Убийца Цинциннати Келли,Н,
SEA,Морские пехотинцы Сиэтла,Y,
CLS,Колумб Солоны,Н,
CEN,Столетия Филадельфии,,
SFG,Сан-Франциско Гиганты,Y,
NYY,Нью-Йорк Янкиз,Y,
HOU,Хьюстон Астрос,Y,
TEX,Техасские рейнджеры,Y,
IND,Индианаполис Хусье,Н,
BRD,Бостонские красные,Н,
RIC,Ричмондские вирджинцы,Н,
PHI,Филадельфия Филадельфия,Y,
MIN,Близнецы из Миннесоты,Y,
NYM,Нью-Йорк Метс,Y,
PRO,Провидцы Грей,Н,
BFB,Баффало Бизонс,Н,
