managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
lopezal01m,1969,CHA,AL,1,17,8,9,5.0,N
clappjo01m,1879,BFN,NL,1,79,46,32,3.0,Y
bluegos01m,1943,WS1,AL,1,153,84,69,2.0,N
bauerha01m,1964,BAL,AL,1,163,97,65,3.0,N
schlala01m,1915,BUF,FL,1,41,13,28,6.0,N
virdobi01m,1979,HOU,NL,1,162,89,73,2.0,N
wrighha01m,1892,PHI,NL,1,155,87,66,3.0,N
byrnech99m,1886,BR3,AA,1,141,76,61,3.0,N
woodji01m,1874,CH2,,2,23,10,13,5.0,N
andersp01m,1992,DET,AL,1,162,75,87,6.0,N
southbi01m,1950,BSN,NL,1,156,83,71,4.0,N
girarjo01m,2008,NYA,AL,1,162,89,73,3.0,N
loftuto01m,1890,CIN,NL,1,134,77,55,4.0,N
bevinte99m,1995,CHA,AL,2,113,57,56,3.0,N
lasorto01m,1978,LAN,NL,1,162,95,67,1.0,N
torrejo01m,1992,SLN,NL,1,162,83,79,3.0,N
irwinar01m,1895,PHI,NL,1,133,78,53,3.0,N
sewellu01m,1944,SLA,AL,1,154,89,65,1.0,N
mattibo01m,1980,TOR,AL,1,162,67,95,7.0,N
griffcl01m,1913,WS1,AL,1,155,90,64,2.0,Y
hemusso01m,1959,SLN,NL,1,154,71,83,7.0,Y
lemonbo01m,1978,CHA,AL,1,74,34,40,5.0,N
peskyjo01m,1980,BOS,AL,2,5,1,4,4.0,N
frankhe01m,1968,SFN,NL,1,163,88,74,2.0,N
zimmedo01m,1988,CHN,NL,1,163,77,85,4.0,N
pinielo01m,1986,NYA,AL,1,162,90,72,2.0,N
muserto01m,2001,KCA,AL,1,162,65,97,5.0,N
donovpa01m,1903,SLN,NL,1,139,43,94,8.0,Y
frazege99m,1890,SR2,AA,3,46,20,25,6.0,N
jonesfi01m,1907,CHA,AL,1,157,87,64,3.0,Y
dykesji01m,1954,BAL,AL,1,154,54,100,7.0,N
howear01m,1998,OAK,AL,1,162,74,88,4.0,N
wedgeer01m,2006,CLE,AL,1,162,78,84,4.0,N
wallabo01m,1911,SLA,AL,1,152,45,107,8.0,Y
manuech01m,2000,CLE,AL,1,162,90,72,2.0,N
melvibo01m,2007,ARI,NL,1,162,90,72,1.0,N
kerinjo01m,1888,LS2,AA,3,7,3,4,7.0,Y
willidi02m,1976,CAL,AL,1,96,39,57,4.0,N
richapa01m,1951,CHA,AL,1,155,81,73,4.0,N
fergubo01m,1874,BR2,,1,56,22,33,6.0,Y
colliji01m,1904,BOS,AL,1,157,95,59,1.0,Y
winklbo99m,1977,OAK,AL,2,108,37,71,7.0,N
zimmedo01m,1982,TEX,AL,1,96,38,58,6.0,N
houkra01m,1968,NYA,AL,1,164,83,79,5.0,N
cantijo99m,1907,WS1,AL,1,154,49,102,8.0,N
parkesa01m,1972,HOU,NL,2,1,1,0,2.0,N
robinfr02m,1983,SFN,NL,1,162,79,83,5.0,N
matheed01m,1974,ATL,NL,1,99,50,49,3.0,N
mcgrajo01m,1911,NY1,NL,1,154,99,54,1.0,N
wilsoji01m,1943,CHN,NL,1,154,74,79,5.0,N
mackco01m,1932,PHA,AL,1,154,94,60,2.0,N
griffcl01m,1919,WS1,AL,1,142,56,84,7.0,N
altobjo01m,1983,BAL,AL,1,162,98,64,1.0,N
mackco01m,1940,PHA,AL,1,154,54,100,8.0,N
torrejo01m,2004,NYA,AL,1,162,101,61,1.0,N
mackco01m,1914,PHA,AL,1,158,99,53,1.0,N
stahlja01m,1913,BOS,AL,1,81,39,41,4.0,Y
oatesjo01m,1994,BAL,AL,1,112,63,49,2.0,N
mcnamjo99m,1975,SDN,NL,1,162,71,91,4.0,N
mackape01m,2005,PIT,NL,2,26,12,14,6.0,N
newmaje01m,1986,OAK,AL,2,10,2,8,3.0,N
mcgrajo01m,1927,NY1,NL,1,122,70,52,3.0,N
hartsro01m,1977,TOR,AL,1,161,54,107,7.0,N
bellbu01m,1996,DET,AL,1,162,53,109,5.0,N
mcphebi01m,1901,CIN,NL,1,142,52,87,8.0,N
allisdo01m,1873,ELI,,1,23,2,21,8.0,N
schmegu99m,1889,CN2,AA,1,141,76,63,4.0,N
hendrja01m,1925,CIN,NL,1,153,80,73,3.0,N
sothoal01m,1933,SLA,AL,2,8,2,6,8.0,N
ripkeca99m,1987,BAL,AL,1,162,67,95,6.0,N
gleaski01m,1920,CHA,AL,1,154,96,58,2.0,N
hemusso01m,1960,SLN,NL,1,155,86,68,3.0,N
sawyeed99m,1950,PHI,NL,1,157,91,63,1.0,N
friscfr01m,1950,CHN,NL,1,154,64,89,7.0,N
hutchfr01m,1963,CIN,NL,1,162,86,76,5.0,N
kellyjo01m,1888,LS2,AA,1,39,10,29,7.0,N
harrilu01m,1968,ATL,NL,1,163,81,81,5.0,N
cronijo01m,1937,BOS,AL,1,154,80,72,5.0,Y
buckeal99m,1890,CL6,AA,1,80,39,41,2.0,N
ansonca01m,1897,CHN,NL,1,138,59,73,9.0,Y
lopesda01m,2000,MIL,NL,1,163,73,89,3.0,N
fletcar01m,1926,PHI,NL,1,152,58,93,8.0,N
johnswa01m,1932,WS1,AL,1,154,93,61,3.0,N
millera99m,1985,MIN,AL,2,100,50,50,4.0,N
wheelha01m,1884,KCU,UA,1,4,0,4,8.0,Y
howarfr01m,1983,NYN,NL,2,116,52,64,6.0,N
durocle01m,1967,CHN,NL,1,162,87,74,3.0,N
pikeli01m,1874,HR1,,1,53,16,37,7.0,Y
boudrlo01m,1944,CLE,AL,1,155,72,82,6.0,Y
joycebi01m,1897,NY1,NL,1,138,83,48,3.0,Y
mcgrajo01m,1909,NY1,NL,1,158,92,61,3.0,N
griffcl01m,1906,NYA,AL,1,155,90,61,2.0,Y
gomezpr01m,1969,SDN,NL,1,162,52,110,6.0,N
crandde01m,1973,ML4,AL,1,162,74,88,5.0,N
andersp01m,1971,CIN,NL,1,162,79,83,5.0,N
stanked01m,1955,SLN,NL,1,36,17,19,7.0,N
bezdehu99m,1917,PIT,NL,3,91,30,59,8.0,N
johnswa01m,1931,WS1,AL,1,156,92,62,3.0,N
harribu01m,1936,WS1,AL,1,153,82,71,4.0,N
wakamdo01m,2010,SEA,AL,1,112,42,70,4.0,N
kuehlka99m,1976,MON,NL,1,128,43,85,6.0,N
sislege01m,1925,SLA,AL,1,154,82,71,3.0,Y
vittos01m,1940,CLE,AL,1,155,89,65,2.0,N
torrejo01m,1977,NYN,NL,2,117,49,68,6.0,Y
richapa01m,1976,CHA,AL,1,161,64,97,6.0,N
