id,lgid,teamid,franchid,name,park
98,AL,SEA,SEA,Морские пехотинцы Сиэтла,Поле Safeco
28,AA,PT1,PIT,Питтсбургские аллегени,Парк отдыха
312,UA,SPU,STP,Белые капсулы Святого Пола,
306,UA,CHU,CPI,Чикаго/Питтсбург (Союзная лига),
291,NL,WAS,WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Национальный парк
11,AA,CL5,CBK,Колумб Бакейс,Парк отдыха I
205,NL,CN1,CNR,Красные Цинциннати,Авеню Земля
116,AL,WS2,TEX,Сенаторы Вашингтона,Стадион R.F.K.
133,,BS1,BNA,Бостонские красные чулки,South End Groups I
103,AL,TEX,TEX,Техасские рейнджеры,Поле Америкс
289,NL,TRN,TRT,Тройские троянцы,Клуб Тройных шаров
148,,SL1,SLR,Красные чулки Сент-Луиса,Красный бейсбольный парк &lt; &lt; Красный чулок &gt; &gt;
149,,SL2,SNA,Сент-Луис Браун Шеллингс,Парк Гранд-Авеню
86,AL,NYA,NYY,Нью-Йорк Янкиз,Стадион &lt; &lt; Янки &gt; &gt; III
46,AL,BOS,BOS,Бостонский ред Сокс,Земля Хантингтон-авеню
144,,PH1,PNA,Филадельфия Атлетика,Земля Джефферсона
84,AL,NYA,NYY,Нью-Йорк Янкиз,Стадион I Янки
245,NL,NYN,NYM,Нью-Йорк Метс,Поло Земля IV
250,NL,PHI,PHI,Филадельфия Филадельфия,Парк &lt; &lt; Граждане банка &gt; &gt;
220,NL,IN1,IBL,Индианаполис Блюз,Парк Саут-стрит
145,,PH2,PWS,Филадельфия Уайтс,Земля Джефферсона
38,AL,ANA,ANA,Анахеймские ангелы,Анахаймский стадион Ангелов
293,NL,WOR,WOR,Вихревые рубиновые ножки,Вихревый парк для вождения
203,NL,CL4,CLV,Кливленд Паук,Парк I Лиги
190,NL,CHN,CHC,Белые чулки Чикаго,Озерный парк I/Лейк Фронт Парк II
41,AL,BAL,BAL,Балтимор Ориолс,Парк Ориол в Камден-Ярдс
150,,TRO,TRO,Трой Хеймерс,Земля хеймеров
212,NL,FLO,FLA,Флорида Марлинс,Стадион Pro Player
175,NL,BSN,ATL,Бостонские пчёлы,Поле храбрых
255,NL,PHI,PHI,Филадельфийские квакеры,Филадельфийские бейсбольные земли
9,AA,BS2,BRS,Бостонские красные,Улица Конгресса
247,NL,PHI,PHI,Филадельфия &lt; &lt; Голубой Джейс &gt; &gt;,Парк Шиве
187,NL,CHN,CHC,Дети-сироты в Чикаго,Вестсайдский парк II
227,NL,LS3,LOU,Полковники Луисвиля,Парк I Eclipse
52,AL,CHA,CHW,Чикаго Уайт Сокс,Парк &lt; &lt; Саутсайд II &gt; &gt; / парк &lt; &lt; Комиски &gt; &gt;
280,NL,SLN,STL,Кардиналы Сент-Луиса,Стадион &lt; &lt; Автобус III &gt; &gt;
60,AL,CLE,CLE,Индейцы Кливленда,Прогрессивная область
159,NL,BFN,BUF,Баффало Бизонс,Олимпийский парк I
272,NL,SFN,SFG,Сан-Франциско Гиганты,Пакбелл Парк
