playerid,schoolid,yearmin,yearmax
stilero01,seoklahoma,1925,1930
klepfed01,pennst,1909,1911
schwara01,ucla,1963,1964
lusadsc01,florida,1984,1985
sullide01,holycross,1878,1879
taylodw01,arizona,1979,1981
schulle01,iowa,1932,1934
rippera01,sillinois,1952,1953
jacksro03,tuskegee,1973,1975
littlbr01,texasam,1979,1980
saviddo01,albrightpa,1927,1929
hopkiga01,ucla,1962,1964
moellda01,millikin,1906,1907
derosma01,upenn,1994,1996
gracema01,sandiegost,1985,1985
niedeto01,washst,1979,1980
gregole01,fresnost,1959,1959
blockte01,tennst,1978,1981
mcnearu01,flinternat,1979,1980
churcry01,nevada,1997,2000
reedst01,lewclarkst,1985,1988
timmeto01,sillinois,1960,1960
smithbu01,wvirginia,1900,1903
goodwpe01,california,1910,1913
swishst01,ohio,1970,1973
jacobja01,ohio,1956,1959
rossda01,florida,1998,1998
singlch01,nevada,1992,1993
lankffr01,virginia,1990,1993
floydbu01,smethodist,1936,1939
brownke02,sacstate,1985,1986
clarksu01,citadel,1913,1914
devordo01,indiana,1997,1999
vailbo01,davidson,1904,1904
jamessk01,kansas,1970,1971
kellnwa01,arizona,1949,1949
calerki01,stthomasfl,1995,1996
bradfvi01,alabama,1938,1939
fletcsc01,georgiasou,1979,1979
housecr01,memphis,1996,1999
knoedju01,miamioh,2001,2001
kisinru01,adrianmi,1895,1902
fairlro01,usc,1958,1958
halech01,arizona,1984,1987
bakerfr03,smiss,1965,1967
dobenra01,holycross,1926,1929
prolymi01,stjohns,1971,1972
roberbr01,unc,1997,1998
kellere01,upenn,1932,1934
robinke02,semost,1993,1994
mallobo01,pittsburgh,1937,1942
wistewh01,michigan,1932,1934
reichdi01,illinois,1920,1920
ageeto01,grambling,1961,1961
grebecr01,csdomhills,1983,1986
millela01,kansas,1957,1958
robinke01,clevst,1989,1989
kochba01,oregon,1942,1943
donnech01,loyolamary,1985,1987
reimeke01,calstfull,1985,1985
shafeti01,santaclara,1907,1908
brabege01,wiwhitewtr,1960,1960
howerbi01,stmarysca,1941,1942
couchmi01,usc,1979,1980
judsoho01,illinois,1944,1945
smallro02,usc,1972,1973
barrore01,gatech,1919,1922
scottda01,loyolamary,1987,1989
graffmi01,lycomingpa,1949,1949
smithpa02,fordham,1913,1920
taylofr01,ohiost,1947,1950
winteje01,hardinsimm,1916,1918
seibeku01,clemson,1974,1976
turnech01,wkentucky,1988,1991
cressja01,tulane,1994,1996
willije02,sela,1993,1996
martire01,richmond,1974,1977
fossuca01,texasam,1997,1999
tyngji01,harvard,1873,1876
scottle01,alabama,1933,1934
chadwra01,winstsalst,1981,1983
boyleja02,chicago,1910,1912
ruffcsc01,baylor,1989,1991
jorgepi01,stmarysca,1933,1937
prattde01,gatech,1906,1907
portebo03,iowa,1993,1995
strohjo01,pacific,1965,1968
robinea01,california,1956,1957
pearcjo01,arizona,1997,1999
elmorve01,alabama,1925,1926
corajo01,vandy,1983,1985
henniph01,samhouston,1965,1965
fillema01,williamsma,1930,1933
klimkro01,morehead,1963,1963
triplco01,appalst,1930,1935
fryeje01,seoklahoma,1987,1988
burnsmi01,calstla,1997,2000
comptmi01,sulrossst,1963,1965
wiggisc01,nkentucky,1995,1997
leonhda01,johnshpkns,1962,1962
keyji01,clemson,1980,1982
bernhwa01,upenn,1917,1918
lawryot01,maine,1914,1916
meltoru01,campbell,1935,1935
philled01,bostoncoll,1920,1923
vernojo01,amherstma,1909,1912
hargeal01,neillinois,1976,1977
blairwi01,morehead,1983,1986
coopecl01,txchrist,1910,1912
laneje01,ithacany,1947,1951
phillja04,sandiegost,1995,1997
duboija01,vcu,1998,2000
wilkiri01,furman,1985,1987
fergujo01,pacific,1965,1968
younted01,wake,1936,1936
doyleje02,oregonst,1975,1977
harkijo01,rutgers,1881,1882
joneste02,nalabama,1992,1993
battsma01,baylor,1941,1941
gulleto01,mscollege,1921,1922
wardpe01,lewclarkor,1956,1958
brownto03,maryland,1961,1962
heimugo01,calpoly,1974,1977
greenty01,wichitast,1989,1991
poatra01,illinois,1937,1937
stanist01,nebraska,1980,1982
murphdi01,ohio,1950,1954
allenfr01,rhodestn,1908,1911
engeljo01,mtstmarys,1911,1911
vininke01,clemson,1994,1996
schilch01,manhattan,1956,1958
foxer01,fresnost,1982,1985
powelbr01,georgia,1993,1995
royem01,stanselm,1926,1928
littlca01,austincol,1922,1923
westhi01,knoxil,1905,1905
carrch01,lehigh,1895,1898
smithtr01,txtech,1994,1995
stablge01,csdomhills,1976,1978
ratzest01,stjohns,1972,1975
dropowa01,uconn,1943,1943
rathfr02,sflorida,1992,1995
eatoncr01,floridast,1975,1976
mittera01,ursinus,1912,1915
dunnemi01,bradley,1982,1984
bloomwi01,arizonast,1997,1999
clarkji01,bucknell,1907,1911
schmuha01,wshngtonmo,1943,1943
allanan01,richmond,1981,1983
coraal01,miamifl,1994,1996
lyonsbi01,sillinois,1977,1980
salmoti01,grcanyon,1987,1989
mooresc01,vandy,1911,1917
thompma01,kentucky,1990,1992
naktepe01,duke,1934,1936
koniedo01,waynest,1970,1970
tayloch02,mtennst,1960,1961
barroto01,willamette,1986,1987
hootele01,arizona,1969,1970
burtoji01,michigan,1969,1971
lyonru01,gatech,1933,1933
milleha02,ntexas,1932,1936
ferreri01,guilfordnc,1924,1926
harribr01,willmary,1999,2001
livinsc01,texasam,1985,1988
neillmi01,villanova,1989,1991
perryji01,campbell,1955,1956
lockebo02,iowast,1958,1960
reedbo01,michigan,1965,1966
caseyse01,richmond,1993,1995
pashnla01,michiganst,1976,1978
benavfr01,txchrist,1985,1987
holmwa01,iowa,1922,1922
simpsst01,washburn,1967,1970
ainswku01,lsu,1998,1999
helfaer01,nebraska,1988,1988
harribu03,philly,1967,1968
greenan01,kentucky,1997,2000
randasa01,grambling,1979,1981
beaslch01,arizonast,1983,1984
stoddti01,ncstate,1972,1974
roberje01,washburn,1963,1965
varnedi01,dartmouth,1899,1901
asbelji01,rice,1936,1937
richach01,okstate,1995,1995
earlebi02,miamioh,1975,1978
polonjo01,arizonast,1973,1975
howarda01,cornell,1908,1911
monzoda01,buenavista,1965,1967
massago01,holycross,1954,1957
meyerbo01,toledo,1958,1959
baichgr01,valpo,1909,1914
torveke01,oralrob,1979,1981
bakertr01,washington,1910,1910
dorsebr01,indianast,1980,1983
hancory01,byu,1991,1993
kellybr01,alabama,1981,1981
cookji01,illinois,1900,1903
journji01,illinois,1997,1999
jonesst02,auburn,1986,1988
sikorbr01,wmichigan,1993,1995
grahejo01,miamifl,1987,1989
paytoja01,gatech,1992,1994
thompja02,arizona,1990,1993
thomara01,wmichigan,1930,1933
greenne01,villanova,1919,1923
carrodo01,tuftsma,1915,1916
rosenwa01,stjohns,1983,1986
acrema01,nmstate,1989,1991
beenean01,baylor,1976,1979
adkinst01,upenn,1983,1986
hershea01,wchester,1950,1953
magnami01,ucla,1986,1988
carribi02,holycross,1904,1906
brownma03,georgia,1984,1985
grahamo01,maryland,1903,1905
hoype01,lemoyne,1986,1988
sweenma01,maine,1988,1991
scheefr01,lafayette,1913,1914
rohrmda01,stthomasfl,1985,1987
baumgst01,chicago,1912,1914
kieltbo01,olemiss,1998,1998
mcilvir01,pennst,1903,1906
ayraubo01,unlv,1987,1988
romanto01,coastcar,1977,1980
willima04,unlv,1984,1986
boccajo01,santaclara,1960,1963
seitzke01,eillinois,1981,1983
couchmi01,sandiegost,1977,1977
litwhda01,bloomsburg,1935,1938
landrjo01,clemson,1946,1947
sebriji01,bucknell,1901,1901
gintema01,missst,1997,1999
rasmuer01,norleans,1972,1973
wilsomo01,scarolina,1977,1977
laryfr01,alabama,1949,1950
mercejo01,lsu,1912,1912
klingsc01,ohiost,1990,1992
balenmi01,texasam,1910,1910
robinja02,ucla,1940,1940
restedi01,santaclara,1943,1944
faireji01,erskine,1963,1964
weafeke01,duke,1934,1935
citarra01,flsouthern,1977,1979
eddych01,txchrist,1991,1992
wardtu01,salabama,1986,1986
phillan01,alabama,1997,1999
watted01,niowa,1961,1961
fletcpa01,uscaiken,1986,1988
kaufmcu01,iowast,1976,1977
clenddo01,morehouse,1953,1956
nippeme01,okstate,1957,1957
pinielo01,tampa,1962,1962
otisbi01,williamsma,1911,1912
tyronwa01,utpanam,1971,1972
shackbr01,oklahoma,1995,1998
bonneba01,ohiost,1972,1974
welchmi03,smaine,1991,1993
leibrch01,miamioh,1975,1978
morgajo01,bostoncoll,1950,1952
macphwa01,princeton,1919,1922
cruziv01,jacksonvil,1987,1989
walkuji02,arkansas,1928,1929
pucketr01,wabashin,1908,1911
mohorda01,clevst,1977,1978
johnsfr02,unc,1922,1922
napleal01,georgetown,1946,1949
myrowbr01,latech,1998,1999
harrihe01,nwestern,1932,1934
masteda01,michiganst,1987,1989
sheehja01,fordham,1912,1920
stankjo01,okstate,1949,1952
swartda01,miamioh,1987,1989
eilanda01,florida,1985,1985
bollifr01,springhill,1950,1951
lawrese01,stfrncisil,1992,1992
tomsto01,ecarolina,1971,1973
stronjo01,ucriver,1984,1984
lynchwa01,nycortland,1916,1922
aderhmo01,wake,1935,1938
murrahe01,michigan,1992,1994
derricl01,georgia,1906,1909
lewisji01,scarolina,1976,1977
lewiste01,mariettaoh,1890,1893
baileho01,grvalleyst,1977,1978
nathajo01,stonybrook,1993,1995
sheldbo01,loyolamary,1969,1972
healyfr02,amerintl,1965,1965
lefeval01,fordham,1918,1920
rossma01,texasam,1976,1979
onealra01,pbsc,0,0
howeljp01,texas,2003,2004
gillha01,holycross,1920,1923
hillmi01,gacollege,1986,1987
bakerja01,auburn,1971,1971
