hofid,yearid,votedby,ballots,needed,votes,inducted,category
aaronha01h,1982,ББВАА,415.0,312.0,406.0,Y,Игрок
adamsba01h,1937,ББВАА,201.0,151.0,8.0,Н,Игрок
adamsba01h,1938,ББВАА,262.0,197.0,11.0,Н,Игрок
adamsba01h,1939,ББВАА,274.0,206.0,11.0,Н,Игрок
adamsba01h,1942,ББВАА,233.0,175.0,11.0,Н,Игрок
adamsba01h,1945,ББВАА,247.0,186.0,7.0,Н,Игрок
adamsba01h,1946,Выдвижение кандидатур,202.0,,6.0,Н,Игрок
adamsba01h,1947,ББВАА,161.0,121.0,22.0,Н,Игрок
adamsba01h,1948,ББВАА,121.0,91.0,4.0,Н,Игрок
adamsba01h,1949,ББВАА,153.0,115.0,5.0,Н,Игрок
adamsba01h,1950,ББВАА,168.0,126.0,6.0,Н,Игрок
adamsba01h,1951,ББВАА,226.0,170.0,12.0,Н,Игрок
adamsba01h,1953,ББВАА,264.0,198.0,17.0,Н,Игрок
adamsba01h,1954,ББВАА,252.0,189.0,13.0,Н,Игрок
adamsba01h,1955,ББВАА,251.0,189.0,24.0,Н,Игрок
adamsbo03h,1966,ББВАА,302.0,227.0,1.0,Н,Игрок
adamssp01h,1958,ББВАА,266.0,200.0,1.0,Н,Игрок
ageeto01h,1979,ББВАА,432.0,324.0,0.0,Н,Игрок
akerja01h,1980,ББВАА,385.0,289.0,0.0,Н,Игрок
alexado01h,1995,ББВАА,460.0,345.0,0.0,Н,Игрок
alexape01h,1936,ББВАА,226.0,170.0,55.0,Н,Игрок
alexape01h,1937,ББВАА,201.0,151.0,125.0,Н,Игрок
alexape01h,1938,ББВАА,262.0,197.0,212.0,Y,Игрок
allenbe01h,1979,ББВАА,432.0,324.0,0.0,Н,Игрок
allendi01h,1983,ББВАА,374.0,281.0,14.0,Н,Игрок
allendi01h,1986,ББВАА,425.0,319.0,41.0,Н,Игрок
allendi01h,1987,ББВАА,413.0,310.0,55.0,Н,Игрок
allendi01h,1989,ББВАА,447.0,336.0,35.0,Н,Игрок
allendi01h,1990,ББВАА,444.0,333.0,58.0,Н,Игрок
allendi01h,1991,ББВАА,443.0,333.0,59.0,Н,Игрок
allendi01h,1992,ББВАА,430.0,323.0,69.0,Н,Игрок
allendi01h,1995,ББВАА,460.0,345.0,72.0,Н,Игрок
allenjo02h,1955,ББВАА,251.0,189.0,1.0,Н,Игрок
alleyge01h,1979,ББВАА,432.0,324.0,0.0,Н,Игрок
allisdo01h,1936,Ветераны,78.0,59.0,1.0,Н,Игрок
cummica01h,1939,Старые таймеры,,,,Y,Пионер/Исполнительный
aparilu01h,1979,ББВАА,432.0,324.0,120.0,Н,Игрок
wilsoji01h,1956,ББВАА,193.0,145.0,17.0,Н,Игрок
perkicy01h,1958,ББВАА,266.0,200.0,2.0,Н,Игрок
gowdyha01h,1937,ББВАА,201.0,151.0,2.0,Н,Игрок
slaugen01h,1968,ББВАА,283.0,213.0,129.0,Н,Игрок
lopated01h,1970,ББВАА,300.0,225.0,1.0,Н,Игрок
greenha01h,1945,ББВАА,247.0,186.0,3.0,Н,Игрок
tiantlu01h,1997,ББВАА,473.0,353.0,53.0,Н,Игрок
ehmkeho01h,1951,ББВАА,226.0,170.0,1.0,Н,Игрок
weisswa01h,2006,ББВАА,520.0,390.0,1.0,Н,Игрок
lemonbo01h,1967,ББВАА,292.0,219.0,35.0,Н,Игрок
parrila02h,2001,ББВАА,515.0,387.0,9.0,Н,Игрок
colliji01h,1939,ББВАА,274.0,206.0,72.0,Н,Игрок
bluelu01h,1954,ББВАА,252.0,189.0,1.0,Н,Игрок
reesepe01h,1977,ББВАА,383.0,288.0,163.0,Н,Игрок
robinwi01h,1939,ББВАА,274.0,206.0,46.0,Н,Менеджер
conceda01h,2007,ББВАА,545.0,409.0,74.0,Н,Игрок
santoro01h,1993,ББВАА,423.0,318.0,155.0,Н,Игрок
trammal01h,2005,ББВАА,516.0,387.0,87.0,Н,Игрок
thornan01h,1993,ББВАА,423.0,318.0,2.0,Н,Игрок
daubeja01h,1939,ББВАА,274.0,206.0,1.0,Н,Игрок
burdele01h,1983,ББВАА,374.0,281.0,43.0,Н,Игрок
eversjo01h,1938,ББВАА,262.0,197.0,91.0,Н,Игрок
bridgto01h,1962,ББВАА,160.0,120.0,1.0,Н,Игрок
minosmi01h,1994,ББВАА,456.0,342.0,45.0,Н,Игрок
hafeych01h,1954,ББВАА,252.0,189.0,2.0,Н,Игрок
mcginjo01h,1939,ББВАА,274.0,206.0,32.0,Н,Игрок
jossad01h,1937,ББВАА,201.0,151.0,11.0,Н,Игрок
hodgegi01h,1969,ББВАА,340.0,255.0,82.0,Н,Игрок
johnto01h,1995,ББВАА,460.0,345.0,98.0,Н,Игрок
flickel01h,1938,ББВАА,262.0,197.0,1.0,Н,Игрок
kleinch01h,1955,ББВАА,251.0,189.0,25.0,Н,Игрок
brownmo01h,1942,ББВАА,233.0,175.0,63.0,Н,Игрок
bushdo01h,1946,Выдвижение кандидатур,202.0,,2.0,Н,Игрок
bagweje01h,2011,ББВАА,581.0,436.0,242.0,Н,Игрок
marisro01h,1982,ББВАА,415.0,312.0,69.0,Н,Игрок
