orderid,productid,unitprice,quantity,discount
10859,24,4.5,40,0.0
10539,33,2.5,15,0.0
10341,33,2.0,8,0.0
10479,59,44.0,60,0.0
10543,23,9.0,70,0.0
10633,12,38.0,36,0.0
10553,22,21.0,24,0.0
10612,60,34.0,40,0.0
10859,54,7.45,35,0.0
10722,31,12.5,50,0.0
10249,14,18.6,9,0.0
11021,51,53.0,44,0.0
10418,2,15.2,60,0.0
10309,6,20.0,30,0.0
10300,66,13.6,30,0.0
10439,12,30.4,15,0.0
10816,38,263.5,30,0.0
10498,40,18.4,5,0.0
10936,36,19.0,30,0.0
10842,11,21.0,15,0.0
10859,64,33.25,30,0.0
10467,24,3.6,28,0.0
11029,56,38.0,20,0.0
10304,59,44.0,10,0.0
10953,31,12.5,50,0.0
10720,35,18.0,21,0.0
10866,30,25.89,40,0.0
10706,59,55.0,8,0.0
10756,36,19.0,20,0.0
10442,54,5.9,80,0.0
11001,7,30.0,60,0.0
10872,62,49.3,20,0.0
10652,30,25.89,2,0.0
10566,76,18.0,10,0.0
10945,31,12.5,10,0.0
11014,41,9.65,28,0.0
10918,60,34.0,25,0.0
10310,16,13.9,10,0.0
11060,77,13.0,10,0.0
10978,44,19.45,6,0.0
10747,69,36.0,30,0.0
10311,42,11.2,6,0.0
10698,11,21.0,15,0.0
10597,65,21.05,12,0.0
11039,49,20.0,60,0.0
10841,59,55.0,50,0.0
10517,70,15.0,6,0.0
10524,10,31.0,2,0.0
10518,44,19.45,9,0.0
10303,40,14.7,40,0.0
10459,72,27.8,40,0.0
10486,51,42.4,25,0.0
10466,11,16.8,10,0.0
10576,44,19.45,21,0.0
10477,21,8.0,21,0.0
10610,36,19.0,21,0.0
10390,35,14.4,40,0.0
10798,72,34.8,10,0.0
10449,10,24.8,14,0.0
11024,33,2.5,30,0.0
10565,64,33.25,18,0.0
10729,21,10.0,30,0.0
10716,21,10.0,5,0.0
10268,72,27.8,4,0.0
11003,40,18.4,10,0.0
10837,76,18.0,21,0.0
10624,29,123.79,6,0.0
10468,43,36.8,15,0.0
10700,34,14.0,12,0.0
10263,24,3.6,28,0.0
11016,31,12.5,15,0.0
10884,56,38.0,21,0.0
11024,71,21.5,50,0.0
10862,11,21.0,25,0.0
11063,40,18.4,40,0.0
11072,41,9.65,40,0.0
10621,19,9.2,5,0.0
11005,1,18.0,2,0.0
10990,34,14.0,60,0.0
10334,68,10.0,10,0.0
10731,21,10.0,40,0.0
10783,31,12.5,10,0.0
10930,27,43.9,25,0.0
10273,40,14.7,60,0.0
11058,60,34.0,21,0.0
10726,4,22.0,25,0.0
10811,23,9.0,18,0.0
10831,38,263.5,8,0.0
10370,1,14.4,15,0.0
10536,31,12.5,20,0.0
10337,23,7.2,40,0.0
10942,49,20.0,28,0.0
10294,75,6.2,6,0.0
10898,13,6.0,5,0.0
10400,49,16.0,30,0.0
11007,8,40.0,30,0.0
10503,65,21.05,20,0.0
10822,62,49.3,3,0.0
10305,18,50.0,25,0.0
10329,56,30.4,12,0.0
10855,16,17.45,50,0.0
10396,71,17.2,60,0.0
10650,54,7.45,30,0.0
10510,75,7.75,36,0.0
10633,13,6.0,13,0.0
10517,59,55.0,4,0.0
10693,69,36.0,30,0.0
10578,35,18.0,20,0.0
10905,1,18.0,20,0.0
10818,41,9.65,20,0.0
10393,26,24.9,70,0.0
10761,25,14.0,35,0.0
10355,57,15.6,25,0.0
10626,53,32.8,12,0.0
10935,1,18.0,21,0.0
10298,62,39.4,15,0.0
10847,1,18.0,80,0.0
10984,24,4.5,20,0.0
10297,72,27.8,20,0.0
10258,2,15.2,50,0.0
10259,21,8.0,10,0.0
10533,72,34.8,24,0.0
10374,58,10.6,15,0.0
10466,46,9.6,5,0.0
10644,18,62.5,4,0.0
11077,55,24.0,2,0.0
10259,37,20.8,1,0.0
11068,43,46.0,36,0.0
10800,51,53.0,10,0.0
10729,50,16.25,40,0.0
10349,54,5.9,24,0.0
10375,54,5.9,10,0.0
10772,29,123.79,18,0.0
10836,64,33.25,30,0.0
10347,75,6.2,6,0.0
10841,10,31.0,16,0.0
10306,54,5.9,5,0.0
10377,28,36.4,20,0.0
10462,13,4.8,1,0.0
10530,76,18.0,50,0.0
10728,60,34.0,15,0.0
11064,53,32.8,25,0.0
10762,56,38.0,60,0.0
10709,60,34.0,10,0.0
10808,76,18.0,50,0.0
10705,32,32.0,4,0.0
10837,40,18.4,25,0.0
10784,36,19.0,30,0.0
10618,68,12.5,15,0.0
10842,70,15.0,12,0.0
10955,75,7.75,12,0.0
10756,68,12.5,6,0.0
10757,59,55.0,7,0.0
10408,37,20.8,10,0.0
10587,26,31.23,6,0.0
10583,60,34.0,24,0.0
10252,60,27.2,40,0.0
10701,76,18.0,35,0.0
10774,66,17.0,50,0.0
10916,32,32.0,6,0.0
10272,31,10.0,40,0.0
10267,59,44.0,70,0.0
10448,26,24.9,6,0.0
10665,51,53.0,20,0.0
10379,41,7.7,8,0.0
10781,54,7.45,3,0.0
10802,62,49.3,5,0.0
11073,24,4.5,20,0.0
10373,71,17.2,50,0.0
10825,53,32.8,20,0.0
10275,24,3.6,12,0.0
10476,70,12.0,12,0.0
10590,1,18.0,20,0.0
10418,61,22.8,16,0.0
10796,69,36.0,24,0.0
10573,53,32.8,25,0.0
10532,30,25.89,15,0.0
10453,70,12.0,25,0.0
10869,11,21.0,10,0.0
10673,42,14.0,6,0.0
10519,60,34.0,10,0.0
10395,53,26.2,70,0.0
10672,71,21.5,12,0.0
10790,7,30.0,3,0.0
