territoryid,territorydescription,regionid
94105,San Francisco                                     ,2
55439,Minneapolis                                       ,3
2116,Boston                                            ,1
27403,Greensboro                                        ,1
45839,Findlay                                           ,3
11747,Mellvile                                          ,1
60179,Hoffman Estates                                   ,2
98004,Bellevue                                          ,2
90405,Santa Monica                                      ,2
3049,Hollis                                            ,3
1833,Georgetow                                         ,1
19713,Neward                                            ,1
75234,Dallas                                            ,4
53404,Racine                                            ,3
19428,Philadelphia                                      ,3
2903,Providence                                        ,1
27511,Cary                                              ,1
20852,Rockville                                         ,1
1581,Westboro                                          ,1
55113,Roseville                                         ,3
32859,Orlando                                           ,4
80909,Colorado Springs                                  ,2
30346,Atlanta                                           ,4
60601,Chicago                                           ,2
95054,Santa Clara                                       ,2
29202,Columbia                                          ,4
78759,Austin                                            ,4
2184,Braintree                                         ,1
8837,Edison                                            ,1
44122,Beachwood                                         ,3
40222,Louisville                                        ,1
10038,New York                                          ,1
6897,Wilton                                            ,1
10019,New York                                          ,1
1730,Bedford                                           ,1
98052,Redmond                                           ,2
7960,Morristown                                        ,1
94025,Menlo Park                                        ,2
85251,Scottsdale                                        ,2
95060,Santa Cruz                                        ,2
14450,Fairport                                          ,1
2139,Cambridge                                         ,1
31406,Savannah                                          ,4
33607,Tampa                                             ,4
80202,Denver                                            ,2
85014,Phoenix                                           ,2
48084,Troy                                              ,3
3801,Portsmouth                                        ,3
72716,Bentonville                                       ,4
48075,Southfield                                        ,3
98104,Seattle                                           ,2
95008,Campbell                                          ,2
48304,Bloomfield Hills                                  ,3
