territoryid,territorydescription,regionid
14450,Фейрпорт,1
48075,Саутфилд,3
90405,Санта-Моника,2
27403,Гринсборо,1
94025,Менло-Парк,2
95060,Санта-Крус,2
45839,Файндлей,3
80909,Колорадо-Спрингс,2
3049,Холлис,3
80202,Денвер,2
48304,Блумфилд-Хиллс,3
19713,Ньюард,1
85014,Финикс,2
94105,Сан-Франциско,2
2903,Провиденс,1
98052,Редмонд,2
6897,Уилтон,1
60179,Хоффман-Эстетс,2
2184,Брайтон-он-Харт,1
29202,Колумбия,4
75234,Даллас,4
11747,Мелвилл,1
53404,Рэйн,3
55113,Розевилл,3
2116,Бостон,1
98004,Белвью,2
40222,Луисвилл,1
44122,Бичвуд,3
7960,Морристон,1
20852,Роквилл,1
2139,Кембридж,1
1833,Джорджтаун,1
32859,Орландо,4
10019,Нью-Йорк,1
10038,Нью-Йорк,1
33607,Тампа,4
72716,Бентонвилл,4
60601,Чикаго,2
27511,Кэри,1
85251,Скотсдейл,2
98104,Сиэтл,2
30346,Атланта,4
31406,Саванна,4
1730,Бедфорд,1
1581,Западный Бриджвотер,1
8837,Эдисон,1
19428,Филадельфия,3
78759,Остин,4
48084,Трой,3
55439,Миннеаполис,3
3801,Портсмут,3
95008,Кэмпбелл,2
95054,Сан-Клара,2
