orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10400,EASTC,1,1997-01-01T00:00:00,1997-01-29T00:00:00,1997-01-1600:00:00,3,83.93,Восточная связь,35 Король Георг,Лондон,,WX3 6FW,Соединенное Королевство
10401,RATTC,1,1997-01-01T00:00:00,1997-01-29T00:00:00,1997-01-10T00:00:00,1,12.51,Рэттлеснайк Каньон Гроучери,2817 Milton Dr.,Альбукерке,НМ,87110,США
10402,ERNSH,8,1997-01-02T00:00,1997-02-13-T00:00:00,1997-01-10T00:00:00,2,67.88,Эрнст Хандель,Кирчгассе 6,Грац,,8010,Австрия
10403,ERNSH,4,1997-01-03T00:00:00,1997-01-31T00:00:00,1997-01-09T00:00:00,3,73.79,Эрнст Хандель,Кирчгассе 6,Грац,,8010,Австрия
10404,MAGAA,2,1997-01-03T00:00:00,1997-01-31T00:00:00,1997-01-08T00:00:00,1,155.97,Магазини Алиментари Риунти,Виа Людовико Иль Моро 22,Бергамо,,24100,Италия
10405,LINOD,1,1997-01-06T00:00:00,1997-02-03T00:00:00,1997-01-22T00:00:00,1,34.82,LINO-Delicates,Аве. 5 де Майо Порламар,И. де Маргарита,Нуэва Эспарта,4980,Венесуэла
10406,QUEEN,7,1997-01-070000:00,1997-02-18T00:00:00,1997-01-13T00:00:00,1,108.04,Королева Козинья,"Alameda dos Canrios, 891",Сан-Паулу,СП,05487-020,Бразилия
10407,OTTIK,2,1997-01-070000:00,1997-02-04T00:00:00,1997-01-30T00:00:00,2,91.48,Оттилисы Кселаден,Mehrheimerstr. 369,Клн,,50739,Германия
10408,FOLIG,8,1997-01-08T00:00:00,1997-02-05T00:00:00,1997-01-14T00:00:00,1,11.26,Фоли гурманды,"184, chausse de Tournai",Лилль,,59000,Франция
10409,OCEAN,3,1997-01-09T00:00:00,1997-02-06T00:00:00,1997-01-14T00:00:00,1,29.83,Окано Атлинтико Лтда.,Инг. Густаво Монкада 8585 Писо 20-А,Буэнос-Айрес,,1010,Аргентина
10410,BOTTM,3,1997-01-10T00:00:00,1997-02-07T00:00:00,1997-01-1500:00:00,3,2.4,Рынки дотла,23 Цавассен Блвд.,Цавассен,БК,T2F 8M4,Канада
10411,BOTTM,9,1997-01-10T00:00:00,1997-02-07T00:00:00,1997-01-21T00:00:00,3,23.65,Рынки дотла,23 Цавассен Блвд.,Цавассен,БК,T2F 8M4,Канада
10412,WARTH,8,1997-01-13T00:00:00,1997-02-10T00:00:00,1997-01-1500:00:00,2,3.77,Вартиан Херкку,Торикату 38,Оулу,,90110,Германия
10413,LAMAI,3,1997-01-14T00:00:00,1997-02-11-T00:00:00,1997-01-1600:00:00,2,95.66,Мейсон д-Ази,1 ру-эль-эс-Лоррейн,Тулуза,,31000,Франция
10414,FAMIA,2,1997-01-14T00:00:00,1997-02-11-T00:00:00,1997-01-17T00:00:00,3,21.48,Фамилия Аркибалдо,"Руа Орс, 92",Сан-Паулу,СП,05442-030,Бразилия
10415,HUNGC,3,1997-01-1500:00:00,1997-02-12-T00:00:00,1997-01-24T00:00:00,1,0.2,Магазин импорта голодного койота,Городской центр Плаза 516 Main St.,Элгин,ИЛИ,97827,США
10416,WARTH,8,1997-01-1600:00:00,1997-02-13-T00:00:00,1997-01-27T00:00:00,3,22.72,Вартиан Херкку,Торикату 38,Оулу,,90110,Германия
10417,SIMOB,4,1997-01-1600:00:00,1997-02-13-T00:00:00,1997-01-28T00:00,3,70.29,Саймонс Бистро,Винблит 34,Кобенхавн,,1734,Дания
10418,QUICK,4,1997-01-17T00:00:00,1997-02-14T00:00:00,1997-01-24T00:00:00,1,17.55,Стоп-стоп,Таучерстра 10,Кновальде,,1307,Германия
10419,RICSU,4,1997-01-2000:00:00,1997-02-17T00:00:00,1997-01-30T00:00:00,2,137.35,Ричтер Супермаркет,Старенвег 5,Джентльмены,,1204,Швейцария
10420,WELLI,3,1997-01-21T00:00:00,1997-02-18T00:00:00,1997-01-27T00:00:00,1,44.12,Веллингтон импортдора,"Руа-ду-Меркадо, 12",Resende,СП,08737-363,Бразилия
