supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Купер,Менеджер по закупкам,49 Гилберт-стрит.,Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Новий Орлеан Каджунские изыски,Шелли Берк,Администратор заказа,Пошта/Почтовый ящик: 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#CAJUN.HTML#
3,Домашний дом бабушки Келли,Регина Мёрфи,Продавец,707 Оксфорд-роуд.,Анампор,МИ,48104,США,(313) 555-5735,(313) 555-3349,
4,Токио-трейдеры,Йоси Нагасе,Менеджер по маркетингу,"9-8 Секимаи
Мусаси-но-си",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив сыров ""Лас Кабрас""",Антонио дель Вале Сааведра,Администратор экспорта,"Улица Розала, 4",Овьедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Маюми Оно,Маркетинг-представитель,"92 Сетсуко
Чё-ку",Осака,,545,Япония,(06) 431-7877,,Майуми (в Интернете)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#
7,"Павлова, ООओ",Иан Девлинг,Менеджер по маркетингу,"74 ул. Розы
Муни-Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-23-43,(03) 444-6588,
8,"Специальные печенья, Лтд.",Питер Уилсон,Продавец,29 Корольовых путей,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,PB Кнокеберд AB,Ларс Петерсон,Продажи Агент,"Калоадагатан, 13",Гётеборг,,С-345/67,Швеция,031-987 65 43,031-987 65 91,
10,Refрескос Американас ЛТД,Карлос Диас,Менеджер по маркетингу,"Аvenue Америки, 12890",Сан-Паулу,,5442,Бразилия,(11) 555-4640,,
11,Хели Сварен ГмбХ & Ко. KG,Петра Винклер,Менеджер по продажам,Тиргартенстрасе 5,Берлин,,10785,Германия,(010) 998-45-10,,
12,Плюстер Естественное Разделение Рынок С/А,Мартин Бейн,Международный менеджер по маркетингу,"Богеналлее, дом 51",Франкфурт,,60439,Германия,(069) 99-27-55,,Пользователь (в Интернете)
13,Северо-Восточная Рыбная Компания,Свен Петерсен,Координатор внешних рынков,Фрахмереддер 112а,Куксхвен,,27478,Германия,(047-21) 87-13,(047-21) 87-14,
14,Формаджи Фортини С.р.л.,Элио Росси,Продавец,"Вале Данте, 75",Равенна,,48100,Италия,(0544) 603-23,(0544) 606-03,#Формаггी.html#
15,Норские Мейериер,Беате Вилеид,Менеджер по маркетингу,Хатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953010,,
16,Бигфут Бревери,Чэрл Сэйлор,Региональный представитель счёта,Аvenue 3400 - 8-й,Кидать,А,97101,США,(503) 555-9931,,
17,Швечная Съефда ОБ,Майкл Бьёрн,Продавец,Броваллавген 231,Стокгольм,,S-123/45,Швеция,08-123 45 67,,
18,"Уйдите, радостные церковники!",Гайлин Нодьер,Менеджер по продажам,"Улица Французских Бурденеров, 203",Париж,,75004,Франция,(1) 03.83.00.68,(1) 03.83.00.62,
19,Рыбная консервная фабрика Новой Англии,Робб Мерчант,Дистрибьюторский агент по счетам,"Отдел обработки заказов
2100 بول Ревир Блюз.",Бостон,М,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Сэракун Лоу, № #402",Сингапур,,0512,Сингапур,555-8787,,
21,Лингбысильд,Нильс Петерсен,Менеджер по продажам,"Лингбисилд
Рыбаков бак 10",Люнге,,2800,Дания,43844108,43844115,
22,Занеский Снекофицериус,Дирк Люхте,Менеджер по бухгалтерскому учету,"Продажа
Райнвег 22",Заандам,,9999 ЗЗ,Нидерланды,(12345) 1212,(12345) 12-10,
23,"Компания ""Каркки Ою""",Анна Хейкоксон,Продукт-менеджер,"улица Валтакату, дом 12",Лаппеэнранта,,53120,Финляндия,(953) 109-56-65,,
24,"Добрый день, друг!",Венди Маккензи,Продавец,"170 Принц-Эдвард-Пэрладе
Хантерс-Хилл",Сидней,НЮ,2042,Австралия,(02) 555-5914,(02) 555-4873,"Добрый день, друг! (на Всемирной паутине)"
25,Моя дом,Жан-Гийом Лузон,Менеджер по маркетингу,"Улица Святого Лорента, 2960",Монреаль,Квебек,Х1ХХ1,Канада,(514) 555-9022,,
26,Паста Баттини С.р.л.,Гиованни Джудази,Администратор заказа,"Вия де Желсоминати, 153",Салерно,,84100,Италия,(089) 654-7665,(089) 65-47-667,
27,Узороты Новые,Марье Деламар,Менеджер по продажам,"22, улица Х. Вьорон",Монсо,,71300,Франция,85.57.00.07,,
28,Добрый день! Как я могу вам помочь?,Элиан Ноц,Продавец,"Бат. Б
3, улица Альп",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты драблей,Чантал Гюле,Менеджер по бухгалтерскому учету,"Улица Охотника, 148",Сент-Иاكинто,Квебек,Й2С 7С8,Канада,(514) 555-2955,(514) 555-2921,
