title_id,lorange,hirange,royalty
PC1035,3001,4000,14
BU2075,5001,7000,16
BU1111,24001,28000,22
MC2222,20001,50000,20
MC3021,4001,6000,16
BU1032,5001,50000,12
BU2075,10001,12000,20
PC1035,2001,3000,12
PS7777,5001,50000,12
MC3021,6001,8000,18
TC4203,16001,24000,16
BU1111,20001,24000,20
PS1372,30001,40000,16
TC4203,2001,8000,12
MC2222,12001,20000,18
BU1111,0,4000,10
PS3333,10001,15000,14
BU7832,20001,25000,18
BU2075,7001,10000,18
BU7832,25001,30000,20
BU2075,0,1000,10
MC2222,0,2000,10
PC8888,10001,15000,14
PS7777,0,5000,10
BU2075,3001,5000,14
TC7777,15001,50000,14
MC2222,2001,4000,12
MC3021,0,1000,10
TC3218,6001,8000,16
BU1111,4001,8000,12
TC3218,2001,4000,12
TC7777,5001,15000,12
BU2075,14001,50000,24
PS1372,20001,30000,14
TC4203,0,2000,10
PC8888,15001,50000,16
MC3021,10001,12000,22
PS2106,2001,5000,12
TC4203,24001,32000,18
MC3021,12001,50000,24
PS2091,5001,10000,14
PS2106,0,2000,10
PC1035,10001,50000,18
BU7832,30001,35000,22
BU1032,0,5000,10
