File,Row,Column,Length_Orig,Length_Trans,Diff_%,Original,Translated
titles.csv,13,notes,81,1918,2267.9,Detailed instructions on how to make authentic Jap...,"Инструкции:

1. Соберите ингредиенты: рис для суши..."
titles.csv,14,title,13,1906,14561.5,Net Etiquette,Нет-этикет (англ. net etiquette) — это набор непис...
sales.csv,2,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
sales.csv,5,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
sales.csv,7,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
sales.csv,8,ord_num,6,32,433.3,QQ2299,Текущий время в Москве: 12:37:54
sales.csv,8,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
sales.csv,12,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
sales.csv,14,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
sales.csv,15,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
sales.csv,16,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
sales.csv,19,payterms,6,21,250.0,Net 60,Срок оплаты - 60 дней
pub_info.csv,5,logo,9,109,1111.1,GIF89a(,Ваше сообщение содержит непонятный или поврежденны...
pub_info.csv,5,pr_info,135,901,567.4,"This is sample text data for Scootney Books, publi...","Текст от Scootney Books:

""Scootney Books — это из..."
