title_id,title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate
BU1111,Программирование на кухне: скрытые балансы,бизнес,1389,11.95,5000.0,10.0,3876.0,Советы по эффективному использованию электронных ресурсов.,1991-06-09 00:00:00
MC3026,Психология компьютерного кулинария,Неподтверждённый,877,,,,,,07 ноября 2014 г. 10:39
PC9999,Этикет интернета,востребованный компонент,1389,,,,,Нужно ли читать это для компьютерной конференции?,07 ноября 2014 г. 10:39
TC7777,"Суши, кто есть кто?",трад-кук,877,14.99,8000.0,10.0,4095.0,Детальные инструкции по приготовлению настоящего японского суши в вашем свободное время.,1991-06-12 00:00:00
PS3333,Продолжительная лишенность данных: четыре тематических исследования,психология,736,19.99,2000.0,10.0,4072.0,"Что происходит, когда данные исчерпаны? Поиск оценок последствий дефицита информации.",1991-06-12 00:00:00
BU7832,Прямой разговор о компьютерах,бизнес,1389,19.99,5000.0,10.0,4095.0,"Аннотированный анализ того, что компьютеры могут сделать для вас: руководство для критического пользователя без излишеств.",1991-06-22 00:00:00
MC2222,Кулинарные изыски Silicon Valley,Мод_кук,877,19.99,0.0,12.0,2032.0,"Любимые рецепты быстрых, простых и элегантных блюд.",1991-06-09 00:00:00
BU1032,Гид по Базам Данных для Занятого Эксперт-менеджера,бизнес,1389,19.99,5000.0,10.0,4095.0,Обзор доступных систем баз данных с упором на распространенные бизнес-приложения. Иллюстрированный.,1991-06-12 00:00:00
BU2075,Вы можете бороться со стрессом от компьютера!,бизнес,736,2.99,10125.0,24.0,18722.0,Последние медицинские и психологические техники для работы с электронным офисом. Простые в понимании объяснения.,30.06.1991 г.
PS2091,Гнев — враг?,психология,736,10.95,2275.0,12.0,2045.0,Качественно исследованный анализ воздействия сильных эмоций на организм. В работе представлены метаболические графики.,1991-06-15 00:00:00
TC4203,Пятьдесят лет в кухнях Букингемского дворца,трад-кук,877,11.95,4000.0,14.0,15096.0,"Беседы повара, любимого повара королевы, о жизни среди английской королевской семьи. Рецепты, техники, нежные истории.",1991-06-12 00:00:00
MC3021,Гурмет-микировка,Мод_кук,877,2.99,15000.0,24.0,22246.0,Традиционные французские рецепты гастрономии с адаптацией для современного микроволнового приготовления.,1991-06-18 00:00:00
PC8888,Тайны Силиконовой долины,востребованный компонент,1389,20.0,8000.0,10.0,4095.0,"Отчет о мукраке, посвященный ведущим мировым производителям компьютерного оборудования и программного обеспечения.",1994-06-12 00:00:00
PS7777,Эмоциональная безопасность: новый алгоритм,психология,736,7.99,4000.0,10.0,3336.0,Защита себя и своих близких от излишнего эмоционального стресса в современном мире. Использование компьютера и питательных добавок подчеркивается.,1991-06-12 00:00:00
TC3218,"Лук, чеснок и зеленый лук: секреты приготовления блюд средиземноморской кухни",трад-кук,877,20.95,7000.0,10.0,375.0,"Обилствованный цветом, этот прекрасный подарочный труд подойдет любителю кулинарии.",1991-10-21 00:00:00
PS1372,Компьютерно-фобические и не-компьютерно-фобические личности: вариации поведения,психология,877,21.59,7000.0,10.0,375.0,"Эта книга обязательна для специалиста: в ней рассматривается различие между теми, кто ненавидит и боится компьютеры, и теми, кто нет.",1991-10-21 00:00:00
PS2106,Жизнь без страха,психология,736,7.0,6000.0,10.0,111.0,"Новый упражнения, медитации и питательные приемы, которые могут снизить шок от ежедневных взаимодействий. Популярная аудитория. Включен образец меню, видео с упражнениями доступно отдельно.",1991-10-05 00:00:00
PC1035,Но удобно ли это для пользователя?,востребованный компонент,1389,22.95,7000.0,16.0,8780.0,"Опрос программного обеспечения для начинающих пользователей, с упором на «дружелюбность» каждого из них.",30.06.1991 г.
