rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
702,2005-05-29T02:27:30,2556,475,2005-05-30T01:52:30,2,2006-02-15T20:30:53
1677,2005-06-16T11:07:11,240,191,2005-06-23T10:50:11,1,2006-02-15T20:30:53
1792,2005-06-16T20:04:50,3800,351,2005-06-26T00:57:50,1,2006-02-15T20:30:53
3329,2005-06-21T09:20:31,3506,335,2005-06-22T10:00:31,2,2006-02-15T20:30:53
3886,2005-07-06T18:44:24,2368,326,2005-07-08T15:11:24,1,2006-02-15T20:30:53
3921,2005-07-06T20:29:48,949,531,2005-07-14T01:44:48,1,2006-02-15T20:30:53
4599,2005-07-08T06:48:26,2098,356,2005-07-11T07:06:26,1,2006-02-15T20:30:53
4807,2005-07-08T17:01:48,4511,348,2005-07-16T22:33:48,2,2006-02-15T20:30:53
5161,2005-07-09T08:57:56,2617,284,2005-07-18T07:41:56,2,2006-02-15T20:30:53
5583,2005-07-10T04:08:48,1242,391,2005-07-19T07:59:48,1,2006-02-15T20:30:53
5740,2005-07-10T11:51:58,2147,325,2005-07-12T07:53:58,2,2006-02-15T20:30:53
7164,2005-07-27T07:36:34,527,284,2005/08-04T05:05:34,2,2006-02-15T20:30:53
7485,2005-07-27T19:29:09,631,362,2005-07-30T16:28:09,1,2006-02-15T20:30:53
7721,2005-07-28T04:42:58,2228,83,2005-07-31T07:52:58,1,2006-02-15T20:30:53
8312,2005 - 2007 - 29T03:32:38,3996,143,2005-07-31T02:12:38,1,2006-02-15T20:30:53
9045,2005-07-30T06:36:57,4521,46,2005/08-08T01:51:57,1,2006-02-15T20:30:53
9338,2005-07-30T18:03:13,1482,333,2005/08-08T23:57:13,2,2006-02-15T20:30:53
9575,2005-07-31T02:51:53,3971,193,2005/08-03T20:54:53,2,2006-02-15T20:30:53
11271,2005-08-02T14:18:22,4323,93,2005/08-07T09:35:22,2,2006-02-15T20:30:53
11276,2005-08-02T14:28:46,4226,190,2005-08-04T14:00:46,1,2006-02-15T20:30:53
11362,2005-08-02T17:47:25,2628,331,2005/08-07T20:14:25,1,2006-02-15T20:30:53
11459,2005-08-02T21:25:25,3730,392,2005/08-04T19:57:25,2,2006-02-15T20:30:53
11862,2005/08-17T13:54:53,2604,529,2005/08-19T10:48:53,1,2006-02-15T20:30:53
13360,2005/08-19T21:05:11,3396,327,2005-08-24T16:05:11,2,2006-02-15T20:30:53
13692,2005-08-20T09:07:52,1928,65,2005-08-21T05:17:52,1,2006-02-15T20:30:53
13724,2005-08-20T10:07:28,200,80,2005-08-24T07:47:28,2,2006-02-15T20:30:53
13824,2005-08-20T13:43:12,2845,413,2005-08-22T17:26:12,1,2006-02-15T20:30:53
13949,2005/08-20T17:55:13,1518,34,2005-08-22T20:49:13,1,2006-02-15T20:30:53
