category_id,name,last_update
1,Действие,2006-02-15 03:46:27
2,Анимация,2006-02-15 03:46:27
3,Дети,2006-02-15 03:46:27
4,Классики,2006-02-15 03:46:27
5,Юмор,2006-02-15 03:46:27
6,Документационный фильм,2006-02-15 03:46:27
7,Дра́ма,2006-02-15 03:46:27
8,Семья,2006-02-15 03:46:27
9,Иностранный,2006-02-15 03:46:27
10,Игры,2006-02-15 03:46:27
11,Жах,2006-02-15 03:46:27
12,Музыка,2006-02-15 03:46:27
13,Новый,2006-02-15 03:46:27
14,Научно-фантастический,2006-02-15 03:46:27
15,Спорт,2006-02-15 03:46:27
16,Путешествия,2006-02-15 03:46:27
