film_id,category_id,last_update
1,6,"15 февраля 2006 года, среда"
19,1,"15 февраля 2006 года, среда"
21,1,"15 февраля 2006 года, среда"
56,1,"15 февраля 2006 года, среда"
67,1,"15 февраля 2006 года, среда"
97,1,"15 февраля 2006 года, среда"
111,1,"15 февраля 2006 года, среда"
126,1,"15 февраля 2006 года, среда"
130,1,"15 февраля 2006 года, среда"
162,1,"15 февраля 2006 года, среда"
210,1,"15 февраля 2006 года, среда"
212,1,"15 февраля 2006 года, среда"
252,1,"15 февраля 2006 года, среда"
253,1,"15 февраля 2006 года, среда"
271,1,"15 февраля 2006 года, среда"
287,1,"15 февраля 2006 года, среда"
292,1,"15 февраля 2006 года, среда"
303,1,"15 февраля 2006 года, среда"
327,1,"15 февраля 2006 года, среда"
329,1,"15 февраля 2006 года, среда"
360,1,"15 февраля 2006 года, среда"
375,1,"15 февраля 2006 года, среда"
395,1,"15 февраля 2006 года, среда"
417,1,"15 февраля 2006 года, среда"
501,1,"15 февраля 2006 года, среда"
530,1,"15 февраля 2006 года, среда"
574,1,"15 февраля 2006 года, среда"
579,1,"15 февраля 2006 года, среда"
586,1,"15 февраля 2006 года, среда"
659,1,"15 февраля 2006 года, среда"
664,1,"15 февраля 2006 года, среда"
717,1,"15 февраля 2006 года, среда"
732,1,"15 февраля 2006 года, среда"
748,1,"15 февраля 2006 года, среда"
793,1,"15 февраля 2006 года, среда"
