film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
19,АМАДЕУС ХОЛИЯ,"Эмоциональная демонстрация пионера и технического писателя, который должен сражаться с человеком в Балуне",2006,1,,6,0.99,113,20.99,ГУ,"Комментаторы, Изъятые Сцены, За Сценами",2006-02-15T04:03:42
21,АМЕРИКАНСКИЙ ЦЕРКУС,"Разумная драма девушки и астронавта, которая должна встретиться с администратором базы данных в акульем танке",2006,1,,3,4.99,129,17.99,Р,"Комментаторы, За сценами",2006-02-15T04:03:42
56,ЧЕЛОВЕЧЕСКИЙ БАРЕФОТ,"Беспокойная история о кошке и студентке, которая должна исцелить девушку в заброшенном парке развлечений",2006,1,,6,2.99,129,15.99,G,"Прицепы, комментаторы",2006-02-15T04:03:42
67,БЕРЕТСКИЙ АГЕНТ,"Таут Сага крокодил и мальчик, который должен преодолеть технического писателя в Древнем Китае",2006,1,,5,2.99,77,24.99,ГУ-13,Сцены удалены,2006-02-15T04:03:42
97,ТОРМОЗНЫЙ ИНТРОГОВ,"Эпическая история о роботе и обезьяне, которая должна искоренять человека в Новом Орлеане",2006,1,,7,0.99,56,24.99,G,"Прицепы, комментаторы, за сценами",2006-02-15T04:03:42
111,КАДИССКИЙ ДЖЕДИК,"Побуждающий благоговейный порыв женщины и безумца, который должен сражаться с роботом в Советской Грузии",2006,1,,3,0.99,52,17.99,НС-17,"Комментаторы, Исключенные сцены",2006-02-15T04:03:42
126,СПЕЦИАЛИСТЫ ENCINO,"Знающий ярн акулы и пастор, который должен встретить мальчика в монастыре",2006,1,,3,4.99,179,16.99,G,Прицепы,2006-02-15T04:03:42
130,КОЛИЧЕСТВО СЕЛЬСКОХОЗЯЙСТВЕННОСТИ,"Удивительный документальный фильм о секретном агенте и астронавте, который должен искоренять охотника в акульем танке",2006,1,,7,0.99,110,24.99,ГУ-13,"Удалённые сцены, За сценами",2006-02-15T04:03:42
162,УСТРОЙСТВА ДЛЯ ЗАГРЯЗНЯЮЩИХ ВЕЩЕСТВ,"Табличка о машине и пионере, который должен побороть сумо-рестлер в заброшенном доме веселья",2006,1,,4,2.99,95,13.99,Р,"Трейлеры, Изъятые сцены, За сценами",2006-02-15T04:03:42
210,ДАРКО ДОРАДО,"Потрясающее воспоминание о фрисби и муже, который должен вернуть собаку в Новом Орлеане",2006,1,,3,4.99,130,13.99,НС-17,"Прицепы, комментаторы, Изъятые сцены, За сценами",2006-02-15T04:03:42
212,ДАРН ФОРРЕСТЕР,"Ужасная история о акуле и исследователь, который должен украсть технического писателя в лодке",2006,1,,7,4.99,185,14.99,G,Сцены удалены,2006-02-15T04:03:42
252,СВОБОДНЫЙ ПИККУП,"Эпический дисплей автомобиля и композитора, который должен превзойти судебно-психиатра в Мексиканском заливе",2006,1,,6,2.99,135,18.99,ГУ,"Прицепы, комментаторы, за сценами",2006-02-15T04:03:42
253,КОММЕНТАРИИ ДРИФТЕРА,"Эпическое воспоминание о женщине и белке, которая должна открыть мужа в лодке",2006,1,,5,4.99,61,18.99,ГУ-13,"Прицепы, за сценами",2006-02-15T04:03:42
271,Легкий гладиатор,"Ужасная история обезьяны и девушки, которая должна преодолеть кондитерского шеф-повара в древней Индии",2006,1,,5,4.99,148,12.99,G,"Прицепы, комментаторы, за сценами",2006-02-15T04:03:42
287,САТИФИКАЦИЯ ВСТУПЛЕНИЯ,"Разумная панорама охотника и учителя, которые должны дотянуться до безумной коровы в U-Boat",2006,1,,5,0.99,176,19.99,Р,"Комментаторы, Изъятые Сцены, За Сценами",2006-02-15T04:03:42
292,ЭВМ &lt; &lt; ЭКСПЛУАТАЦИОННЫЙ ЭВМ &gt; &gt;,"Блестящий документальный фильм о обезьяне и машине, которая должна завоевать крокодил в акульем танке",2006,1,,3,0.99,51,20.99,G,Комментарии,2006-02-15T04:03:42
303,Фантазии,"Прикосновение Саги Учителя и обезьяны, которые должны превзойти секретного агента на конвенции MySQL",2006,1,,6,0.99,58,27.99,ГУ-13,За сценами,2006-02-15T04:03:42
327,ФУЛЬНЫЙ МОКИНГБЕР,"Недостаток истории о крокодиле и композиторе, который должен обезвредить безумца в U-Boat",2006,1,,3,4.99,158,24.99,ГУ,"Прицепы, комментаторы",2006-02-15T04:03:42
329,ЖЕНЩИНЫ,"Ужасный документальный фильм о судебно-психиатре и батлере, который должен подавить исследователь в Jet Soat",2006,1,,4,2.99,63,15.99,Р,Комментарии,2006-02-15T04:03:42
360,ГЛАСНОЕ ДИНАМЕНИЕ,"Поразительная драма фрисби и астронавта, которые должны сражаться с собакой в Древней Японии",2006,1,,4,0.99,103,24.99,G,Прицепы,2006-02-15T04:03:42
375,ГРАЙЛЬ ФРАНкеНСТЕЙН,"Неверная сага учителя и обезьяны, которые должны сражаться с девушкой в оставленных шахтах",2006,1,,4,2.99,85,17.99,НС-17,"Комментаторы, Изъятые Сцены, За Сценами",2006-02-15T04:03:42
395,Хандикап Бундок,"Прекрасная демонстрация пионера и белки, которая должна искоренять сумо-рестлера в Советской Грузии",2006,1,,4,0.99,108,28.99,Р,"Комментаторы, Изъятые Сцены, За Сценами",2006-02-15T04:03:42
417,ГОЛОСОВАТЕЛЬСКИЕ НАХОДЯЩИЕСЯ,"Эпическая демонстрация охотника и феминистки, которые должны поглотить машину в U-Boat",2006,1,,5,0.99,93,29.99,G,"Прицепы, комментаторы, Изъятые сцены, За сценами",2006-02-15T04:03:42
501,Поцелуи,"Разумное мышление пионера и учителя, который должен построить композитора на первой пилотируемой космической станции",2006,1,,3,4.99,141,9.99,Р,Прицепы,2006-02-15T04:03:42
530,Господь Аризона,"Демонстрация фрисби и повара-печенья, который должен следовать за крокодилом в лодке-реактиве",2006,1,,5,2.99,108,27.99,ГУ-13,Прицепы,2006-02-15T04:03:42
574,МИРНОЕ ЗАЖИГАНИЕ,"Тяжелое воспоминание о муже и акуле, который должен вернуть пирожного в монастырь",2006,1,,3,0.99,86,19.99,G,"Прицепы, изъятые из эксплуатации",2006-02-15T04:03:42
579,МИНЫ ТРУМАН,"Таут-Ярн безумного учёного и крокодила, который должен перестрелять администратора базы данных в монастыре.",2006,1,,3,4.99,149,22.99,ГУ-13,"Удалённые сцены, За сценами",2006-02-15T04:03:42
586,МАКИНГБИР ГОЛЛИВЫЙ,"Разумная панорама человека и машины, которая должна выпить композитора в Берлине",2006,1,,4,0.99,60,27.99,ГУ,За сценами,2006-02-15T04:03:42
659,ПАРК СИТИЗЕН,"Тяжелое зрелище сумо-рестлера и девушки, которая должна встретиться с мужем в Древней Японии",2006,1,,3,4.99,109,14.99,ГУ-13,"Прицепы, изъятые из эксплуатации",2006-02-15T04:03:42
664,ПАТРИОТ РОМАН,"Таут Сага робота и администратор базы данных, который должен бросить вызов астронаву в Калифорнии",2006,1,,6,2.99,65,12.99,ГУ,"Прицепы, изъятые из эксплуатации",2006-02-15T04:03:42
717,УНИФИКАЦИЯ ДОРОЖНОГО ДВИЖЕНИЯ,"Потрясающая мысль о судмедэксперте-психологе и секретном агенте, который должен украсть пастора в Советской Грузии",2006,1,,6,0.99,97,23.99,НС-17,"Прицепы, комментаторы, изъятые сцены",2006-02-15T04:03:42
732,ЗВОНИТ СЛЕДУЮЩИЕ ТРУДА,"Удивительная ярна сумо-рестлера и лодки, которая должна побеждать официантку в Новом Орлеане",2006,1,,5,0.99,58,17.99,G,"Прицепы, комментаторы, за сценами",2006-02-15T04:03:42
748,РУГАТОРЫ ПРОДОЛЖАЮТСЯ,"Прикасающийся к саге крокодил и крокодил, который должен открыть технического писателя в Нигерии",2006,1,,4,0.99,109,16.99,ГУ-13,"Прицепы, комментаторы, Изъятые сцены, За сценами",2006-02-15T04:03:42
793,ДВИЖЕНИЕ СТРУКТУРЫ,"Удовлетворительный характер исследования официантки и технического писателя, который должен сражаться с охотником в Балуне",2006,1,,6,2.99,139,14.99,Р,"Трейлеры, Изъятые сцены, За сценами",2006-02-15T04:03:42
823,Южная подожди.,"Удивительный документальный фильм о машине и роботе, который должен сбежать из Ламберджека в заброшенном парке развлечений",2006,1,,4,2.99,143,21.99,Р,"Комментаторы, За сценами",2006-02-15T04:03:42
825,СРОКИ СВЯЗИ С ДАННЫМИ,"Драма неудачной работы судебно-психиатра и машины, которая должна вернуть человека в Манхэттенский пентхаус",2006,1,,6,2.99,165,22.99,ГУ-13,"Удалённые сцены, За сценами",2006-02-15T04:03:42
