inventory_id,film_id,store_id,last_update
93,19,1,2006-02-15T04:09:17
94,19,1,2006-02-15T04:09:17
95,19,1,2006-02-15T04:09:17
96,19,1,2006-02-15T04:09:17
97,19,2,2006-02-15T04:09:17
98,19,2,2006-02-15T04:09:17
102,21,1,2006-02-15T04:09:17
103,21,1,2006-02-15T04:09:17
104,21,2,2006-02-15T04:09:17
105,21,2,2006-02-15T04:09:17
106,21,2,2006-02-15T04:09:17
107,21,2,2006-02-15T04:09:17
142,29,1,2006-02-15T04:09:17
143,29,1,2006-02-15T04:09:17
248,56,1,2006-02-15T04:09:17
249,56,1,2006-02-15T04:09:17
250,56,1,2006-02-15T04:09:17
251,56,2,2006-02-15T04:09:17
252,56,2,2006-02-15T04:09:17
294,67,1,2006-02-15T04:09:17
295,67,1,2006-02-15T04:09:17
296,67,2,2006-02-15T04:09:17
